time,open,high,low,close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,EMA,EMA,Volume,Histogram,MACD,Signal line
2010-12-31,23.50532489,23.72783657,23.39069766,23.44463988,68.03158292931874,72.0649344748464,,,,,22.91994458245123,23.329814769104676,5031734,-0.018060872064731504,0.5613142748508793,0.5793751469156108
2011-01-03,23.55926711,23.71435101,23.4581187,23.63343767,70.57329221223273,71.93018203584,,,,,22.987896305074923,23.385018932903826,8164508,-0.02342312954473713,0.5500962349846894,0.5735193645294265
2011-01-04,23.59972378,23.65366601,23.19515035,23.61320934,69.93174749904699,71.60293555343456,,,,,23.04744992744874,23.426508097830403,9891898,-0.03207580082813466,0.5334246134942582,0.5655004143223928
2011-01-05,23.50532489,23.8896565,23.46608192,23.86269213,73.17107640936555,71.80072640058098,,,,,23.12509204197743,23.505814285497603,10948953,-0.02505181158865022,0.53418564983658,0.5592374614252302
2011-01-06,23.80200713,23.80874991,23.49858885,23.61995212,65.74906072049328,71.14853104644655,,,,,23.172221573217676,23.526566619043493,8681582,-0.03992561539105299,0.509330442186414,0.549256057577467
2011-01-07,23.59972378,23.82897824,23.47498239,23.63343767,65.95566497536035,70.69798510512612,,,,,23.216146915768373,23.545997719217404,8220559,-0.05130210706507299,0.48512842374612575,0.5364305308111987
2011-01-10,23.56600989,23.82223546,23.56600989,23.72108705,67.3348310095742,70.39404243167202,,,,,23.26423645236186,23.57783214299606,6581441,-0.05504028650918258,0.4676301726747205,0.5226704591839031
2011-01-11,23.7615572,24.09869611,23.69412268,23.82223546,68.90056881604983,70.14262489485088,,,,,23.317379214994066,23.622269109724048,8869344,-0.05280803377791299,0.45666041696151183,0.5094684507394248
2011-01-12,23.89640602,24.24028771,23.41092599,23.471611,58.44292378146316,68.92699728249491,,,,,23.332067956423202,23.59487672613786,13151957,-0.0756613771510547,0.41489172930060647,0.49055310645166117
2011-01-13,23.44463988,23.51881044,23.2356205,23.50532489,59.08595906522208,68.06693776262063,,,,,23.34856861676385,23.578594574112792,8172367,-0.08833985295492336,0.380128290258007,0.46846814321293034
2011-01-14,23.51881044,23.70085871,23.35024099,23.65366601,61.88088317675594,67.48313647652294,,,,,23.377625511357767,23.592243926092284,7016637,-0.08645970581179319,0.36039351094818883,0.446853216759982
2011-01-18,23.52555322,23.74132887,23.52555322,23.69412268,62.630650393087386,66.89652805967016,,,,,23.4077680988475,23.610767335893687,6310363,-0.0822409306756261,0.3440520534154494,0.4262929840910755
2011-01-19,23.64337131,23.69750611,23.14939808,23.34562995,52.96632148224531,65.53459609308466,,,,,23.401850179909644,23.56256053845847,8813617,-0.10141190231865815,0.29952810619275283,0.400940008511411
2011-01-20,23.34562995,24.02231487,23.34562995,23.89374474,62.71207598208774,64.81190274659308,,,,,23.44869728087063,23.622775847829658,11023328,-0.0767876045694823,0.3049555027995581,0.3817431073690404
2011-01-21,24.04261542,24.2320872,23.88359446,23.96141323,63.71178088895688,64.50334545799579,,,,,23.497527371263903,23.684346280951537,8628719,-0.0564900727708621,0.31113051640546274,0.36762058917632484
2011-01-24,23.90051835,24.00201432,23.64676151,23.67721233,56.82145708153123,63.52107152008854,,,,,23.514640224476864,23.683049198960347,7060523,-0.06229523433976192,0.28975154625162247,0.3520467805913844
2011-01-25,23.69750611,23.80576893,23.53510173,23.792242,58.765260111536485,62.72346527812351,,,,,23.5410784888124,23.70290243551301,6791898,-0.05853679651411692,0.2788757849487382,0.33741258146285513
2011-01-26,23.81254255,24.29298208,23.7787083,24.08999013,63.362846027850225,62.02287739372956,,,,,23.593355787973124,23.773282016328828,12063887,-0.03718702093343457,0.2909288052960619,0.3281158262294965
2011-01-27,24.07644967,24.19824619,23.94111268,24.16442547,64.43056838614818,61.92869936984776,,,,,23.647743376737587,23.844399007905405,8293496,-0.02009706997904509,0.30299448875569013,0.3230915587347352
2011-01-28,24.21178665,24.22532035,23.46742647,23.54863542,51.149908791452525,60.87114535671149,,,,,23.63830452371496,23.79062381010442,9346969,-0.050575744652463006,0.25987187791915645,0.31044762257161945
2011-01-31,22.83135617,23.45389953,22.75014721,23.14262447,44.61947669863594,59.24862004878732,,,,,23.59109689955163,23.672805748267255,12033254,-0.0957688853897199,0.1907365158344696,0.2865054012241895
2011-02-01,23.13585762,23.84638356,23.01404757,23.65013816,52.74161896499543,58.09440934514058,,,,,23.59671987673719,23.668684368582298,13108480,-0.08929838424710651,0.17488242091530637,0.2641808051624129
2011-02-02,23.61629715,23.88697789,23.25766091,23.44712592,49.607469145570086,57.46330544257679,,,,,23.58247283323841,23.628401014294607,12730602,-0.09592588348071876,0.14427345081151444,0.2401993342922332
2011-02-03,22.61481023,22.69600565,21.85014949,22.27646776,36.23555070487264,55.831133416837545,,,,,23.458091397691895,23.382594968059223,44353616,-0.17194979866329566,0.025262085963113634,0.1972118846264093
