time,open,high,low,close,EMA,EMA,Histogram,MACD,Signal line
2009-12-29,4.4875,4.5099975,4.4550025,4.4550025,4.388505747239206,4.421953696339739,0.018192834629241948,0.028474480847282102,0.010281646218040154
2009-12-30,4.45,4.45,4.3875,4.4275025,4.392219723692615,4.422962569732514,0.01381470280138954,0.027550024719777078,0.013735321918387538
2009-12-31,4.4325,4.4474975,4.4025,4.43,4.395817845245699,4.42424210250842,0.010380547348933802,0.02671100610455479,0.01633045875562099
2010-01-04,4.4625025,4.479775,4.425,4.4375,4.399787574269919,4.426652629325071,0.00801367060027617,0.0263475470059662,0.01833387640569003
2010-01-05,4.405,4.43,4.3325,4.3375025,4.393855662434689,4.41044351490233,-0.0004386850357573635,0.017785520110993325,0.018224205146750688
2010-01-06,4.3375025,4.3774975,4.3125,4.3525,4.389917027917099,4.399908330374634,-0.004922502391139338,0.012071077157826515,0.016993579548965854
2010-01-07,4.3325,4.3975,4.32,4.38,4.3889725490678515,4.396288633942882,-0.0058747680000958095,0.009650119548846092,0.015524887548941902
2010-01-08,4.3825,4.3825,4.2825,4.3149975,4.381927306299485,4.3815084277714496,-0.010453509717831296,0.0024580004016527823,0.012911510119484078
2010-01-11,4.3075,4.3475,4.2425,4.2625,4.3705532771281055,4.359870531813004,-0.016243365647962606,-0.007392696940469179,0.008850668707493427
2010-01-12,4.2400025,4.2775,4.2225,4.2249975,4.356690822163524,4.335348162392458,-0.021494842903148577,-0.018017884921442295,0.0034769579817062824
2010-01-13,4.2375,4.2425,4.1624975,4.22,4.343672648624141,4.314375769230193,-0.02401019946230663,-0.026535791346177007,-0.002525591883870376
2010-01-14,4.23,4.23,4.1899975,4.195,4.329513348755175,4.292671083915613,-0.025900538148574168,-0.034901264569588086,-0.009000726421013919
2010-01-15,4.1974975,4.2,4.095,4.0975,4.30741683934992,4.257185432294592,-0.031867781124352124,-0.04883545282645407,-0.01696767170210195
2010-01-19,4.095,4.145,4.0875025,4.1225025,4.289805949888023,4.232697626422848,-0.03218707950764581,-0.05720152108665921,-0.025014441579013405
2010-01-20,4.0875025,4.1175,4.0600025,4.075,4.269348240374878,4.2040253307096025,-0.03350335634049809,-0.06689363700463602,-0.03339028066413793
2010-01-21,4.095,4.1725,4.0525025,4.125,4.255600788910604,4.189657088762402,-0.02907677585171558,-0.0697362504787824,-0.04065947462706682
2010-01-22,3.83,4.03,3.83,3.99,4.230305475681022,4.153355799896511,-0.03302272826763998,-0.0819378849616168,-0.04891515669397682
2010-01-25,4.04,4.04,3.98,3.99,4.207419239901877,4.123654745369873,-0.03331891866638098,-0.09056380502695305,-0.05724488636057207
2010-01-26,3.99,4.005,3.9175,3.95,4.182903121815984,4.0920811553026235,-0.03378874814760047,-0.09948082154507265,-0.06569207339747218
2010-01-27,3.9375,4.0449975,3.9275,4.035,4.168817110214461,4.081702763429419,-0.026288562635008533,-0.09855277669123286,-0.07226421405622432
2010-01-28,4.035,4.04,3.9625,4.0225,4.1548821473368935,4.070938624624071,-0.0203484035175326,-0.09769971845314007,-0.07735131493560747
2010-01-29,4.02,4.0625,3.965,3.975,4.137750514257189,4.053495238328785,-0.0178846717843094,-0.09970715466599422,-0.08182248288168482
2010-02-01,4.005,4.0425,3.99,4.0325,4.127726655756504,4.049677922269006,-0.010987432788976903,-0.09555677386790595,-0.08456934107892905
2010-02-02,4.04,4.1175,4.0225,4.095,4.124609831398742,4.057918300038278,-0.0013287910974019435,-0.08623032995068147,-0.08490153885327953
2010-02-03,4.055,4.0875025,4.0449975,4.0625,4.118694609360767,4.058751336394955,0.0034946728703167534,-0.08053319776538359,-0.08402787063570034
2010-02-04,4.055,4.0724975,3.99,3.99,4.106437979897836,4.046251093414054,0.0024740155430195004,-0.08093535120692597,-0.08340936674994547
2010-02-05,3.99,4.1325,3.9525,4.125,4.108205791336138,4.0605690764296805,0.011080407211404159,-0.06955885773569026,-0.08063926494709442
2010-02-08,4.125,4.165,4.0575,4.0600025,4.103615001685077,4.060466062533375,0.012481057701960396,-0.06503794281964392,-0.07751900052160432
2010-02-09,4.075,4.1025,4.0325,4.0649975,4.0999371443817365,4.061289960254579,0.013730175787075624,-0.060356280787759786,-0.07408645657483541
2010-02-10,4.0475,4.105,4,4.0999975,4.099942892535857,4.068327694753747,0.01670239061694069,-0.05320846830365955,-0.06991085892060024
2010-02-11,4.09,4.1325,4.05875,4.125,4.102329283722918,4.078631750253066,0.019922715470970784,-0.04500746458188676,-0.06493018005285754
2010-02-12,4.0724975,4.2575,4.0724975,4.2324975,4.114726256701688,4.106607341116145,0.028348966409403507,-0.029493972041103156,-0.05784293845050666
2010-02-16,4.2324975,4.2524975,4.1699975,4.21,4.123799946539622,4.125406006367754,0.031235882727249795,-0.018798085041444423,-0.05003396776869422
2010-02-17,4.2249975,4.2725,4.1699975,4.1974975,4.130818761154896,4.138513550664526,0.03106617915062463,-0.011201243830413432,-0.04226742298103806
2010-02-18,4.175,4.2874975,4.175,4.285,4.145502688663954,4.165147450543703,0.03530082094637986,0.0018586032019367593,-0.0334422177444431
2010-02-19,4.2874975,4.35125,4.2175,4.3275,4.162835765934053,4.194666095899393,0.03912162204733479,0.01545980981472539,-0.0236618122326094
2010-02-22,4.335,4.3499975,4.2524975,4.2625,4.172327597749858,4.206999533008594,0.03553317816039267,0.020754660467881436,-0.014778517692511234
2010-02-23,4.25,4.2625,4.16,4.1624975,4.171391397964157,4.198908254279759,0.02517411013571367,0.01668911997713085,-0.008484990158582817
