time,open,high,low,close
2026-03-17T23:00:00+08:00,2.8631,2.8692,2.8627,2.8692
2026-03-18T00:00:00+08:00,2.8886,2.8886,2.8675,2.881
2026-03-18T01:00:00+08:00,2.888,2.8954,2.8836,2.8951
2026-03-18T02:00:00+08:00,2.8873,2.9008,2.8863,2.8992
2026-03-18T03:00:00+08:00,2.8971,2.902,2.8971,2.8994
2026-03-18T10:00:00+08:00,2.8856,2.8856,2.8856,2.8856
2026-03-18T13:00:00+08:00,2.8824,2.8824,2.8824,2.8824
2026-03-18T17:00:00+08:00,2.8997,2.91,2.8997,2.91
2026-03-18T18:00:00+08:00,2.9073,2.9073,2.9073,2.9073
2026-03-18T19:00:00+08:00,2.9235,2.9235,2.9117,2.9117
2026-03-18T20:00:00+08:00,2.9191,2.9625,2.9191,2.9625
2026-03-18T21:00:00+08:00,2.9564,2.98,2.9564,2.979
2026-03-18T22:00:00+08:00,2.9841,2.9957,2.9716,2.9936
2026-03-18T23:00:00+08:00,2.9855,2.9855,2.977,2.9808
2026-03-19T00:00:00+08:00,2.9753,2.9753,2.9642,2.9642
2026-03-19T01:00:00+08:00,2.9712,2.9731,2.9384,2.9384
2026-03-19T02:00:00+08:00,2.9383,2.9624,2.9383,2.9603
2026-03-19T03:00:00+08:00,2.956,2.9749,2.956,2.9694
2026-03-19T04:00:00+08:00,2.9688,2.992,2.9688,2.9901
2026-03-19T08:00:00+08:00,2.9743,2.9743,2.9617,2.9617
2026-03-19T09:00:00+08:00,2.9681,2.9681,2.9669,2.9669
2026-03-19T10:00:00+08:00,2.9741,2.9741,2.9741,2.9741
2026-03-19T11:00:00+08:00,2.9794,2.9794,2.9794,2.9794
2026-03-19T12:00:00+08:00,2.987,2.987,2.987,2.987
2026-03-19T16:00:00+08:00,3.0117,3.0117,3.0117,3.0117
2026-03-19T18:00:00+08:00,2.9917,2.9917,2.9915,2.9915
2026-03-19T19:00:00+08:00,2.9974,2.9974,2.9835,2.9835
2026-03-19T20:00:00+08:00,2.9655,2.9774,2.9626,2.963
2026-03-19T21:00:00+08:00,2.9464,2.974,2.9365,2.972
2026-03-19T22:00:00+08:00,2.9685,2.9889,2.9685,2.9798
2026-03-19T23:00:00+08:00,2.9893,2.9984,2.9693,2.9693
2026-03-20T00:00:00+08:00,2.9836,2.9836,2.974,2.9751
2026-03-20T01:00:00+08:00,2.9701,2.973,2.969,2.973
2026-03-20T02:00:00+08:00,2.9638,3.0001,2.9617,3.0001
2026-03-20T03:00:00+08:00,2.9852,2.9852,2.9404,2.9485
2026-03-20T04:00:00+08:00,2.9694,2.9864,2.9656,2.9864
2026-03-20T09:00:00+08:00,2.9341,2.9341,2.9326,2.9326
2026-03-20T10:00:00+08:00,2.9374,2.9374,2.9374,2.9374
2026-03-20T15:00:00+08:00,2.9793,2.9793,2.9793,2.9793
2026-03-20T19:00:00+08:00,3.0384,3.0384,3.0119,3.0119
2026-03-20T20:00:00+08:00,3.0052,3.0171,3.0052,3.0165
2026-03-20T21:00:00+08:00,3.0124,3.0415,3.0124,3.0415
2026-03-20T22:00:00+08:00,3.0374,3.0405,3.031,3.04
2026-03-20T23:00:00+08:00,3.0415,3.0586,3.0415,3.0528
2026-03-21T00:00:00+08:00,3.058,3.07,3.058,3.0699
2026-03-21T01:00:00+08:00,3.0735,3.0924,3.0735,3.0918
2026-03-21T02:00:00+08:00,3.0862,3.1063,3.0862,3.1063
2026-03-21T04:00:00+08:00,3.1036,3.1113,3.0985,3.0985
2026-03-23T06:00:00+08:00,3.0848,3.0848,3.0848,3.0848
2026-03-23T08:00:00+08:00,3.0926,3.0926,3.0923,3.0923
2026-03-23T09:00:00+08:00,3.1172,3.1172,3.1172,3.1172
2026-03-23T14:00:00+08:00,3.1398,3.153,3.1398,3.153
2026-03-23T16:00:00+08:00,3.1766,3.1766,3.1766,3.1766
2026-03-23T17:00:00+08:00,3.1979,3.1979,3.1955,3.1955
2026-03-23T18:00:00+08:00,3.2101,3.2216,3.1999,3.2158
2026-03-23T19:00:00+08:00,3.2116,3.2116,2.882,3.054
2026-03-23T20:00:00+08:00,3.0714,3.0714,2.9848,2.9852
2026-03-23T21:00:00+08:00,2.9993,3.0017,2.9504,2.9504
2026-03-23T22:00:00+08:00,2.924,2.9358,2.9197,2.9299
2026-03-23T23:00:00+08:00,2.9024,2.9451,2.8436,2.9451
2026-03-24T00:00:00+08:00,2.955,2.964,2.9271,2.9271
2026-03-24T01:00:00+08:00,2.9239,2.9239,2.8928,2.8928
2026-03-24T02:00:00+08:00,2.8966,2.9035,2.8534,2.8835
2026-03-24T03:00:00+08:00,2.8891,2.8998,2.8877,2.8998
2026-03-24T04:00:00+08:00,2.905,2.9112,2.905,2.9112
2026-03-24T08:00:00+08:00,2.9374,2.9658,2.9374,2.9658
2026-03-24T09:00:00+08:00,2.999,3.0013,2.9985,2.9985
2026-03-24T10:00:00+08:00,2.9989,2.9989,2.9989,2.9989
2026-03-24T16:00:00+08:00,2.9688,2.9688,2.9688,2.9688
2026-03-24T18:00:00+08:00,2.9611,2.9611,2.9416,2.9555
2026-03-24T19:00:00+08:00,2.9796,2.9796,2.9796,2.9796
2026-03-24T20:00:00+08:00,2.9808,3.0003,2.9788,2.9968
2026-03-24T21:00:00+08:00,2.9947,3.0171,2.9947,3.0165
2026-03-24T22:00:00+08:00,3.0097,3.015,2.9824,2.9956
2026-03-24T23:00:00+08:00,3.0095,3.0133,3.0081,3.0133
2026-03-25T00:00:00+08:00,3.037,3.0385,3.0269,3.0359
2026-03-25T01:00:00+08:00,3.0378,3.0438,2.9987,2.9987
2026-03-25T02:00:00+08:00,3.0053,3.0262,3.0053,3.018
2026-03-25T03:00:00+08:00,3.0125,3.0125,3.0073,3.0073
2026-03-25T04:00:00+08:00,3.0025,3.0025,2.9178,2.9442
2026-03-25T08:00:00+08:00,2.8984,2.8984,2.8984,2.8984
2026-03-25T09:00:00+08:00,2.9017,2.9057,2.8864,2.8957
2026-03-25T10:00:00+08:00,2.9131,2.9146,2.9131,2.9146
2026-03-25T11:00:00+08:00,2.9311,2.9311,2.9231,2.9231
2026-03-25T12:00:00+08:00,2.9224,2.9224,2.9224,2.9224
2026-03-25T13:00:00+08:00,2.9411,2.9411,2.9411,2.9411
2026-03-25T15:00:00+08:00,2.893,2.893,2.893,2.893
2026-03-25T16:00:00+08:00,2.8998,2.9118,2.8927,2.9118
2026-03-25T17:00:00+08:00,2.9166,2.9292,2.9134,2.9134
2026-03-25T18:00:00+08:00,2.9083,2.911,2.9083,2.9105
2026-03-25T19:00:00+08:00,2.9052,2.9052,2.9052,2.9052
2026-03-25T20:00:00+08:00,2.9015,2.9392,2.8955,2.9161
2026-03-25T21:00:00+08:00,2.9117,2.934,2.9074,2.9264
2026-03-25T22:00:00+08:00,2.9259,2.9377,2.9259,2.9377
2026-03-25T23:00:00+08:00,2.9377,2.9691,2.9377,2.9614
2026-03-26T00:00:00+08:00,2.9468,2.9706,2.9374,2.9706
