date,oi,nc_l,nc_s,nc_sp,c_l,c_s,nr_l,nr_s,nc_net,c_net,nr_net,nc_l_chg,nc_s_chg,c_l_chg,c_s_chg
1987-02-27,95869,20091,472,1852,38276,78430,35650,15115,19619,-40154,20535,1056,-818,-5021,-7468
1987-03-13,99989,22140,712,2371,34993,84428,40485,12478,21428,-49435,28007,2049,240,-3283,5998
1987-03-31,90775,11511,3130,1536,39581,71472,38147,14637,8381,-31891,23510,-10629,2418,4588,-12956
1987-04-15,93244,12538,3626,537,37461,65146,42708,23935,8912,-27685,18773,1027,496,-2120,-6326
1987-04-30,95034,14495,2500,212,35759,71184,44568,21138,11995,-35425,23430,1957,-1126,-1702,6038
1987-05-15,100876,15053,883,0,33240,78908,52583,21085,14170,-45668,31498,558,-1617,-2519,7724
1987-05-29,92870,12750,1344,234,32655,67651,47231,23641,11406,-34996,23590,-2303,461,-585,-11257
1987-06-15,102388,12874,1805,467,34804,75826,54243,24290,11069,-41022,29953,124,461,2149,8175
1987-06-30,93501,14766,4666,1014,32144,69103,45577,18718,10100,-36959,26859,1892,2861,-2660,-6723
1987-07-15,98077,13057,6854,1786,37995,69224,45239,20213,6203,-31229,25026,-1709,2188,5851,121
1987-07-31,98898,10922,15175,885,44720,60400,42371,22438,-4253,-15680,19933,-2135,8321,6725,-8824
1987-08-14,95141,12564,11907,223,40739,64380,41615,18631,657,-23641,22984,1642,-3268,-3981,3980
1987-08-31,102087,10239,15660,1194,48484,65903,42170,19330,-5421,-17419,22840,-2325,3753,7745,1523
1987-09-15,98082,7157,7607,1691,46545,71983,42689,16801,-450,-25438,25888,-3082,-8053,-1939,6080
1987-09-30,96033,13826,1506,2940,35847,79064,43420,12523,12320,-43217,30897,6669,-6101,-10698,7081
1987-10-15,104299,21196,1211,3449,31000,84789,48654,14850,19985,-53789,33804,7370,-295,-4847,5725
1987-10-30,95197,13244,510,3072,36396,75880,42485,15735,12734,-39484,26750,-7952,-701,5396,-8909
1987-11-13,106203,17738,258,2942,39548,91167,45975,11836,17480,-51619,34139,4494,-252,3152,15287
1987-11-30,115200,21067,660,2730,42008,97623,49395,14187,20407,-55615,35208,3329,402,2460,6456
1987-12-15,125686,25971,474,2884,43041,107010,53790,15318,25497,-63969,38472,4904,-186,1033,9387
1987-12-31,135754,28028,730,3263,41594,108802,62869,22959,27298,-67208,39910,2057,256,-1447,1792
1988-01-15,141435,27350,4546,2096,52330,111914,59659,22879,22804,-59584,36780,-678,3816,10736,3112
1988-01-29,155823,25199,3314,2788,56113,123742,71723,25979,21885,-67629,45744,-2151,-1232,3783,11828
1988-02-12,149449,16588,2455,1726,73834,109877,57301,35391,14133,-36043,21910,-8611,-859,17721,-13865
1988-02-29,132682,13057,4681,213,65702,99138,53710,28650,8376,-33436,25060,-3531,2226,-8132,-10739
1988-03-15,130453,15257,2388,376,61321,93468,53499,34221,12869,-32147,19278,2200,-2293,-4381,-5670
1988-03-31,137240,22031,500,834,49729,105876,64646,30030,21531,-56147,34616,6774,-1888,-11592,12408
1988-04-15,135233,17759,489,524,57772,99256,59178,34964,17270,-41484,24214,-4272,-11,8043,-6620
1988-04-29,123493,19732,1095,862,44275,95565,58624,25971,18637,-51290,32653,1973,606,-13497,-3691
1988-05-13,137647,31641,1048,1313,40875,108262,63818,27024,30593,-67387,36794,11909,-47,-3400,12697
1988-05-31,150872,39030,3788,1501,41275,117026,69066,28557,35242,-75751,40509,7389,2740,400,8764
1988-06-15,167138,42366,2005,1520,41643,135648,81609,27965,40361,-94005,53644,3336,-1783,368,18622
1988-06-30,162054,46921,1708,973,40090,138543,74070,20830,45213,-98453,53240,4555,-297,-1553,2895
1988-07-15,166663,46473,4295,3563,38852,135400,77775,23405,42178,-96548,54370,-448,2587,-1238,-3143
1988-07-29,140856,29458,1931,849,51800,117646,58749,20430,27527,-65846,38319,-17015,-2364,12948,-17754
1988-08-15,138414,26838,937,2556,48809,113811,60211,21110,25901,-65002,39101,-2620,-994,-2991,-3835
1988-08-31,136770,24060,2394,2979,51231,106689,58500,24708,21666,-55458,33792,-2778,1457,2422,-7122
1988-09-15,140574,29460,958,1550,54281,116013,55283,22053,28502,-61732,33230,5400,-1436,3050,9324
1988-09-30,121312,31737,3967,645,48477,93965,40453,22735,27770,-45488,17718,2277,3009,-5804,-22048
1988-10-14,116054,34265,3681,113,38644,89193,43032,23067,30584,-50549,19965,2528,-286,-9833,-4772
1988-10-31,117924,32708,308,930,41851,104360,42435,12326,32400,-62509,30109,-1557,-3373,3207,15167
1988-11-15,117539,30921,3392,1405,42818,103564,42395,9178,27529,-60746,33217,-1787,3084,967,-796
