date,oi,nc_l,nc_s,nc_sp,c_l,c_s,nr_l,nr_s,nc_net,c_net,nr_net,nc_l_chg,nc_s_chg,c_l_chg,c_s_chg
1999-08-10,147091,30750,10611,4204,67149,103259,44988,29017,20139,-36110,15971,-2231,2088,2987,1928
1999-08-17,148560,30326,10427,5447,69295,102219,43492,30467,19899,-32924,13025,-424,-184,2146,-1040
1999-08-24,154223,32525,13031,4165,71662,104973,45871,32054,19494,-33311,13817,2199,2604,2367,2754
1999-08-31,179102,55691,15686,3944,61803,125867,57664,33605,40005,-64064,24059,23166,2655,-9859,20894
1999-09-07,195742,63386,15749,4158,68575,145570,59623,30265,47637,-76995,29358,7695,63,6772,19703
1999-09-14,191831,65743,7272,2197,66960,152666,56931,29696,58471,-85706,27235,2357,-8477,-1615,7096
1999-09-21,190285,67432,8609,1928,63987,149438,56938,30310,58823,-85451,26628,1689,1337,-2973,-3228
1999-09-28,180998,58552,5325,1140,68421,143025,52885,31508,53227,-74604,21377,-8880,-3284,4434,-6413
1999-10-05,163561,58070,5986,1495,55955,128966,48041,27114,52084,-73011,20927,-482,661,-12466,-14059
1999-10-12,161427,55282,5732,907,57354,128943,47884,25845,49550,-71589,22039,-2788,-254,1399,-23
1999-10-19,156509,45910,8271,878,65391,121208,44330,26152,37639,-55817,18178,-9372,2539,8037,-7735
1999-10-26,170154,50729,5163,346,67064,136239,52015,28406,45566,-69175,23609,4819,-3108,1673,15031
1999-11-02,168020,47216,4587,1564,72450,138991,46790,22878,42629,-66541,23912,-3513,-576,5386,2752
1999-11-09,169398,43553,4479,1864,77419,140073,46562,22982,39074,-62654,23580,-3663,-108,4969,1082
1999-11-16,169122,40862,6027,1805,81443,135471,45012,25819,34835,-54028,19193,-2691,1548,4024,-4602
1999-11-23,165239,14607,28354,2142,106233,99780,42257,34963,-13747,6453,7294,-26255,22327,24790,-35691
1999-11-30,171603,15512,32960,2169,112491,99450,41431,37024,-17448,13041,4407,905,4606,6258,-330
1999-12-07,174060,15351,34073,1943,118491,100529,38275,37515,-18722,17962,760,-161,1113,6000,1079
1999-12-14,173695,15179,34047,1631,120603,100567,36282,37450,-18868,20036,-1168,-172,-26,2112,38
1999-12-21,175894,20460,33792,4357,128248,109921,22829,27824,-13332,18327,-4995,5281,-255,7645,9354
1999-12-28,177005,20228,34778,4807,129325,111321,22645,26099,-14550,18004,-3454,-232,986,1077,1400
2000-01-04,181486,20820,31289,3867,131749,116142,25050,30188,-10469,15607,-5138,592,-3489,2424,4821
2000-01-11,183662,21255,35514,4386,133752,114115,24269,29647,-14259,19637,-5378,435,4225,2003,-2027
2000-01-18,197073,21739,42193,4751,144349,119842,26234,30287,-20454,24507,-4053,484,6679,10597,5727
2000-01-25,198075,20065,44145,7756,144135,116393,26119,29781,-24080,27742,-3662,-1674,1952,-214,-3449
2000-02-01,203354,22289,42858,7108,146731,124692,27226,28696,-20569,22039,-1470,2224,-1287,2596,8299
2000-02-08,196349,19907,35181,6351,142080,130456,28011,24361,-15274,11624,3650,-2382,-7677,-4651,5764
2000-02-15,204174,24820,39802,1662,143383,129405,34309,33305,-14982,13978,1004,4913,4621,1303,-1051
2000-02-22,200392,24205,43417,3076,147872,129186,25239,24713,-19212,18686,526,-615,3615,4489,-219
2000-02-29,192850,25529,48095,3736,138046,114367,25539,26652,-22566,23679,-1113,1324,4678,-9826,-14819
2000-03-07,192780,25858,50250,5357,133359,109853,28206,27320,-24392,23506,886,329,2155,-4687,-4514
2000-03-14,194855,26247,45412,6554,129826,115614,32228,27275,-19165,14212,4953,389,-4838,-3533,5761
2000-03-21,195555,26454,42922,7349,130348,122788,31404,22496,-16468,7560,8908,207,-2490,522,7174
2000-03-28,190852,27830,35522,7519,118486,125287,37017,22524,-7692,-6801,14493,1376,-7400,-11862,2499
2000-04-04,178375,30793,20077,8344,102055,130920,37183,19034,10716,-28865,18149,2963,-15445,-16431,5633
2000-04-11,185844,33172,12417,8691,107373,144280,36608,20456,20755,-36907,16152,2379,-7660,5318,13360
2000-04-18,191979,54482,5189,6934,91221,165323,39342,14533,49293,-74102,24809,21310,-7228,-16152,21043
2000-04-25,196567,64939,6300,7863,81690,164991,42075,17413,58639,-83301,24662,10457,1111,-9531,-332
2000-05-02,189495,63983,5298,6191,77329,160862,41992,17144,58685,-83533,24848,-956,-1002,-4361,-4129
2000-05-09,192363,62915,7256,7288,82355,163494,39805,14325,55659,-81139,25480,-1068,1958,5026,2632
2000-05-16,203155,62833,6126,7516,87792,173286,45014,16227,56707,-85494,28787,-82,-1130,5437,9792
2000-05-23,210066,64710,5871,6905,92123,176497,46328,20793,58839,-84374,25535,1877,-255,4331,3211
2000-05-30,211308,66459,8746,5456,91009,176831,48384,20275,57713,-85822,28109,1749,2875,-1114,334
2000-06-06,213895,62295,8543,7915,93714,176585,49971,20852,53752,-82871,29119,-4164,-203,2705,-246
2000-06-13,206108,54983,7370,6322,95689,175931,49114,16485,47613,-80242,32629,-7312,-1173,1975,-654
2000-06-20,200724,50695,12066,4519,104745,165014,40765,19125,38629,-60269,21640,-4288,4696,9056,-10917
2000-06-27,191886,48948,12323,5838,98719,155458,38381,18267,36625,-56739,20114,-1747,257,-6026,-9556
2000-07-05,173419,47476,13514,5936,84993,139066,35014,14903,33962,-54073,20111,-1472,1191,-13726,-16392
2000-07-11,171014,43291,14611,6251,87238,136302,34234,13850,28680,-49064,20384,-4185,1097,2245,-2764
2000-07-18,170887,39646,15763,5145,88310,136323,37786,13656,23883,-48013,24130,-3645,1152,1072,21
2000-07-25,172922,38272,13234,5597,89455,139157,39598,14934,25038,-49702,24664,-1374,-2529,1145,2834
2000-08-01,172862,33898,15571,5382,97161,135310,36421,16599,18327,-38149,19822,-4374,2337,7706,-3847
2000-08-08,172864,29691,11874,4500,98264,141108,40409,15382,17817,-42844,25027,-4207,-3697,1103,5798
2000-08-15,176224,31065,9687,4110,101526,143407,39523,19020,21378,-41881,20503,1374,-2187,3262,2299
2000-08-22,171623,30663,8324,3294,96793,138539,40873,21466,22339,-41746,19407,-402,-1363,-4733,-4868
2000-08-29,166468,30428,8376,3548,95706,137347,36786,17197,22052,-41641,19589,-235,52,-1087,-1192
2000-09-05,166363,30115,9087,3660,93538,134559,39050,19057,21028,-41021,19993,-313,711,-2168,-2788
2000-09-12,164733,23392,7614,4243,97272,136289,39826,16587,15778,-39017,23239,-6723,-1473,3734,1730
2000-09-19,163862,13167,7766,3684,112627,128506,34384,23906,5401,-15879,10478,-10225,152,15355,-7783
2000-09-26,153002,9800,12371,4266,110715,111998,28221,24367,-2571,-1283,3854,-3367,4605,-1912,-16508
2000-10-03,136596,10612,11393,3993,93521,102885,28470,18325,-781,-9364,10145,812,-978,-17194,-9113
2000-10-10,149238,18797,10923,4760,87629,114703,38052,18852,7874,-27074,19200,8185,-470,-5892,11818
2000-10-17,166693,33583,7099,4850,85292,136065,42968,18679,26484,-50773,24289,14786,-3824,-2337,21362
2000-10-24,168946,35021,7063,4848,87327,137464,41750,19571,27958,-50137,22179,1438,-36,2035,1399
2000-10-31,151992,14475,5488,4404,100351,120176,32762,21924,8987,-19825,10838,-20546,-1575,13024,-17288
2000-11-07,150123,9537,7626,3907,102192,116577,34487,22013,1911,-14385,12474,-4938,2138,1841,-3599
2000-11-14,148041,4910,12954,4803,107830,104148,30498,26136,-8044,3682,4362,-4627,5328,5638,-12429
2000-11-21,145750,5230,11675,4499,107144,106812,28877,22764,-6445,332,6113,320,-1279,-686,2664
2000-11-28,144610,5095,9994,4104,107774,110081,27637,20431,-4899,-2307,7206,-135,-1681,630,3269
2000-12-05,144109,5643,11131,4368,105227,107077,28871,21533,-5488,-1850,7338,548,1137,-2547,-3004
2000-12-12,143581,5427,12785,4465,105046,105965,28643,20366,-7358,-919,8277,-216,1654,-181,-1112
2000-12-19,147318,5709,13568,4687,106965,104189,29957,24874,-7859,2776,5083,282,783,1919,-1776
2000-12-26,145547,6100,14196,5464,100662,107315,33321,18572,-8096,-6653,14749,391,628,-6303,3126
2001-01-02,148663,7328,14337,4892,97596,107499,38847,21935,-7009,-9903,16912,1228,141,-3066,184
2001-01-09,157874,16462,12864,5470,92571,118942,43371,20598,3598,-26371,22773,9134,-1473,-5025,11443
2001-01-16,161518,18432,11634,6075,93625,119916,43386,23893,6798,-26291,19493,1970,-1230,1054,974
2001-01-23,159005,16454,12566,6377,96789,119442,39385,20620,3888,-22653,18765,-1978,932,3164,-474
2001-01-30,155577,10044,11952,7420,101678,110864,36435,25341,-1908,-9186,11094,-6410,-614,4889,-8578
2001-02-06,156864,8914,11114,6365,99059,113214,42526,26171,-2200,-14155,16355,-1130,-838,-2619,2350
2001-02-13,158417,8050,3672,4066,105852,127081,40449,23598,4378,-21229,16851,-864,-7442,6793,13867
2001-02-20,164987,8436,9140,4554,114785,121790,37212,29503,-704,-7005,7709,386,5468,8933,-5291
2001-02-27,157482,7763,18623,5554,113948,105296,30217,28009,-10860,8652,2208,-673,9483,-837,-16494
2001-03-06,148517,8925,18664,5554,101333,96058,32705,28241,-9739,5275,4464,1162,41,-12615,-9238
2001-03-13,155157,9063,20451,5141,108902,100853,32051,28712,-11388,8049,3339,138,1787,7569,4795
2001-03-20,159726,8120,23190,4457,116308,102808,30841,29271,-15070,13500,1570,-943,2739,7406,1955
2001-03-27,166295,6195,25200,4927,125781,105651,29392,30517,-19005,20130,-1125,-1925,2010,9473,2843
2001-04-03,173325,5001,31887,4191,133482,104163,30651,33084,-26886,29319,-2433,-1194,6687,7701,-1488
2001-04-10,175968,6392,31098,4479,132363,104427,32734,35964,-24706,27936,-3230,1391,-789,-1119,264
2001-04-17,174555,5965,29455,2996,130636,101970,34958,40134,-23490,28666,-5176,-427,-1643,-1727,-2457
2001-04-24,160327,4903,26013,2469,121134,99207,31821,32638,-21110,21927,-817,-1062,-3442,-9502,-2763
2001-05-01,134770,9800,18512,2383,91922,89495,30665,24380,-8712,2427,6285,4897,-7501,-29212,-9712
2001-05-08,131844,21023,12161,2316,76288,98903,32217,18464,8862,-22615,13753,11223,-6351,-15634,9408
2001-05-15,129848,21471,12165,2045,73469,98433,32863,17205,9306,-24964,15658,448,4,-2819,-470
2001-05-22,134161,23723,12766,2608,72374,102482,35456,16305,10957,-30108,19151,2252,601,-1095,4049
2001-05-29,131154,22331,11606,2474,72983,98279,33366,18795,10725,-25296,14571,-1392,-1160,609,-4203
2001-06-05,124075,13942,12412,2863,73719,87167,33551,21633,1530,-13448,11918,-8389,806,736,-11112
2001-06-12,122793,13574,7754,2504,74269,90022,32446,22513,5820,-15753,9933,-368,-4658,550,2855
2001-06-19,127982,15694,7895,2795,75138,94949,34355,22343,7799,-19811,12012,2120,141,869,4927
2001-06-26,132233,29633,8033,3218,61237,99147,38145,21835,21600,-37910,16310,13939,138,-13901,4198
2001-07-03,123030,26539,6984,3081,55360,89801,38050,23164,19555,-34441,14886,-3094,-1049,-5877,-9346
2001-07-10,110250,19704,7366,3242,60523,80473,26781,19169,12338,-19950,7612,-6835,382,5163,-9328
2001-07-17,112503,18180,7134,3466,63207,84091,27650,17812,11046,-20884,9838,-1524,-232,2684,3618
2001-07-24,111498,17602,7459,3545,63741,80370,26610,20124,10143,-16629,6486,-578,325,534,-3721
2001-07-31,111903,11522,13048,4241,69869,68680,26271,25934,-1526,1189,337,-6080,5589,6128,-11690
2001-08-07,122263,5575,25679,5139,85404,58110,26145,33335,-20104,27294,-7190,-5947,12631,15535,-10570
2001-08-14,130725,5023,31784,5821,93844,59305,26037,33815,-26761,34539,-7778,-552,6105,8440,1195
2001-08-21,130795,5449,33783,5752,93354,59708,26240,31552,-28334,33646,-5312,426,1999,-490,403
2001-08-28,130467,5222,27093,4754,94745,67974,25746,30646,-21871,26771,-4900,-227,-6690,1391,8266
2001-09-04,135098,4636,30674,4487,103235,67854,22740,32083,-26038,35381,-9343,-586,3581,8490,-120
2001-09-18,143420,4128,29058,5044,101329,72840,32919,36478,-24930,28489,-3559,-508,-1616,-1906,4986
2001-09-25,139181,6259,36594,5005,103796,63610,24121,33972,-30335,40186,-9851,2131,7536,2467,-9230
2001-10-02,133372,5343,40782,5091,99229,57078,23709,30421,-35439,42151,-6712,-916,4188,-4567,-6532
2001-10-09,143287,5794,42265,5673,108695,62981,23125,32368,-36471,45714,-9243,451,1483,9466,5903
2001-10-16,146044,5644,42470,4794,111028,66470,24578,32310,-36826,44558,-7732,-150,205,2333,3489
2001-10-23,151812,6135,42304,4474,114523,74032,26680,31002,-36169,40491,-4322,491,-166,3495,7562
2001-10-30,154852,6206,37328,4227,117752,85274,26667,28023,-31122,32478,-1356,71,-4976,3229,11242
2001-11-06,163482,7179,35566,4205,125255,95833,26843,27878,-28387,29422,-1035,973,-1762,7503,10559
2001-11-13,162784,8084,28371,5387,122561,105462,26752,23564,-20287,17099,3188,905,-7195,-2694,9629
2001-11-20,163107,12105,24963,3933,116043,110008,31026,24203,-12858,6035,6823,4021,-3408,-6518,4546
2001-11-27,163975,14160,18361,4448,115841,121015,29526,20151,-4201,-5174,9375,2055,-6602,-202,11007
2001-12-04,169292,18304,12469,5043,112260,132215,33685,19565,5835,-19955,14120,4144,-5892,-3581,11200
2001-12-11,170010,16812,11539,5542,115441,135892,32215,17037,5273,-20451,15178,-1492,-930,3181,3677
2001-12-18,171069,14780,13313,5164,122301,131179,28824,21413,1467,-8878,7411,-2032,1774,6860,-4713
2001-12-21,173008,13218,13813,5778,125576,128100,28436,25317,-595,-2524,3119,-1562,500,3275,-3079
2001-12-28,172369,12919,13202,5617,123745,129325,30088,24225,-283,-5580,5863,-299,-611,-1831,1225
2002-01-08,176587,15960,11089,6766,118589,136981,35272,21751,4871,-18392,13521,3041,-2113,-5156,7656
2002-01-15,183466,21913,10912,6016,115880,147724,39657,18814,11001,-31844,20843,5953,-177,-2709,10743
2002-01-22,183991,19027,12064,6584,121362,146384,37018,18959,6963,-25022,18059,-2886,1152,5482,-1340
2002-01-29,194367,14063,19511,8241,138389,137231,33674,29384,-5448,1158,4290,-4964,7447,17027,-9153
2002-02-05,204146,6943,29315,8882,153053,131633,35268,34316,-22372,21420,952,-7120,9804,14664,-5598
2002-02-12,209834,5778,35732,7859,157841,128453,38356,37790,-29954,29388,566,-1165,6417,4788,-3180
2002-02-19,207178,7415,38368,6524,155192,126224,38047,36062,-30953,28968,1985,1637,2636,-2649,-2229
2002-02-26,203819,12794,45027,6031,144454,117035,40540,35726,-32233,27419,4814,5379,6659,-10738,-9189
2002-03-05,191030,11360,38467,8286,138452,120741,32932,23536,-27107,17711,9396,-1434,-6560,-6002,3706
2002-03-12,192352,10181,33257,7111,142875,128339,32185,23645,-23076,14536,8540,-1179,-5210,4423,7598
2002-03-19,194131,9744,28564,6734,144666,133886,32987,24947,-18820,10780,8040,-437,-4693,1791,5547
2002-03-26,199673,9886,30851,6168,149601,134912,34018,27742,-20965,14689,6276,142,2287,4935,1026
2002-04-02,199446,10588,31821,5440,151874,134423,31544,27762,-21233,17451,3782,702,970,2273,-489
2002-04-09,198002,9996,35050,4527,151008,127720,32471,30705,-25054,23288,1766,-592,3229,-866,-6703
2002-04-16,198692,10674,39487,5178,148707,121127,34133,32900,-28813,27580,1233,678,4437,-2301,-6593
2002-04-23,171402,12953,23246,4914,116401,120728,37134,22514,-10293,-4327,14620,2279,-16241,-32306,-399
2002-04-30,157154,5827,20012,5332,114203,113526,31792,18284,-14185,677,13508,-7126,-3234,-2198,-7202
2002-05-07,150386,6704,19512,5642,103703,105756,34337,19476,-12808,-2053,14861,877,-500,-10500,-7770
2002-05-14,158205,12037,14223,5343,99065,120158,41760,18481,-2186,-21093,23279,5333,-5289,-4638,14402
2002-05-21,160455,15360,9502,5450,93936,126739,45709,18764,5858,-32803,26945,3323,-4721,-5129,6581
2002-05-28,163541,16530,12024,4975,97873,127507,44163,19035,4506,-29634,25128,1170,2522,3937,768
2002-06-04,170847,20514,10943,3706,98736,137127,47891,19071,9571,-38391,28820,3984,-1081,863,9620
2002-06-11,161273,18015,9914,4013,92032,127881,47213,19465,8101,-35849,27748,-2499,-1029,-6704,-9246
2002-06-18,153844,11494,13882,3476,98381,113037,40493,23449,-2388,-14656,17044,-6521,3968,6349,-14844
2002-06-25,153055,9916,25885,4450,101427,98945,37262,23775,-15969,2482,13487,-1578,12003,3046,-14092
2002-07-02,146872,7296,30570,4470,95337,87536,39769,24296,-23274,7801,15473,-2620,4685,-6090,-11409
2002-07-09,138130,7766,17169,4371,88632,98935,37361,17655,-9403,-10303,19706,470,-13401,-6705,11399
2002-07-16,144252,13937,13329,4825,85703,111982,39787,14116,608,-26279,25671,6171,-3840,-2929,13047
2002-07-23,160260,20980,11401,4616,86910,130806,47754,13437,9579,-43896,34317,7043,-1928,1207,18824
2002-07-30,155396,16959,9569,4996,91174,125903,42267,14928,7390,-34729,27339,-4021,-1832,4264,-4903
2002-08-06,158045,20136,5984,5004,88369,132873,44536,14184,14152,-44504,30352,3177,-3585,-2805,6970
2002-08-13,163886,20285,5443,5543,92296,139137,45762,13763,14842,-46841,31999,149,-541,3927,6264
2002-08-20,175744,27192,5977,5425,93724,148860,49403,15482,21215,-55136,33921,6907,534,1428,9723
2002-08-27,182998,26740,6115,6935,98094,154397,51229,15551,20625,-56303,35678,-452,138,4370,5537
2002-09-03,188002,28106,5655,7758,98441,158628,53697,15961,22451,-60187,37736,1366,-460,347,4231
2002-09-10,194898,35211,3461,6005,88997,166910,64685,18522,31750,-77913,46163,7105,-2194,-9444,8282
2002-09-17,212037,53592,2878,4903,92526,183869,61016,20387,50714,-91343,40629,18381,-583,3529,16959
2002-09-24,207987,62782,6403,3576,83038,177832,58591,20176,56379,-94794,38415,9190,3525,-9488,-6037
2002-10-01,195007,62186,7393,3314,72062,166128,57445,18172,54793,-94066,39273,-596,990,-10976,-11704
2002-10-08,204788,68714,8446,4510,70584,174969,60980,16863,60268,-104385,44117,6528,1053,-1478,8841
2002-10-15,207711,69315,9117,4693,72358,177158,61345,16743,60198,-104800,44602,601,671,1774,2189
2002-10-22,212989,72040,10019,4870,76257,182167,59822,15933,62021,-105910,43889,2725,902,3899,5009
2002-10-29,212630,69339,9941,5338,80247,180395,57706,16956,59398,-100148,40750,-2701,-78,3990,-1772
2002-11-05,216762,70164,7559,6118,82151,186040,58329,17045,62605,-103889,41284,825,-2382,1904,5645
2002-11-12,210012,63576,6048,6770,86737,180770,52929,16424,57528,-94033,36505,-6588,-1511,4586,-5270
2002-11-19,203282,50828,4397,8057,96668,172670,47729,18158,46431,-76002,29571,-12748,-1651,9931,-8100
2002-11-26,204586,51044,4786,7961,98718,174926,46863,16913,46258,-76208,29950,216,389,2050,2256
2002-12-03,217945,56692,5861,7626,100768,185608,52859,18850,50831,-84840,34009,5648,1075,2050,10682
2002-12-10,216836,51485,5515,6873,103556,184186,54922,20262,45970,-80630,34660,-5207,-346,2788,-1422
2002-12-17,219511,51831,5111,7175,106552,186438,53953,20787,46720,-79886,33166,346,-404,2996,2252
2002-12-23,220879,50215,5642,7250,110130,187840,53284,20147,44573,-77710,33137,-1616,531,3578,1402
2002-12-31,222585,51134,5551,7585,106966,185249,56900,24200,45583,-78283,32700,919,-91,-3164,-2591
2003-01-07,228147,55571,6343,8636,106203,187133,57737,26035,49228,-80930,31702,4437,792,-763,1884
2003-01-14,234927,57202,6357,10171,108482,191240,59072,27159,50845,-82758,31913,1631,14,2279,4107
2003-01-21,246959,61403,15890,12435,109039,189627,64082,29007,45513,-80588,35075,4201,9533,557,-1613
2003-01-28,263485,70171,5787,11897,113612,220025,67805,25776,64384,-106413,42029,8768,-10103,4573,30398
2003-02-04,274068,77706,6889,11754,117458,230354,67150,25071,70817,-112896,42079,7535,1102,3846,10329
2003-02-11,276996,78987,6650,14875,117432,229320,65702,26151,72337,-111888,39551,1281,-239,-26,-1034
2003-02-14,266989,79587,5459,12339,114907,225644,60156,23547,74128,-110737,36609,600,-1191,-2525,-3676
2003-02-25,257116,72471,2697,8497,120621,223354,55527,22568,69774,-102733,32959,-7116,-2762,5714,-2290
2003-03-04,233658,74861,2613,9444,97092,206296,52261,15305,72248,-109204,36956,2390,-84,-23529,-17058
2003-03-11,229809,67512,2923,9428,101281,199273,51588,18185,64589,-97992,33403,-7349,310,4189,-7023
2003-03-18,214525,52393,2759,9573,109881,182098,42678,20095,49634,-72217,22583,-15119,-164,8600,-17175
2003-03-25,217254,50002,2575,9589,113774,184051,43889,21039,47427,-70277,22850,-2391,-184,3893,1953
2003-04-01,208971,42974,2571,10251,113325,173256,42421,22893,40403,-59931,19528,-7028,-4,-449,-10795
2003-04-08,204128,39052,5151,10494,111030,164431,43552,24052,33901,-53401,19500,-3922,2580,-2295,-8825
2003-04-15,192307,27278,9085,10727,114550,150444,39752,22051,18193,-35894,17701,-11774,3934,3520,-13987
2003-04-22,182454,31716,6026,9188,93699,144831,47851,22409,25690,-51132,25442,4438,-3059,-20851,-5613
2003-04-29,177130,37918,7898,9857,83255,141324,46100,18051,30020,-58069,28049,6202,1872,-10444,-3507
2003-05-06,172321,26344,10432,9197,95226,131236,41554,21456,15912,-36010,20098,-11574,2534,11971,-10088
2003-05-13,168787,20647,15666,10866,99107,115864,38167,26391,4981,-16757,11776,-5697,5234,3881,-15372
2003-05-20,168801,21591,15434,9080,96869,118444,41261,25843,6157,-21575,15418,944,-232,-2238,2580
2003-05-27,172597,23528,11881,7679,97175,124728,44215,28309,11647,-27553,15906,1937,-3553,306,6284
2003-06-03,173945,21625,17613,7484,104971,122504,39865,26344,4012,-17533,13521,-1903,5732,7796,-2224
2003-06-10,188246,16279,30931,7782,122789,116790,41396,32743,-14652,5999,8653,-5346,13318,17818,-5714
2003-06-17,188045,16820,34099,7388,120938,110795,42899,35763,-17279,10143,7136,541,3168,-1851,-5995
2003-06-24,185830,18017,45245,8233,129434,116991,30146,15361,-27228,12443,14785,1197,11146,8496,6196
2003-07-01,176776,15367,52006,6990,120069,88227,34350,29553,-36639,31842,4797,-2650,6761,-9365,-28764
2003-07-08,176648,17388,48778,7474,114448,91317,37338,29079,-31390,23131,8259,2021,-3228,-5621,3090
2003-07-15,178111,19029,46061,5992,113899,95916,39191,30142,-27032,17983,9049,1641,-2717,-549,4599
2003-07-22,179370,30892,30164,6769,101402,119790,40307,22647,728,-18388,17660,11863,-15897,-12497,23874
2003-07-29,190071,38800,24668,6537,99204,137098,45530,21768,14132,-37894,23762,7908,-5496,-2198,17308
2003-08-05,213721,61486,21059,7787,106872,174411,37576,10464,40427,-67539,27112,22686,-3609,7668,37313
2003-08-12,194844,47918,20387,4408,99221,147799,43297,22250,27531,-48578,21047,-13568,-672,-7651,-26612
2003-08-19,189069,35637,19055,5972,104227,136686,43233,27356,16582,-32459,15877,-12281,-1332,5006,-11113
2003-08-26,189717,36519,18525,6432,109065,143324,37701,21436,17994,-34259,16265,882,-530,4838,6638
2003-09-02,194025,21907,25486,7015,121717,129201,43386,32323,-3579,-7484,11063,-14612,6961,12652,-14123
2003-09-09,201285,15744,40005,6486,141898,121222,37157,33572,-24261,20676,3585,-6163,14519,20181,-7979
2003-09-16,197537,16870,39885,4487,135151,118320,41029,34845,-23015,16831,6184,1126,-120,-6747,-2902
2003-09-23,193056,14782,42808,4759,131943,113260,41572,32229,-28026,18683,9343,-2088,2923,-3208,-5060
2003-09-30,169674,16341,43199,5523,113165,99713,34645,21239,-26858,13452,13406,1559,391,-18778,-13547
2003-10-07,173281,12909,42898,6794,109609,88087,43969,35502,-29989,21522,8467,-3432,-301,-3556,-11626
2003-10-14,181406,16341,54533,6665,119879,87241,38521,32967,-38192,32638,5554,3432,11635,10270,-846
2003-10-21,190052,13960,56591,7680,128198,92531,40214,33250,-42631,35667,6964,-2381,2058,8319,5290
2003-10-28,200574,18320,58722,7435,129853,104043,44966,30374,-40402,25810,14592,4360,2131,1655,11512
2003-11-04,206548,17964,64458,7754,138666,100194,42164,34142,-46494,38472,8022,-356,5736,8813,-3849
2003-11-11,205736,19119,61734,6270,134264,106186,46083,31546,-42615,28078,14537,1155,-2724,-4402,5992
2003-11-18,196451,19824,47979,6085,123383,113487,47159,28900,-28155,9896,18259,705,-13755,-10881,7301
2003-11-25,192221,17963,44302,5363,124575,110570,44320,31986,-26339,14005,12334,-1861,-3677,1192,-2917
2003-12-02,191864,21127,44214,5060,118309,113058,47368,29532,-23087,5251,17836,3164,-88,-6266,2488
2003-12-09,210522,36754,32424,5132,114066,151716,54570,21250,4330,-37650,33320,15627,-11790,-4243,38658
2003-12-16,217395,42437,31300,5959,115744,155524,53255,24612,11137,-39780,28643,5683,-1124,1678,3808
2003-12-22,205397,28726,35861,3207,129775,140248,43689,26081,-7135,-10473,17608,-13711,4561,14031,-15276
2003-12-30,208169,22699,47553,4476,138177,124699,42817,31441,-24854,13478,11376,-6027,11692,8402,-15549
2004-01-06,220805,27165,60558,5202,141419,119970,47019,35075,-33393,21449,11944,4466,13005,3242,-4729
2004-01-13,241612,29929,67301,7105,153983,128917,50595,38289,-37372,25066,12306,2764,6743,12564,8947
2004-01-20,250915,29443,76200,7351,162709,126340,51412,41024,-46757,36369,10388,-486,8899,8726,-2577
2004-01-27,258258,29976,84458,7249,165878,124654,55155,41897,-54482,41224,13258,533,8258,3169,-1686
2004-02-03,265575,34419,81629,7951,164326,130307,58879,45688,-47210,34019,13191,4443,-2829,-1552,5653
2004-02-10,272016,34659,96392,10719,167292,115697,59346,49208,-61733,51595,10138,240,14763,2966,-14610
2004-02-17,280947,44370,97254,10813,160397,121905,65367,50975,-52884,38492,14392,9711,862,-6895,6208
2004-02-24,271351,47843,98615,9764,155991,121987,57753,40985,-50772,34004,16768,3473,1361,-4406,82
2004-03-02,243233,57204,85516,7917,121458,115180,56654,34620,-28312,6278,22034,9361,-13099,-34533,-6807
2004-03-09,244852,61798,81008,6888,119017,125748,57149,31208,-19210,-6731,25941,4594,-4508,-2441,10568
2004-03-16,264563,81388,41832,7792,112269,186553,63114,28386,39556,-74284,34728,19590,-39176,-6748,60805
2004-03-23,304720,107447,44173,10567,114630,217011,72076,32969,63274,-102381,39107,26059,2341,2361,30458
2004-03-30,277005,74900,32948,14290,121014,200323,66801,29444,41952,-79309,37357,-32547,-11225,6384,-16688
2004-04-06,271307,67635,29764,17798,118141,191722,67733,32023,37871,-73581,35710,-7265,-3184,-2873,-8601
2004-04-12,274280,76419,25221,14537,116372,202858,66952,31664,51198,-86486,35288,8784,-4543,-1769,11136
2004-04-20,284611,76306,23694,20627,120733,207668,66945,32622,52612,-86935,34323,-113,-1527,4361,4810
2004-04-27,275343,75486,24378,21052,120717,202980,58088,26933,51108,-82263,31155,-820,684,-16,-4688
2004-05-04,276732,77552,23925,19902,122863,207936,56415,24969,53627,-85073,31446,2066,-453,2146,4956
2004-05-11,268547,70394,34162,17112,129255,185436,51786,31837,36232,-56181,19949,-7158,10237,6392,-22500
2004-05-18,260903,61738,34811,16658,130848,176996,51659,32438,26927,-46148,19221,-8656,649,1593,-8440
2004-05-25,265389,65378,33665,16584,130705,186071,52722,29069,31713,-55366,23653,3640,-1146,-143,9075
2004-06-01,276987,71318,20954,14924,126006,212314,64739,28795,50364,-86308,35944,5940,-12711,-4699,26243
2004-06-08,291857,84021,22736,16199,124513,222251,67124,30671,61285,-97738,36453,12703,1782,-1493,9937
2004-06-15,286329,70270,21732,21020,132284,210814,62755,32763,48538,-78530,29992,-13751,-1004,7771,-11437
2004-06-22,281571,69102,23089,18706,130647,209426,63116,30350,46013,-78779,32766,-1168,1357,-1637,-1388
2004-06-29,271678,73878,25546,15523,125541,209151,56736,21458,48332,-83610,35278,4776,2457,-5106,-275
2004-07-06,286630,81393,31147,16872,122635,213288,65730,25323,50246,-90653,40407,7515,5601,-2906,4137
