date,prev,L,S,OI,net,dL,dS,dNet,dOI,dLpct,net_prev
1995-03-28,1995-03-21,455289,27579,2135241,427710,5060,-3015,8075,44819,0.24205638861435633,419635
1995-04-04,1995-03-28,515176,23776,2246913,491400,59887,-3803,63690,111672,2.804695114040991,427710
1995-04-11,1995-04-04,527491,28709,2285522,498782,12315,4933,7382,38609,0.548085306373678,491400
1995-04-18,1995-04-11,359129,34420,2148239,324709,-168362,5711,-174073,-137283,-7.366457203212221,498782
1995-04-25,1995-04-18,368216,30802,2104743,337414,9087,-3618,12705,-43496,0.42299762735896707,324709
1995-05-02,1995-04-25,418607,21575,2168501,397032,50391,-9227,59618,63758,2.3941640380797087,337414
1995-05-09,1995-05-02,425136,25560,2210641,399576,6529,3985,2544,42140,0.30108355956487914,397032
1995-05-16,1995-05-09,401699,30373,2244245,371326,-23437,4813,-28250,33604,-1.0601902344161716,399576
1995-05-23,1995-05-16,565177,29287,2584944,535890,163478,-1086,164564,340699,7.284320562148963,371326
1995-05-30,1995-05-23,557966,32527,2677179,525439,-7211,3240,-10451,92235,-0.27896155584028126,535890
1995-06-06,1995-05-30,567902,55149,2775321,512753,9936,22622,-12686,98142,0.3711369318226387,525439
1995-06-13,1995-06-06,545769,45441,2837682,500328,-22133,-9708,-12425,62361,-0.7974933350052119,512753
1995-06-20,1995-06-13,584560,32580,3019627,551980,38791,-12861,51652,181945,1.3669960199909645,500328
1995-06-27,1995-06-20,349205,34186,2612208,315019,-235355,1606,-236961,-407419,-7.794174578515824,551980
1995-07-03,1995-06-27,312418,31376,2590260,281042,-36787,-2810,-33977,-21948,-1.4082722355953279,315019
1995-07-11,1995-07-03,321964,35846,2634027,286118,9546,4470,5076,43767,0.36853443283685805,281042
1995-07-18,1995-07-11,436997,34856,2881994,402141,115033,-990,116023,247967,4.36719137655005,286118
1995-07-25,1995-07-18,414842,40604,2910424,374238,-22155,5748,-27903,28430,-0.7687385886299555,402141
1995-08-01,1995-07-25,299082,43273,2703820,255809,-115760,2669,-118429,-206604,-3.9774273439196492,374238
1995-08-08,1995-08-01,236825,64388,2646488,172437,-62257,21115,-83372,-57332,-2.3025571228853994,255809
1995-08-15,1995-08-08,221788,62685,2673842,159103,-15037,-1703,-13334,27354,-0.568186970808105,172437
1995-08-22,1995-08-15,265308,49847,2605101,215461,43520,-12838,56358,-68741,1.627620480192921,159103
1995-08-29,1995-08-22,363134,57344,2670388,305790,97826,7497,90329,65287,3.7551711046903744,215461
1995-09-05,1995-08-29,406271,43780,2692230,362491,43137,-13564,56701,21842,1.615383232698769,305790
1995-09-12,1995-09-05,443564,41583,2755862,401981,37293,-2197,39490,63632,1.3852085445894295,362491
1995-09-19,1995-09-12,533631,37843,2926785,495788,90067,-3740,93807,170923,3.2681970287336597,401981
1995-09-26,1995-09-19,512130,33585,2898760,478545,-21501,-4258,-17243,-28025,-0.7346286112577453,495788
1995-10-03,1995-09-26,517050,40443,2944988,476607,4920,6858,-1938,46228,0.16972774565676357,478545
1995-10-10,1995-10-03,507843,40673,3014024,467170,-9207,230,-9437,69036,-0.3126328528333562,476607
1995-10-17,1995-10-10,517940,33453,3147788,484487,10097,-7220,17317,133764,0.3350006502934283,467170
1995-10-24,1995-10-17,530006,47777,3128681,482229,12066,14324,-2258,-19107,0.38331679261754603,484487
1995-10-31,1995-10-24,516325,51343,3179129,464982,-13681,3566,-17247,50448,-0.43727692276713415,482229
1995-11-07,1995-10-31,470071,30790,3180251,439281,-46254,-20553,-25701,1122,-1.4549268054237496,464982
1995-11-14,1995-11-07,382498,32837,3123572,349661,-87573,2047,-89620,-56679,-2.7536505766368755,439281
1995-11-21,1995-11-14,360963,28820,2817791,332143,-21535,-4017,-17518,-305781,-0.689435044237815,349661
1995-11-28,1995-11-21,376924,32272,2828604,344652,15961,3452,12509,10813,0.5664366164843312,332143
1995-12-05,1995-11-28,423186,40060,2870508,383126,46262,7788,38474,41904,1.635506419421029,344652
1995-12-12,1995-12-05,482222,43806,2945713,438416,59036,3746,55290,75205,2.0566394519715674,383126
1995-12-19,1995-12-12,498499,51694,2999140,446805,16277,7888,8389,53427,0.5525657115951215,438416
1995-12-26,1995-12-19,505437,40815,3092637,464622,6938,-10879,17817,93497,0.2313329821215415,446805
1996-01-02,1995-12-26,536672,36533,3219862,500139,31235,-4282,35517,127225,1.0099795093960269,464622
1996-01-09,1996-01-02,470070,41746,3232482,428324,-66602,5213,-71815,12620,-2.068473742042361,500139
1996-01-16,1996-01-09,393094,63781,3147029,329313,-76976,22035,-99011,-85453,-2.3813280321437214,428324
1996-01-23,1996-01-16,331151,50548,3123007,280603,-61943,-13233,-48710,-24022,-1.9683008958608261,329313
1996-01-30,1996-01-23,381663,41543,3159712,340120,50512,-9005,59517,36705,1.6174155229238998,280603
1996-02-06,1996-01-30,379573,32723,3127185,346850,-2090,-8820,6730,-32527,-0.06614526893590303,340120
1996-02-13,1996-02-06,413371,40189,3229540,373182,33798,7466,26332,102355,1.0807803184013738,346850
1996-02-20,1996-02-13,462226,40261,3112173,421965,48855,72,48783,-117367,1.5127541383602618,373182
1996-02-27,1996-02-20,447294,43933,3136915,403361,-14932,3672,-18604,24742,-0.4797933790955709,421965
1996-03-05,1996-02-27,345172,40014,2949872,305158,-102122,-3919,-98203,-187043,-3.2554914621531026,403361
1996-03-12,1996-03-05,342450,50680,2984060,291770,-2722,10666,-13388,34188,-0.09227519024554286,305158
1996-03-19,1996-03-12,315634,36368,2947502,279266,-26816,-14312,-12504,-36558,-0.8986414482282528,291770
1996-03-26,1996-03-19,355180,43147,3018162,312033,39546,6779,32767,70660,1.341678478928937,279266
1996-04-02,1996-03-26,369803,54679,3119286,315124,14623,11532,3091,101124,0.48450016930834067,312033
1996-04-09,1996-04-02,367905,52061,3222420,315844,-1898,-2618,720,103134,-0.06084725799429742,315124
1996-04-16,1996-04-09,307210,43643,3167468,263567,-60695,-8418,-52277,-54952,-1.8835223217333557,315844
1996-04-23,1996-04-16,303175,41187,2956329,261988,-4035,-2456,-1579,-211139,-0.12738881655631565,263567
1996-04-30,1996-04-23,265660,36261,2908569,229399,-37515,-4926,-32589,-47760,-1.2689724316880833,261988
1996-05-07,1996-04-30,250702,35860,2872996,214842,-14958,-401,-14557,-35573,-0.5142735138826,229399
1996-05-14,1996-05-07,287217,43738,2943438,243479,36515,7878,28637,70442,1.270972879878705,214842
1996-05-21,1996-05-14,274342,43745,3007357,230597,-12875,7,-12882,63919,-0.43741366388556513,243479
1996-05-28,1996-05-21,259478,50922,2927356,208556,-14864,7177,-22041,-80001,-0.49425458966128727,230597
1996-06-04,1996-05-28,199424,38152,2732751,161272,-60054,-12770,-47284,-194605,-2.0514758027380338,208556
1996-06-11,1996-06-04,185637,54177,2739320,131460,-13787,16025,-29812,6569,-0.5045099242484954,161272
1996-06-18,1996-06-11,161644,51997,2584538,109647,-23993,-2180,-21813,-154782,-0.8758743045719376,131460
1996-06-25,1996-06-18,147948,48594,2298449,99354,-13696,-3403,-10293,-286089,-0.5299206279807068,109647
1996-07-02,1996-06-25,161661,44996,2248532,116665,13713,-3598,17311,-49917,0.5966197205158783,99354
1996-07-09,1996-07-02,156748,50127,2245656,106621,-4913,5131,-10044,-2876,-0.21849811343578832,116665
1996-07-16,1996-07-09,159726,74679,2313498,85047,2978,24552,-21574,67842,0.132611584321018,106621
1996-07-23,1996-07-16,99775,84287,2227343,15488,-59951,9608,-69559,-86155,-2.591357329896114,85047
1996-07-30,1996-07-23,82674,109986,2202570,-27312,-17101,25699,-42800,-24773,-0.7677757758908259,15488
1996-08-06,1996-07-30,82868,116294,2196294,-33426,194,6308,-6114,-6276,0.008807892598192112,-27312
1996-08-13,1996-08-06,104829,116282,2291919,-11453,21961,-12,21973,95625,0.999911669384882,-33426
1996-08-20,1996-08-13,120781,102837,2221946,17944,15952,-13445,29397,-69973,0.6960106356289205,-11453
1996-08-27,1996-08-20,140328,102856,2108797,37472,19547,19,19528,-113149,0.8797243497366722,17944
1996-09-03,1996-08-27,137069,102582,2052512,34487,-3259,-274,-2985,-56285,-0.15454308783633514,37472
1996-09-10,1996-09-03,132187,106538,2049658,25649,-4882,3956,-8838,-2854,-0.23785488221262532,34487
1996-09-17,1996-09-10,107438,143228,2113534,-35790,-24749,36690,-61439,63876,-1.2074697339751315,25649
1996-09-24,1996-09-17,93481,175232,2196462,-81751,-13957,32004,-45961,82928,-0.6603631642547506,-35790
1996-10-01,1996-09-24,85045,177228,2281662,-92183,-8436,1996,-10432,85200,-0.3840722033889045,-81751
1996-10-08,1996-10-01,78090,175335,2266237,-97245,-6955,-1893,-5062,-15425,-0.30482166070171657,-92183
1996-10-15,1996-10-08,72580,182199,2305316,-109619,-5510,6864,-12374,39079,-0.24313432355044948,-97245
1996-10-22,1996-10-15,67439,195290,2324010,-127851,-5141,13091,-18232,18694,-0.2230063036911209,-109619
1996-10-29,1996-10-22,66058,207642,2400666,-141584,-1381,12352,-13733,76656,-0.05942315222395773,-127851
1996-11-05,1996-10-29,66628,214325,2495062,-147697,570,6683,-6113,94396,0.02374341120339106,-141584
1996-11-12,1996-11-05,76753,224007,2452916,-147254,10125,9682,443,-42146,0.4058015392002283,-147697
1996-11-19,1996-11-12,58095,226291,2051719,-168196,-18658,2284,-20942,-401197,-0.7606456967951614,-147254
1996-11-26,1996-11-19,60348,219232,1984416,-158884,2253,-7059,9312,-67303,0.10981035902089906,-168196
1996-12-03,1996-11-26,50857,246587,2006600,-195730,-9491,27355,-36846,22184,-0.4782767322980665,-158884
1996-12-10,1996-12-03,57489,222432,1998634,-164943,6632,-24155,30787,-7966,0.3305093192464866,-195730
1996-12-17,1996-12-10,72934,221609,1977430,-148675,15445,-823,16268,-21204,0.7727778072423465,-164943
1996-12-24,1996-12-17,70505,194553,1955943,-124048,-2429,-27056,24627,-21487,-0.12283620659138378,-148675
1996-12-31,1996-12-24,59463,193316,1979851,-133853,-11042,-1237,-9805,23908,-0.5645358786017793,-124048
1997-01-07,1996-12-31,66031,214383,1993385,-148352,6568,21067,-14499,13534,0.33174213615064974,-133853
1997-01-14,1997-01-07,70803,164949,1949507,-94146,4772,-49434,54206,-43878,0.23939178833993435,-148352
1997-01-21,1997-01-14,85893,126996,2028989,-41103,15090,-37953,53043,79482,0.7740418475029841,-94146
1997-01-28,1997-01-21,126490,130329,2083253,-3839,40597,3333,37264,54264,2.000848698539026,-41103
1997-02-04,1997-01-28,110044,161555,2145895,-51511,-16446,31226,-47672,62642,-0.7894384407462752,-3839
1997-02-11,1997-02-04,111952,167038,2172490,-55086,1908,5483,-3575,26595,0.08891394965736907,-51511
1997-02-18,1997-02-11,205910,156785,2360306,49125,93958,-10253,104211,187816,4.324899078937072,-55086
1997-02-25,1997-02-18,330484,115111,2456163,215373,124574,-41674,166248,95857,5.277874987395702,49125
1997-03-04,1997-02-25,364356,111984,2611522,252372,33872,-3127,36999,155359,1.3790615687965335,215373
1997-03-11,1997-03-04,360660,131598,2655481,229062,-3696,19614,-23310,43959,-0.14152666529326577,252372
1997-03-18,1997-03-11,349020,125143,2575104,223877,-11640,-6455,-5185,-80377,-0.4383386663282471,229062
1997-03-25,1997-03-18,340811,120371,2594915,220440,-8209,-4772,-3437,19811,-0.3187832413758823,223877
1997-04-01,1997-03-25,370025,123070,2682792,246955,29214,2699,26515,87877,1.1258172233001853,220440
1997-04-08,1997-04-01,276584,119905,2561847,156679,-93441,-3165,-90276,-120945,-3.4829759444638273,246955
1997-04-15,1997-04-08,248716,120701,2464975,128015,-27868,796,-28664,-96872,-1.087808912866381,156679
1997-04-22,1997-04-15,223913,123234,2190724,100679,-24803,2533,-27336,-274251,-1.0062171015933226,128015
1997-04-29,1997-04-22,170114,149409,2062990,20705,-53799,26175,-79974,-127734,-2.4557634827572983,100679
1997-05-06,1997-04-29,139643,157699,1972094,-18056,-30471,8290,-38761,-90896,-1.477030911444069,20705
1997-05-13,1997-05-06,90058,181391,1935888,-91333,-49585,23692,-73277,-36206,-2.5143324811089127,-18056
1997-05-20,1997-05-13,93359,210584,1945754,-117225,3301,29193,-25892,9866,0.1705160629127305,-91333
1997-05-27,1997-05-20,102180,245692,1961405,-143512,8821,35108,-26287,15651,0.45334610644511075,-117225
1997-06-03,1997-05-27,86287,228383,1897438,-142096,-15893,-17309,1416,-63967,-0.8102865038072199,-143512
1997-06-10,1997-06-03,85940,228600,1890397,-142660,-347,217,-564,-7041,-0.018287817572958907,-142096
1997-06-17,1997-06-10,90736,235445,1871596,-144709,4796,6845,-2049,-18801,0.2537033226354041,-142660
1997-06-24,1997-06-17,75254,254972,1755553,-179718,-15482,19527,-35009,-116043,-0.8272084360086258,-144709
1997-07-01,1997-06-24,68990,293221,1813606,-224231,-6264,38249,-44513,58053,-0.35681064599018086,-179718
1997-07-08,1997-07-01,65146,321456,1886593,-256310,-3844,28235,-32079,72987,-0.2119534231801174,-224231
1997-07-15,1997-07-08,70781,185800,1859779,-115019,5635,-135656,141291,-26814,0.2986865741577542,-256310
1997-07-22,1997-07-15,84871,167186,1857064,-82315,14090,-18614,32704,-2715,0.7576168996423769,-115019
1997-07-29,1997-07-22,111820,139387,1874251,-27567,26949,-27799,54748,17187,1.4511616185548801,-82315
1997-08-05,1997-07-29,169660,57064,1918384,112596,57840,-82323,140163,44133,3.0860327672227466,-27567
1997-08-12,1997-08-05,166104,64831,1959185,101273,-3556,7767,-11323,40801,-0.18536434832650814,112596
1997-08-19,1997-08-12,188480,55675,2002261,132805,22376,-9156,31532,43076,1.1421075600313395,101273
1997-08-26,1997-08-19,256123,61755,2075476,194368,67643,6080,61563,73215,3.378330797033953,132805
1997-09-02,1997-08-26,263526,53319,2085652,210207,7403,-8436,15839,10176,0.35668926068044154,194368
1997-09-09,1997-09-02,226824,53426,2072746,173398,-36702,107,-36809,-12906,-1.7597374825713972,210207
1997-09-16,1997-09-09,225033,59715,2102159,165318,-1791,6289,-8080,29413,-0.08640711404098718,173398
1997-09-23,1997-09-16,212116,70818,2135551,141298,-12917,11103,-24020,33392,-0.6144635110855079,165318
1997-09-30,1997-09-23,209009,105846,2238382,103163,-3107,35028,-38135,102831,-0.14548938423854077,141298
1997-10-07,1997-09-30,280893,87473,2385435,193420,71884,-18373,90257,147053,3.2114268252693243,103163
1997-10-14,1997-10-07,393624,53923,2601798,339701,112731,-33550,146281,216363,4.72580472743965,193420
1997-10-21,1997-10-14,426330,51322,2718084,375008,32706,-2601,35307,116286,1.2570537758888276,339701
1997-10-28,1997-10-21,416920,61361,2755610,355559,-9410,10039,-19449,37526,-0.34619974952944793,375008
1997-11-04,1997-10-28,360886,49656,2656070,311230,-56034,-11705,-44329,-99540,-2.0334517584128378,355559
1997-11-11,1997-11-04,312887,52798,2552074,260089,-47999,3142,-51141,-103996,-1.8071436370276386,311230
1997-11-18,1997-11-11,237818,53788,2188054,184030,-75069,990,-76059,-364020,-2.941489941122397,260089
1997-11-25,1997-11-18,186013,58817,2113026,127196,-51805,5029,-56834,-75028,-2.3676289524847194,184030
1997-12-02,1997-11-25,195945,62251,2072393,133694,9932,3434,6498,-40633,0.47003680976949647,127196
1997-12-09,1997-12-02,165690,63370,2019729,102320,-30255,1119,-31374,-52664,-1.4599064945693214,133694
1997-12-16,1997-12-09,110124,136948,1953132,-26824,-55566,73578,-129144,-66597,-2.751161170632298,102320
1997-12-23,1997-12-16,71177,241341,1991630,-170164,-38947,104393,-143340,38498,-1.9940792532199565,-26824
1997-12-30,1997-12-23,79337,239985,1979929,-160648,8160,-1356,9516,-11701,0.4097146558346681,-170164
1998-01-06,1997-12-30,15170,52958,403568,-37788,-64167,-187027,122860,-1576361,-3.2408737889085923,-160648
1998-01-13,1998-01-06,21619,55100,417903,-33481,6449,2142,4307,14335,1.5979958767791302,-37788
1998-01-20,1998-01-13,27520,34168,419076,-6648,5901,-20932,26833,1173,1.4120501647511503,-33481
1998-01-27,1998-01-20,31771,23022,434971,8749,4251,-11146,15397,15895,1.0143744810010595,-6648
1998-02-03,1998-01-27,29540,22219,436136,7321,-2231,-803,-1428,1165,-0.512907757068862,8749
1998-02-10,1998-02-03,28805,25613,449910,3192,-735,3394,-4129,13774,-0.16852541409101748,7321
1998-02-17,1998-02-10,24705,34933,446426,-10228,-4100,9320,-13420,-3484,-0.9112933697850681,3192
1998-02-24,1998-02-17,26761,40787,414577,-14026,2056,5854,-3798,-31849,0.4605466527487198,-10228
1998-03-03,1998-02-24,30957,46155,426472,-15198,4196,5368,-1172,11895,1.0121159639825654,-14026
1998-03-10,1998-03-03,33703,40405,445909,-6702,2746,-5750,8496,19437,0.6438875236826802,-15198
1998-03-17,1998-03-10,32968,38477,444512,-5509,-735,-1928,1193,-1397,-0.16483183788620548,-6702
1998-03-24,1998-03-17,32221,57420,460018,-25199,-747,18943,-19690,15506,-0.16804945648261463,-5509
1998-03-31,1998-03-24,30904,70651,475313,-39747,-1317,13231,-14548,15295,-0.2862931450508458,-25199
1998-04-07,1998-03-31,29648,76173,471649,-46525,-1256,5522,-6778,-3664,-0.26424692781388265,-39747
1998-04-14,1998-04-07,28132,76668,465442,-48536,-1516,495,-2011,-6207,-0.32142546681960527,-46525
1998-04-21,1998-04-14,32733,77071,450568,-44338,4601,403,4198,-14874,0.9885227375269099,-48536
1998-04-28,1998-04-21,29320,63575,434831,-34255,-3413,-13496,10083,-15737,-0.7574883258464871,-44338
1998-05-05,1998-04-28,28824,67752,429637,-38928,-496,4177,-4673,-5194,-0.11406730430903042,-34255
1998-05-12,1998-05-05,23956,63223,432177,-39267,-4868,-4529,-339,2540,-1.1330495278572377,-38928
1998-05-19,1998-05-12,26994,64757,434378,-37763,3038,1534,1504,2201,0.7029527253879776,-39267
1998-05-26,1998-05-19,23408,68959,437440,-45551,-3586,4202,-7788,3062,-0.8255482552062949,-37763
1998-06-02,1998-05-26,23614,64781,440367,-41167,206,-4178,4384,2927,0.04709217264081931,-45551
1998-06-09,1998-06-02,19523,66521,447805,-46998,-4091,1740,-5831,7438,-0.9289978586043005,-41167
1998-06-16,1998-06-09,23306,66189,449023,-42883,3783,-332,4115,1218,0.8447873516374315,-46998
1998-06-23,1998-06-16,30331,32955,423434,-2624,7025,-33234,40259,-25589,1.564507831447387,-42883
1998-06-30,1998-06-23,30804,25901,404686,4903,473,-7054,7527,-18748,0.11170572037200602,-2624
1998-07-07,1998-06-30,18224,37551,396062,-19327,-12580,11650,-24230,-8624,-3.1085829507321727,4903
1998-07-14,1998-07-07,10583,40137,388068,-29554,-7641,2586,-10227,-7994,-1.9292434012856574,-19327
1998-07-21,1998-07-14,9640,50499,406253,-40859,-943,10362,-11305,18185,-0.24299864972118287,-29554
1998-07-28,1998-07-21,7852,53579,423101,-45727,-1788,3080,-4868,16848,-0.4401198268074328,-40859
1998-08-04,1998-07-28,13907,60421,439391,-46514,6055,6842,-787,16290,1.4311003755604452,-45727
1998-08-11,1998-08-04,14396,65889,434721,-51493,489,5468,-4979,-4670,0.11129039966681156,-46514
