datetime,open,high,low,close,volume
2026-04-20 23:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 00:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 01:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 02:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 03:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 04:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 05:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 06:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 07:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 08:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 09:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 10:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 11:00,2.3942,2.3942,2.3942,2.3942,0
2026-04-21 12:00,2.4357,2.437,2.4357,2.437,4
2026-04-21 13:00,2.4319,2.4319,2.4319,2.4319,1
2026-04-21 14:00,2.4319,2.4319,2.4319,2.4319,0
2026-04-21 15:00,2.4319,2.4319,2.4319,2.4319,0
2026-04-21 16:00,2.4319,2.4319,2.4319,2.4319,0
2026-04-21 17:00,2.4319,2.4319,2.4319,2.4319,0
2026-04-21 19:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-21 20:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-21 21:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-21 22:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-21 23:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 00:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 01:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 02:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 03:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 04:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 05:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 06:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 07:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 08:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 09:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 10:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 11:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 12:00,2.4317,2.4317,2.4317,2.4317,0
2026-04-22 13:00,2.4317,2.4317,2.4317,2.4317,0
