datetime,open,high,low,close,volume
2026-07-27 23:00,2.4583,2.4583,2.4461,2.4461,3
2026-07-28 00:00,2.4429,2.4523,2.4429,2.4523,23
2026-07-28 01:00,2.4523,2.4523,2.4523,2.4523,0
2026-07-28 02:00,2.4553,2.4671,2.4552,2.4671,9
2026-07-28 03:00,2.4604,2.4626,2.4463,2.4463,17
2026-07-28 04:00,2.4533,2.4556,2.4436,2.4436,45
2026-07-28 05:00,2.4428,2.4479,2.4313,2.4378,68
2026-07-28 06:00,2.4421,2.4481,2.4392,2.4481,12
2026-07-28 07:00,2.4499,2.4573,2.4493,2.4503,12
2026-07-28 08:00,2.4506,2.4603,2.446,2.4603,54
2026-07-28 09:00,2.4585,2.4592,2.4446,2.4462,92
2026-07-28 10:00,2.4472,2.4571,2.4469,2.4525,266
2026-07-28 11:00,2.4545,2.46,2.4471,2.4531,198
2026-07-28 12:00,2.4524,2.4553,2.4148,2.4148,216
2026-07-28 13:00,2.4196,2.4233,2.405,2.4189,206
2026-07-28 14:00,2.4204,2.4337,2.41,2.4303,148
2026-07-28 15:00,2.4293,2.4307,2.418,2.4234,184
2026-07-28 16:00,2.424,2.425,2.4211,2.4235,141
2026-07-28 17:00,2.4236,2.4271,2.4204,2.424,17
2026-07-28 19:00,2.4753,2.4753,2.4265,2.4265,0
2026-07-28 20:00,2.4753,2.4753,2.4576,2.4576,8
2026-07-28 21:00,2.4534,2.4668,2.4466,2.4657,15
2026-07-28 22:00,2.466,2.4756,2.466,2.4694,85
2026-07-28 23:00,2.4635,2.4646,2.4635,2.4646,3
2026-07-29 00:00,2.4657,2.4718,2.4657,2.4718,3
2026-07-29 01:00,2.4658,2.4658,2.4552,2.4601,10
2026-07-29 02:00,2.4601,2.4601,2.4498,2.4505,24
2026-07-29 03:00,2.4567,2.4578,2.4549,2.4568,22
2026-07-29 04:00,2.4634,2.4697,2.4631,2.4683,48
2026-07-29 05:00,2.4624,2.4687,2.4592,2.4667,18
2026-07-29 06:00,2.4666,2.4733,2.4599,2.4712,27
2026-07-29 07:00,2.469,2.4841,2.4655,2.4841,42
2026-07-29 08:00,2.4826,2.485,2.4658,2.4712,36
2026-07-29 09:00,2.4688,2.5015,2.4688,2.4964,214
2026-07-29 10:00,2.4941,2.4978,2.4858,2.4935,125
2026-07-29 11:00,2.4942,2.5141,2.4938,2.5139,147
2026-07-29 12:00,2.5129,2.5199,2.5095,2.5144,121
2026-07-29 13:00,2.5166,2.5202,2.5101,2.5178,84
2026-07-29 14:00,2.5173,2.5197,2.5082,2.5147,86
2026-07-29 15:00,2.5157,2.532,2.514,2.5201,311
2026-07-29 16:00,2.5185,2.5267,2.5133,2.5262,45
2026-07-29 17:00,2.5268,2.5312,2.5215,2.5254,19
2026-07-29 19:00,2.5188,2.5247,2.5188,2.5247,0
2026-07-29 20:00,2.5247,2.5247,2.5247,2.5247,0
2026-07-29 21:00,2.5188,2.5215,2.5027,2.5215,11
2026-07-29 22:00,2.5228,2.5228,2.5069,2.5096,11
2026-07-29 23:00,2.5074,2.5074,2.4998,2.4998,9
2026-07-30 00:00,2.5019,2.5049,2.5019,2.5049,2
2026-07-30 01:00,2.5045,2.5078,2.5045,2.5078,4
2026-07-30 02:00,2.5105,2.5188,2.5081,2.5188,23
2026-07-30 03:00,2.5158,2.5202,2.5109,2.5109,63
2026-07-30 04:00,2.5095,2.5095,2.4975,2.5004,62
2026-07-30 05:00,2.502,2.5049,2.4902,2.4979,127
2026-07-30 06:00,2.4991,2.5003,2.4868,2.5003,98
2026-07-30 07:00,2.5012,2.5015,2.4793,2.4863,65
2026-07-30 08:00,2.4873,2.4891,2.4771,2.4813,33
2026-07-30 09:00,2.4828,2.4872,2.4814,2.4867,101
2026-07-30 10:00,2.4881,2.4882,2.4618,2.4709,193
2026-07-30 11:00,2.4713,2.4776,2.4658,2.4693,163
2026-07-30 12:00,2.4734,2.4789,2.469,2.4754,155
2026-07-30 13:00,2.4767,2.4789,2.4695,2.477,127
2026-07-30 14:00,2.4773,2.4796,2.4693,2.4736,178
2026-07-30 15:00,2.4733,2.474,2.4585,2.4611,157
2026-07-30 16:00,2.4606,2.4659,2.4606,2.4656,20
2026-07-30 17:00,2.4642,2.4732,2.4642,2.4695,82
2026-07-30 19:00,2.4736,2.4736,2.4672,2.4736,2
2026-07-30 20:00,2.4736,2.4736,2.4736,2.4736,0
2026-07-30 21:00,2.4736,2.4736,2.4736,2.4736,0
2026-07-30 22:00,2.4571,2.4577,2.4492,2.4547,5
2026-07-30 23:00,2.4347,2.4371,2.4346,2.4359,9
2026-07-31 00:00,2.4359,2.4359,2.4359,2.4359,0
2026-07-31 01:00,2.4424,2.4424,2.4424,2.4424,4
2026-07-31 02:00,2.436,2.436,2.4255,2.4297,5
2026-07-31 03:00,2.4407,2.4424,2.4407,2.4423,3
2026-07-31 04:00,2.4476,2.4478,2.446,2.4478,3
2026-07-31 05:00,2.4389,2.4499,2.4389,2.4477,5
2026-07-31 06:00,2.4611,2.4707,2.4611,2.4707,7
2026-07-31 07:00,2.4728,2.4752,2.4728,2.4731,6
2026-07-31 08:00,2.4749,2.4817,2.4749,2.477,4
2026-07-31 09:00,2.4772,2.4865,2.4657,2.4852,45
2026-07-31 10:00,2.4797,2.4886,2.4739,2.4847,90
2026-07-31 11:00,2.4802,2.4856,2.4679,2.4811,52
2026-07-31 12:00,2.4827,2.4845,2.4591,2.4615,40
2026-07-31 13:00,2.4603,2.4654,2.4603,2.4639,24
2026-07-31 14:00,2.4641,2.469,2.4641,2.4674,35
2026-07-31 15:00,2.4674,2.4775,2.4674,2.4733,133
2026-07-31 16:00,2.4776,2.4822,2.4776,2.4802,6
2026-07-31 17:00,2.4764,2.5141,2.4716,2.5114,49
2026-08-02 19:00,2.4334,2.4334,2.3964,2.4306,26
2026-08-02 20:00,2.4272,2.4272,2.4202,2.4202,23
2026-08-02 21:00,2.4279,2.4279,2.4179,2.4179,3
2026-08-02 22:00,2.4113,2.4113,2.4033,2.4035,8
2026-08-02 23:00,2.4027,2.4038,2.4027,2.4034,6
2026-08-03 00:00,2.4034,2.4034,2.4034,2.4034,0
2026-08-03 01:00,2.3981,2.3984,2.3952,2.3952,3
2026-08-03 02:00,2.4017,2.4018,2.4009,2.4009,7
2026-08-03 03:00,2.4018,2.4018,2.3916,2.3916,16
2026-08-03 04:00,2.4048,2.4137,2.4048,2.4048,15
2026-08-03 05:00,2.4047,2.4142,2.4046,2.4129,8
2026-08-03 06:00,2.4141,2.4141,2.402,2.4132,18
2026-08-03 07:00,2.411,2.4111,2.3999,2.4014,65
2026-08-03 08:00,2.3974,2.402,2.3937,2.3937,8
2026-08-03 09:00,2.392,2.392,2.3845,2.3855,37
2026-08-03 10:00,2.3853,2.4009,2.3792,2.3863,77
2026-08-03 11:00,2.3902,2.3988,2.3885,2.3965,71
2026-08-03 12:00,2.4018,2.4049,2.3933,2.3973,94
2026-08-03 13:00,2.3979,2.3979,2.3898,2.3898,22
2026-08-03 14:00,2.3971,2.3999,2.3915,2.3915,60
2026-08-03 15:00,2.3902,2.3982,2.3829,2.3973,206
2026-08-03 16:00,2.3961,2.4014,2.3957,2.3987,38
2026-08-03 17:00,2.3946,2.3949,2.391,2.3924,10
2026-08-03 19:00,2.4029,2.4029,2.3946,2.3946,0
2026-08-03 20:00,2.3946,2.3946,2.3946,2.3946,0
2026-08-03 21:00,2.4029,2.4029,2.4029,2.4029,1
2026-08-03 22:00,2.4044,2.4061,2.4036,2.4049,6
2026-08-03 23:00,2.4115,2.4115,2.4113,2.4113,2
2026-08-04 00:00,2.4113,2.4113,2.4113,2.4113,0
2026-08-04 01:00,2.4185,2.4185,2.4185,2.4185,1
2026-08-04 02:00,2.4205,2.4222,2.4205,2.4221,3
2026-08-04 03:00,2.4186,2.4186,2.4094,2.4094,8
2026-08-04 04:00,2.4046,2.4073,2.3999,2.4017,38
2026-08-04 05:00,2.4009,2.4229,2.3965,2.4229,33
2026-08-04 06:00,2.4232,2.4246,2.4177,2.4227,13
2026-08-04 07:00,2.4177,2.423,2.3901,2.3936,41
2026-08-04 08:00,2.3982,2.3982,2.3261,2.3261,233
2026-08-04 09:00,2.3285,2.3558,2.3285,2.3435,84
2026-08-04 10:00,2.3446,2.3599,2.3095,2.3109,120
2026-08-04 11:00,2.3158,2.3338,2.309,2.3331,190
2026-08-04 12:00,2.3385,2.3419,2.3113,2.3186,248
2026-08-04 13:00,2.3231,2.3296,2.3184,2.3296,34
2026-08-04 14:00,2.3279,2.3279,2.3193,2.3196,14
2026-08-04 15:00,2.3278,2.3302,2.3239,2.3294,114
2026-08-04 16:00,2.3251,2.3281,2.3216,2.3255,27
2026-08-04 17:00,2.3226,2.3226,2.3092,2.3142,32
2026-08-04 19:00,2.306,2.306,2.306,2.306,2
2026-08-04 20:00,2.306,2.306,2.306,2.306,3
2026-08-04 21:00,2.3,2.32,2.3,2.32,7
2026-08-04 22:00,2.3198,2.3291,2.3198,2.3291,5
2026-08-04 23:00,2.3169,2.3169,2.2934,2.2934,4
2026-08-05 00:00,2.2989,2.2989,2.2946,2.297,5
2026-08-05 01:00,2.3001,2.3069,2.3001,2.305,3
2026-08-05 02:00,2.3057,2.3057,2.2948,2.2953,10
2026-08-05 03:00,2.3019,2.3085,2.2924,2.2924,54
2026-08-05 04:00,2.2934,2.3211,2.2934,2.3197,31
2026-08-05 05:00,2.3241,2.3284,2.3171,2.3284,19
2026-08-05 06:00,2.3245,2.3324,2.3242,2.3314,52
2026-08-05 07:00,2.3286,2.3312,2.3222,2.3245,10
2026-08-05 08:00,2.324,2.324,2.3167,2.3172,55
2026-08-05 09:00,2.3156,2.3295,2.3124,2.3295,84
2026-08-05 10:00,2.3227,2.3227,2.3028,2.3153,242
2026-08-05 11:00,2.316,2.3179,2.3023,2.3169,295
2026-08-05 12:00,2.3173,2.329,2.308,2.3249,151
2026-08-05 13:00,2.3233,2.3281,2.3164,2.3179,122
2026-08-05 14:00,2.3174,2.3208,2.3058,2.3208,138
2026-08-05 15:00,2.322,2.3358,2.322,2.3301,214
2026-08-05 16:00,2.3282,2.3312,2.3266,2.3266,5
2026-08-05 17:00,2.3237,2.3243,2.3213,2.3239,25
2026-08-05 19:00,2.318,2.3326,2.318,2.3326,0
2026-08-05 20:00,2.3326,2.3326,2.3326,2.3326,0
2026-08-05 21:00,2.318,2.318,2.318,2.318,1
2026-08-05 22:00,2.318,2.318,2.318,2.318,0
2026-08-05 23:00,2.3292,2.3292,2.3268,2.3268,2
2026-08-06 00:00,2.3287,2.3287,2.3184,2.3184,3
2026-08-06 01:00,2.3145,2.3145,2.3145,2.3145,1
2026-08-06 02:00,2.312,2.3167,2.312,2.3167,2
2026-08-06 03:00,2.3194,2.333,2.3194,2.333,3
2026-08-06 04:00,2.3313,2.3377,2.3289,2.3377,14
2026-08-06 05:00,2.3383,2.3451,2.3307,2.3327,35
2026-08-06 06:00,2.332,2.3375,2.3296,2.3375,22
2026-08-06 07:00,2.3302,2.3434,2.3283,2.3422,165
2026-08-06 08:00,2.3452,2.3466,2.3433,2.3433,8
2026-08-06 09:00,2.3434,2.3531,2.3428,2.3509,47
2026-08-06 10:00,2.3494,2.3624,2.3494,2.3624,81
2026-08-06 11:00,2.364,2.3701,2.3618,2.3701,86
2026-08-06 12:00,2.3686,2.3925,2.3686,2.3847,177
2026-08-06 13:00,2.3877,2.3965,2.3868,2.3926,144
2026-08-06 14:00,2.3895,2.3925,2.3869,2.3909,109
2026-08-06 15:00,2.3943,2.3977,2.391,2.3977,194
2026-08-06 16:00,2.3977,2.4093,2.3936,2.3988,62
2026-08-06 17:00,2.4,2.4084,2.3975,2.4084,17
2026-08-06 19:00,2.4048,2.4048,2.3944,2.3944,0
2026-08-06 20:00,2.3944,2.3944,2.3944,2.3944,0
2026-08-06 21:00,2.4048,2.407,2.4028,2.4028,3
2026-08-06 22:00,2.3945,2.3984,2.3945,2.3984,6
2026-08-06 23:00,2.4021,2.4035,2.4015,2.4015,3
2026-08-07 00:00,2.4003,2.4003,2.4002,2.4002,2
2026-08-07 01:00,2.4032,2.4229,2.4032,2.4114,8
2026-08-07 02:00,2.4124,2.4132,2.4124,2.413,3
2026-08-07 03:00,2.4039,2.4095,2.4039,2.4095,4
2026-08-07 04:00,2.4103,2.4127,2.4033,2.4106,12
2026-08-07 05:00,2.4068,2.4087,2.3964,2.3967,24
2026-08-07 06:00,2.3939,2.3939,2.3833,2.3863,44
2026-08-07 07:00,2.3888,2.3888,2.3845,2.3845,18
2026-08-07 08:00,2.3842,2.3892,2.3805,2.3863,30
2026-08-07 09:00,2.3857,2.396,2.3802,2.3802,38
2026-08-07 10:00,2.379,2.3957,2.379,2.3957,57
2026-08-07 11:00,2.3927,2.4063,2.3927,2.406,196
2026-08-07 12:00,2.4057,2.4239,2.4057,2.423,64
2026-08-07 13:00,2.42,2.4239,2.4139,2.4239,111
2026-08-07 14:00,2.4249,2.4249,2.4142,2.4234,92
2026-08-07 15:00,2.4234,2.4285,2.4203,2.4225,316
2026-08-07 16:00,2.4239,2.4239,2.3994,2.4021,23
2026-08-07 17:00,2.404,2.4055,2.402,2.4035,11
2026-08-09 19:00,2.4441,2.4441,2.4342,2.4352,6
2026-08-09 20:00,2.4332,2.436,2.4332,2.436,4
2026-08-09 21:00,2.4338,2.4371,2.4312,2.4371,4
2026-08-09 22:00,2.4299,2.4452,2.4239,2.4375,25
2026-08-09 23:00,2.4338,2.4349,2.4289,2.4349,14
2026-08-10 00:00,2.4349,2.4349,2.4349,2.4349,0
2026-08-10 01:00,2.4347,2.4348,2.4347,2.4348,2
2026-08-10 02:00,2.425,2.425,2.4237,2.4237,2
2026-08-10 03:00,2.4195,2.4239,2.4195,2.4239,9
2026-08-10 04:00,2.4272,2.4395,2.4271,2.4335,87
2026-08-10 05:00,2.4333,2.4508,2.4316,2.4508,51
2026-08-10 06:00,2.4467,2.4467,2.4372,2.4435,41
2026-08-10 07:00,2.4428,2.4517,2.4353,2.4499,23
2026-08-10 08:00,2.4451,2.4559,2.4451,2.4559,18
2026-08-10 09:00,2.4566,2.462,2.4538,2.4571,39
2026-08-10 10:00,2.4593,2.4898,2.4562,2.4891,148
2026-08-10 11:00,2.4889,2.4954,2.4816,2.4949,130
2026-08-10 12:00,2.4928,2.5135,2.4928,2.5096,350
2026-08-10 13:00,2.5072,2.5178,2.5047,2.5131,88
2026-08-10 14:00,2.5156,2.522,2.5147,2.5215,98
2026-08-10 15:00,2.522,2.5311,2.5181,2.5181,265
2026-08-10 16:00,2.5177,2.5177,2.5137,2.5175,26
2026-08-10 17:00,2.5214,2.5223,2.518,2.518,14
2026-08-10 19:00,2.528,2.528,2.528,2.528,1
2026-08-10 20:00,2.528,2.528,2.528,2.528,0
2026-08-10 21:00,2.5229,2.5229,2.5229,2.5229,1
2026-08-10 22:00,2.515,2.5258,2.515,2.5231,15
2026-08-10 23:00,2.5262,2.5262,2.5258,2.5261,5
2026-08-11 00:00,2.5227,2.5227,2.5227,2.5227,1
2026-08-11 01:00,2.524,2.524,2.524,2.524,1
2026-08-11 02:00,2.5304,2.5304,2.5265,2.5293,10
2026-08-11 03:00,2.5267,2.5458,2.5267,2.5392,178
2026-08-11 04:00,2.5387,2.548,2.5335,2.548,30
2026-08-11 05:00,2.5472,2.5534,2.5426,2.5499,30
2026-08-11 06:00,2.5495,2.5532,2.5421,2.5443,52
2026-08-11 07:00,2.544,2.5483,2.5331,2.5343,64
2026-08-11 08:00,2.5214,2.523,2.5031,2.5096,116
2026-08-11 09:00,2.5109,2.5193,2.5068,2.5152,120
2026-08-11 10:00,2.5135,2.5135,2.4885,2.4963,171
2026-08-11 11:00,2.4966,2.5113,2.4966,2.5104,210
2026-08-11 12:00,2.5092,2.5226,2.5041,2.5225,222
2026-08-11 13:00,2.5218,2.5235,2.5149,2.5222,118
2026-08-11 14:00,2.5202,2.5279,2.5196,2.5269,298
2026-08-11 15:00,2.5266,2.5295,2.5216,2.5272,356
2026-08-11 16:00,2.527,2.5341,2.5267,2.5323,126
2026-08-11 17:00,2.5321,2.5356,2.5307,2.5307,24
2026-08-11 19:00,2.5391,2.5391,2.5287,2.5287,0
2026-08-11 20:00,2.5287,2.5287,2.5287,2.5287,0
2026-08-11 21:00,2.5391,2.5438,2.5391,2.5438,47
2026-08-11 22:00,2.5402,2.545,2.5378,2.5401,23
2026-08-11 23:00,2.5403,2.5403,2.5391,2.5391,10
2026-08-12 00:00,2.5454,2.5504,2.5454,2.5504,6
2026-08-12 01:00,2.5405,2.5405,2.5405,2.5405,4
2026-08-12 02:00,2.5372,2.5373,2.5336,2.5354,4
2026-08-12 03:00,2.5361,2.5361,2.529,2.534,29
