symbol,event_date,group,close,ema10,ema20,diff_cur,dea_cur,hist_cur,weeks_since_cross,diff_drawdown,spy_pre8,fwd5,exc5,fwd10,exc10,fwd20,exc20,fwd60,exc60,broken5,broken10,broken20,broken60
ko,2011-05-27,C,20.84363174438477,20.96109140277522,20.55768185376603,0.5830519283709457,0.6120704355207569,-0.029018507149811246,43.0,0.38688565783723816,0.2703923151452514,3.116727150073939,2.312351047382233,1.1177183593144235,10.73099154451459,3.4541153027443094,10.715819499186207,19.984624909842207,15.07835538515223,0,0,0,0
ko,2026-04-17,C,75.25413513183594,75.65883353657999,74.1899906601572,2.0199629040197067,2.1421310862571588,-0.12216818223745207,23.0,0.277199804025981,3.285234281403615,7.578568307462397,2.579557963936563,9.80127152967798,6.882409659612421,,,,,0,0,0,0
brk.b,2020-11-06,A,208.8500061035156,209.39866234656938,206.24110118540733,3.8334640033430674,3.964042725748084,-0.13057872240501656,11.0,0.30514838237186515,5.239086517739477,8.39836857722629,3.7890521586138037,11.797940469025313,4.046744657582012,22.944688297689076,9.005210095179006,43.16494673780471,5.130116564473909,0,0,0,0
jnj,1996-08-30,C,11.854103088378906,11.92829648177512,11.666696092756027,0.37556573311230323,0.37837902348234675,-0.0028132903700435197,999.0,0.4654805604412251,-0.38120342746735814,5.329878016992562,-2.901874652178905,4.568449632210236,-8.399364900202254,4.705715109532416,-15.21934570381229,20.090904790438046,-26.911322226736843,0,1,1,1
mcd,2005-10-21,B,18.13737869262696,18.185127315290497,17.91127581805929,0.3557052439211148,0.3503948378134306,0.005310406107684185,10.0,0.2528038516080029,-1.7614946826149502,5.1306365092367745,-2.4881083576759666,5.947539280339731,-0.012061301884491726,8.8695696067286,-0.5621112357529601,39.72240596221972,16.349217588625706,0,0,0,0
mcd,2020-11-13,A,186.82534790039065,190.03894499565752,184.8937364557363,6.778870299936415,7.09681172742638,-0.31794142748996546,15.0,0.2539047703643459,8.301848558641334,1.4433362360302349,-2.0902010765826873,0.6415254235903722,-6.734071241610162,6.8747444622112575,-5.841058745835447,28.84387231204464,-3.6096636585670083,0,0,0,0
pg,2023-09-08,C,141.31715393066406,141.39434113906472,139.781169429215,2.212441756932293,2.235847692770969,-0.02340593583867623,24.0,0.3606517759290875,-0.8368938348792598,-5.3880741718198895,-2.582833758446123,-0.5927422546211036,-2.1325308693730505,3.392276793875104,-6.841252918563989,11.34391586722514,-19.021360076833304,1,1,1,1
pep,1992-02-28,A,6.62894344329834,6.651911357034924,6.53112819928549,0.15869403259675963,0.16241016917196882,-0.0037161365752091946,10.0,0.30713698946994605,,8.938755286866495,,12.44036247701934,,12.461769619725427,,15.527479621133832,,0,0,0,0
pep,1996-07-12,C,14.697823524475098,14.79404188721838,14.342576133810283,0.6526645409329497,0.6838501488413213,-0.03118560790837166,999.0,0.2634350728665963,-3.3977800927719737,-5.263186580918433,-8.796597814381169,-9.03303543359838,-15.896667296071655,-8.65563593055575,-27.001165915503865,14.458448518455192,-32.38859655799256,1,1,1,1
pep,2025-11-14,B,141.6677703857422,141.6838733214,140.01334350764807,1.7546338217565847,1.4462878345276764,0.30834598722890827,12.0,0.27303977387933287,1.2400054113642867,2.5774155812277044,0.9892769072300744,0.09882232865474627,-2.7789508921033157,9.675809984965,11.516127495466954,,,0,0,0,1
cnp,2026-07-17,C,43.130001068115234,43.277636967493656,42.62220538663531,0.9657578707693517,1.0273274329426079,-0.061569562173256154,999.0,0.3761072676330013,-0.05835780432843496,,,,,,,,,1,1,1,1
