date,open,high,low,close,volume,open_interest,settle
2026-03-10,85.75,91.48,76.73,86.39,772697,231220,83.45
2026-03-11,86.89,88.99,81.79,88.41,507193,197625,87.25
2026-03-12,89.32,97.19,88.61,96.39,525764,176630,95.73
2026-03-13,96.74,99.32,92.04,99.31,406769,164726,98.71
2026-03-16,100.93,102.44,92.93,94.22,426853,156422,93.5
2026-03-17,94.41,98.42,93.83,96.02,274652,147290,96.21
2026-03-18,96,100.55,91.96,99.82,134015,97626,96.32
2026-03-19,99.13,101.48,92.8,95.2,67654,63681,96.14
2026-03-20,95,99.67,93.42,98.81,17892,18513,98.32
2026-03-23,100.51,101.67,84.37,88.87,630083,321628,88.13
2026-03-24,88.78,93.36,86.34,88.39,401917,302289,92.35
2026-03-25,88.49,91.73,86.46,91.29,377602,286993,90.32
2026-03-26,91.38,95.44,89.51,93.79,330086,279852,94.48
2026-03-27,93.31,101.24,92.08,101.18,340625,284945,99.64
2026-03-30,102.6,105.36,99.43,105.01,349559,285601,102.88
2026-03-31,105.07,106.86,99.62,101.56,473545,278121,101.38
2026-04-01,101.72,103.31,96.5,98.91,389900,272864,100.12
2026-04-02,98.92,113.97,97.5,112.06,514620,258074,111.54
2026-04-06,112.96,115.48,108.89,112.61,241662,247921,112.41
2026-04-07,112.62,117.63,109.2,110.34,399044,234554,112.95
2026-04-08,108.74,109.19,91.05,96.5,555116,220827,94.41
2026-04-09,96.78,102.7,95.25,97.98,395788,200440,97.87
2026-04-10,98.23,100.42,95.51,95.63,281940,183747,96.57
2026-04-13,102,105.63,97.03,98.01,313886,170475,99.08
2026-04-14,97.99,98,91.06,92.07,270166,153613,91.28
2026-04-15,92.02,93.3,86.96,91.39,216147,142452,91.29
2026-04-16,91.47,95.44,90.52,93.19,162727,130892,94.69
2026-04-17,93.18,94.04,80.56,85.57,91916,84571,83.85
2026-04-20,89,91.2,87.02,87.8,61264,59678,89.61
2026-04-21,87.89,94.45,87.76,91.8,16729,19797,89.67
2026-04-22,90,93.73,87.64,92.87,280762,326639,92.96
2026-04-23,92.9,98.39,92.3,97,345751,320594,95.85
2026-04-24,96.62,97.85,92.68,94.88,307136,309822,94.4
2026-04-27,95.6,97.67,94.59,96.68,196816,301606,96.37
2026-04-28,96.67,101.85,96.24,99.62,257403,296864,99.93
2026-04-29,99.71,108.6,98.42,108.49,294241,295117,106.88
2026-04-30,109.07,110.93,103.34,105.41,316529,292933,105.07
2026-05-01,105.14,106.65,99.3,102.5,241919,279302,101.94
2026-05-04,99.73,107.46,99.11,105.14,317368,271096,106.42
2026-05-05,104.93,105.48,101.08,102.68,206415,263506,102.27
2026-05-06,102.7,102.7,88.66,96.21,393020,249927,95.08
2026-05-07,96.3,97.99,89.85,97.66,352316,239289,94.81
2026-05-08,98.25,98.64,93.82,94.68,211633,220250,95.42
2026-05-11,98.19,100.37,96.13,98.25,221528,195850,98.07
2026-05-12,98.39,102.72,98,102.05,192254,182370,102.18
2026-05-13,102.16,103.67,100.56,101,178686,163055,101.02
2026-05-14,101.02,102.35,99.39,102.02,152862,140485,101.17
2026-05-15,102.06,106,101.48,105.66,61996,91275,105.42
2026-05-18,106,109.47,102.65,107.25,58717,68684,108.66
2026-05-19,107.11,109.24,106.76,108.59,20470,18037,104.15
2026-05-20,104.12,104.45,96.94,99.08,297580,283406,98.26
2026-05-21,98.95,102.66,95.76,98,328251,278055,96.35
2026-05-22,98,99.43,94.73,97,241610,266657,96.6
2026-05-26,93.88,94.7,89.41,93.57,329381,257409,93.89
2026-05-27,93.39,93.69,87.77,89.41,269724,259574,88.68
2026-05-28,89.11,92.52,87.11,88.53,214277,264202,88.9
2026-05-29,88.55,89.02,86.35,87.76,242918,260857,87.36
2026-06-01,88.5,94.78,88.45,92.47,287756,253858,92.16
2026-06-02,92.45,94,90.12,93.39,205342,244662,93.76
2026-06-03,93.45,97,93.45,96.2,237326,230939,96.02
2026-06-04,95.75,95.91,91.91,92.91,195909,217915,93.04
2026-06-05,92.82,93.63,89.68,90.25,215733,203940,90.54
2026-06-08,93,95.47,90.39,91.28,248148,184139,91.3
2026-06-09,91.28,91.55,85.95,88.7,272408,164292,88.2
2026-06-10,89.4,91.87,87.39,91.85,256514,147187,90.03
2026-06-11,92.25,93.64,85.74,86.42,289033,138626,87.71
2026-06-12,86.71,87.23,83.2,84.29,207640,128861,84.88
2026-06-15,81.4,82.42,79.7,81.16,186990,110566,80.75
2026-06-16,81.1,81.58,75.52,76.62,185612,95243,76.05
2026-06-17,76.59,80.03,74.59,75.65,80426,77671,76.79
2026-06-18,75.53,76.99,73.58,76.56,49457,52709,76.6
2026-06-22,76.49,78.96,74.45,75.19,14587,20417,73.86
2026-06-23,74.14,74.45,72.48,73.05,170777,272532,73.21
2026-06-24,73.13,73.18,69.63,69.87,226583,259583,70.34
2026-06-25,69.95,72.5,68.9,71.47,207296,254381,71.92
2026-06-26,71.44,71.86,68.56,70.24,222826,245465,69.23
2026-06-29,70.5,71.15,69.32,70.42,152154,249744,70.75
2026-06-30,70.43,71.6,69.22,70.03,171945,245241,69.5
2026-07-01,69.98,70.19,67.92,68.09,169626,235939,68.58
2026-07-02,68.03,68.8,67.04,68.46,154073,226676,68.69
2026-07-06,68.71,69.26,67.82,68.6,202199,216364,68.55
2026-07-07,68.58,72.51,68.58,72.2,229432,204167,70.44
2026-07-08,72.38,76.08,71.75,74.76,404672,192368,73.52
2026-07-09,74.95,75.13,71.42,71.81,237440,176960,72.08
2026-07-10,71.86,73.16,70.77,71.51,199285,159275,71.41
2026-07-13,73.69,78.58,72.61,78,299010,145647,78.14
2026-07-14,78.04,81.27,77.84,79.83,377833,131842,79.34
2026-07-15,79.74,80.93,78.19,80.24,216363,111016,79.6
2026-07-16,80,80.87,78.58,79.58,161867,94755,78.95
2026-07-17,79.57,82.76,78.61,82.47,77551,67659,82.49
2026-07-20,83.76,85.39,80.27,82.96,53669,53204,83.23
2026-07-21,83.48,85.8,82.25,84.99,13626,17879,84.34
2026-07-22,84.69,88.61,84.44,86.48,328161,303802,86.83
2026-07-23,87.72,93.5,87.32,92.36,379306,301094,92.19
2026-07-24,92.55,92.83,87.68,90.47,336373,301342,89.31
2026-07-27,86.12,86.2,81.63,81.91,328172,293930,82.61
2026-07-28,82,82.43,77.78,79.13,340980,280817,79.26
2026-07-29,80.04,85.57,79.92,84.6,304832,265644,84.46
2026-07-30,84.65,85.94,82.97,83.96,214540,265718,83.59
2026-07-31,83.92,86.87,81.06,86.8,235348,265736,84.67
2026-08-03,79.56,81.3,78.43,80.06,265206,264062,80.34
2026-08-04,80.1,82.33,75.11,75.14,329739,255445,75.77
2026-08-05,75.17,76.7,74.24,75.08,234779,242164,75.22
2026-08-06,75.14,78.51,74.57,78.23,215177,236179,77.29
2026-08-07,78.17,78.77,76.53,77.08,206437,224123,78.18
2026-08-10,78.42,82.38,77.79,82.3,235016,206485,82.13
2026-08-11,82.35,84.61,81.27,83.23,253891,185884,83.2
2026-08-12,83.49,84.35,82.4,82.58,207122,169012,83.27
2026-08-13,82.7,83.3,80.09,81.21,216808,149626,81.25
2026-08-14,81.27,82.99,80.71,82.4,164535,129927,82.4
2026-08-17,82.53,85.04,81.5,84.95,160429,113839,84.5
2026-08-18,84.98,85.94,84.57,85.27,62908,73006,84.94
2026-08-19,85.42,87.19,84.32,86,55838,50234,85.83
2026-08-20,85.8,89,85.6,88.15,17887,13648,86.83
