market,date,oi,nc_l,nc_s,nc_sp,c_l,c_s,nr_l,nr_s,nc_net,c_net,nc_l_chg,nc_s_chg,c_l_chg,c_s_chg
小麦 SRW (CBOT),1995-03-21,363561,54943,55019,63253,123874,101648,121491,143641,-76,22226,,,,
小麦 SRW (CBOT),1995-03-28,361656,47893,46706,70415,126006,108325,117342,136210,1187,17681,-7050,-8312,2132,6677
小麦 SRW (CBOT),1995-04-04,360415,46582,46043,69984,122301,101462,121548,142926,539,20839,-1311,-664,-3705,-6863
小麦 SRW (CBOT),1995-04-11,409731,84720,31200,80843,105358,137224,138811,160465,53520,-31866,38138,-14843,-16944,35761
小麦 SRW (CBOT),1995-04-18,409314,96213,31348,75478,105022,146614,132600,155873,64865,-41592,11493,148,-336,9391
小麦 SRW (CBOT),1995-04-25,380710,86582,20379,67495,97209,136009,129425,156827,66203,-38800,-9632,-10969,-7813,-10605
小麦 SRW (CBOT),1995-05-02,414167,123871,19264,75207,81745,159626,133345,160070,104607,-77881,37290,-1115,-15464,23617
小麦 SRW (CBOT),1995-05-09,436520,128401,18528,78904,95146,178703,134068,160384,109873,-83557,4530,-736,13402,19077
小麦 SRW (CBOT),1995-05-16,469269,146095,16879,72218,107129,218950,143827,161222,129216,-111821,17694,-1650,11982,40247
小麦 SRW (CBOT),1995-05-23,517054,156670,16975,87621,117250,241658,155512,170800,139695,-124408,10575,96,10122,22708
小麦 SRW (CBOT),1995-05-30,556711,164427,16761,108548,124417,261491,159319,169911,147666,-137074,7757,-213,7167,19833
小麦 SRW (CBOT),1995-06-06,594608,165884,16730,125287,139996,267586,163441,185005,149154,-127590,1457,-31,15580,6095
小麦 SRW (CBOT),1995-06-13,601419,146686,16848,127180,155801,259712,171752,197678,129838,-103911,-19198,118,15804,-7874
小麦 SRW (CBOT),1995-06-20,667692,145962,18719,151133,191322,287075,179275,210765,127243,-95753,-724,1870,35521,27363
小麦 SRW (CBOT),1995-06-27,629785,158674,13555,121641,168431,300646,181038,193944,145119,-132215,12712,-5164,-22891,13570
小麦 SRW (CBOT),1995-07-03,636830,145676,15466,117623,175022,315898,198509,187843,130210,-140876,-12999,1911,6591,15253
小麦 SRW (CBOT),1995-07-11,664019,155325,17518,126285,178185,333211,204224,187005,137807,-155026,9649,2052,3163,17312
小麦 SRW (CBOT),1995-07-18,703116,151719,15354,135496,198488,358129,217413,194138,136365,-159641,-3605,-2164,20302,24918
小麦 SRW (CBOT),1995-07-25,738199,155783,19204,143142,196750,365387,242525,210465,136579,-168637,4063,3851,-1738,7258
小麦 SRW (CBOT),1995-08-01,744616,164320,19994,145310,191328,372315,243657,206997,144326,-180987,8538,790,-5421,6927
小麦 SRW (CBOT),1995-08-08,674368,120310,15836,137946,204346,319395,211765,201191,104474,-115049,-44010,-4159,13018,-52919
小麦 SRW (CBOT),1995-08-15,650677,102332,21497,132562,208014,306741,207769,189878,80835,-98727,-17978,5661,3668,-12655
小麦 SRW (CBOT),1995-08-22,601549,103772,19047,104019,191064,290002,202694,188480,84725,-98938,1440,-2449,-16951,-16739
小麦 SRW (CBOT),1995-08-29,597098,109842,21045,107009,185066,277829,195181,191216,88797,-92763,6070,1998,-5998,-12173
小麦 SRW (CBOT),1995-09-05,597631,112104,19445,112194,172792,272024,200542,193969,92659,-99232,2262,-1600,-12274,-5805
小麦 SRW (CBOT),1995-09-12,658777,135442,24057,123449,177724,302416,222162,208855,111385,-124692,23339,4613,4932,30392
小麦 SRW (CBOT),1995-09-19,690312,135251,23256,133628,196971,329081,224463,204348,111995,-132110,-192,-801,19247,26665
小麦 SRW (CBOT),1995-09-26,694654,125458,26343,129003,205154,340725,235040,198584,99115,-135571,-9793,3087,8182,11644
小麦 SRW (CBOT),1995-10-03,700104,125735,26401,138906,215146,352290,220316,182506,99334,-137144,277,58,9992,11566
小麦 SRW (CBOT),1995-10-10,684495,109340,24591,137131,217710,347886,220314,174887,84749,-130176,-16396,-1810,2564,-4405
小麦 SRW (CBOT),1995-10-17,735370,120254,25015,151821,214956,357512,248340,201022,95239,-142556,10914,424,-2755,9627
小麦 SRW (CBOT),1995-10-24,749309,136343,27860,157341,189598,348358,266027,215750,108483,-158760,16089,2844,-25358,-9154
小麦 SRW (CBOT),1995-10-31,755903,135598,26464,159471,196216,352962,264618,217006,109134,-156746,-745,-1396,6618,4604
小麦 SRW (CBOT),1995-11-07,717695,111393,23611,153138,205691,327755,247474,213192,87782,-122064,-24206,-2853,9475,-25208
小麦 SRW (CBOT),1995-11-14,695408,98917,20021,133618,235604,326305,227270,215464,78896,-90701,-12476,-3590,29913,-1449
小麦 SRW (CBOT),1995-11-21,596149,87013,19387,63002,246372,303908,199762,209852,67626,-57536,-11903,-633,10769,-22397
小麦 SRW (CBOT),1995-11-28,587974,102627,20425,63560,221092,295622,200696,208367,82202,-74530,15614,1038,-25281,-8287
小麦 SRW (CBOT),1995-12-05,600769,103757,23968,68339,211637,293095,217036,215367,79789,-81458,1130,3543,-9454,-2527
小麦 SRW (CBOT),1995-12-12,627008,120135,33257,79224,179346,301248,248302,213279,86878,-121902,16378,9289,-32291,8153
小麦 SRW (CBOT),1995-12-19,652012,121169,38841,97612,177148,313591,256083,201969,82328,-136443,1034,5583,-2199,12343
小麦 SRW (CBOT),1995-12-26,629735,107926,33036,93198,178514,301842,250097,201659,74890,-123328,-13242,-5804,1366,-11749
小麦 SRW (CBOT),1996-01-02,666970,128548,39893,106232,170236,318329,261955,202517,88655,-148093,20621,6857,-8278,16487
小麦 SRW (CBOT),1996-01-09,645987,95271,37079,103319,201163,293474,246233,212115,58192,-92311,-33276,-2813,30927,-24855
小麦 SRW (CBOT),1996-01-16,676989,86036,69270,102299,255038,276192,233616,229228,16766,-21154,-9235,32191,53875,-17281
小麦 SRW (CBOT),1996-01-23,674035,79375,59111,109564,248362,270869,236734,234492,20264,-22507,-6660,-10159,-6676,-5324
小麦 SRW (CBOT),1996-01-30,701995,136329,31015,135221,184985,305402,245459,230356,105314,-120417,56953,-28095,-63377,34533
小麦 SRW (CBOT),1996-02-06,714485,145444,34228,149705,151534,302359,267802,228193,111216,-150825,9115,3213,-33451,-3044
小麦 SRW (CBOT),1996-02-13,710942,134629,34165,157188,155073,306686,264052,212903,100464,-151613,-10815,-63,3539,4328
小麦 SRW (CBOT),1996-02-20,650159,127351,39346,119381,151560,281420,251868,210012,88005,-129860,-7278,5181,-3513,-25266
小麦 SRW (CBOT),1996-02-27,636994,121822,31926,128096,141849,285712,245227,191260,89896,-143863,-5528,-7421,-9711,4292
小麦 SRW (CBOT),1996-03-05,642607,106779,35570,131217,155444,291450,249167,184371,71209,-136006,-15043,3644,13595,5737
小麦 SRW (CBOT),1996-03-12,611386,97940,29027,115531,159100,281163,238815,185666,68913,-122063,-8839,-6543,3657,-10287
小麦 SRW (CBOT),1996-03-19,579332,76014,43191,102996,174201,254296,226121,178849,32823,-80095,-21926,14164,15101,-26867
小麦 SRW (CBOT),1996-03-26,608706,100734,31235,117544,145124,276385,245305,183542,69499,-131261,24720,-11956,-29077,22090
小麦 SRW (CBOT),1996-04-02,665561,120144,30491,141044,159196,304091,245177,189935,89653,-144895,19410,-744,14072,27706
小麦 SRW (CBOT),1996-04-09,719175,122668,25466,169919,166862,322727,259725,201063,97202,-155865,2524,-5025,7666,18636
小麦 SRW (CBOT),1996-04-16,786201,109651,20093,215031,209657,375917,251862,175160,89558,-166260,-13017,-5373,42795,53190
小麦 SRW (CBOT),1996-04-23,816547,115804,15720,227969,212326,386798,260448,186060,100084,-174472,6153,-4373,2669,10880
小麦 SRW (CBOT),1996-04-30,802376,98710,14706,252906,213021,372495,237740,162270,84004,-159474,-17094,-1014,695,-14303
小麦 SRW (CBOT),1996-05-07,783161,86336,14296,254407,215889,367016,226529,147441,72040,-151127,-12374,-410,2868,-5478
小麦 SRW (CBOT),1996-05-14,781111,95051,13315,249069,207842,362712,229150,156014,81736,-154870,8715,-980,-8047,-4304
小麦 SRW (CBOT),1996-05-21,772915,91784,18659,247649,207641,354396,225841,152210,73125,-146755,-3266,5344,-201,-8316
小麦 SRW (CBOT),1996-05-28,737124,88607,21175,226031,216719,326723,205767,163195,67432,-110004,-3178,2516,9078,-27674
小麦 SRW (CBOT),1996-06-04,688832,56824,19383,225667,226610,286468,179731,157314,37441,-59858,-31783,-1792,9892,-40254
小麦 SRW (CBOT),1996-06-11,685676,60869,27095,222203,229672,283191,172931,153187,33774,-53519,4045,7712,3062,-3277
小麦 SRW (CBOT),1996-06-18,642628,57902,17410,190183,225259,290337,169284,144698,40492,-65078,-2967,-9685,-4414,7146
小麦 SRW (CBOT),1996-06-25,506437,51464,10510,106254,193804,248956,154915,140716,40954,-55152,-6438,-6900,-31455,-41380
小麦 SRW (CBOT),1996-07-02,495970,41982,6338,118976,193192,229295,141821,141362,35644,-36103,-9482,-4172,-612,-19662
小麦 SRW (CBOT),1996-07-09,500248,48692,10360,117869,192810,235923,140877,136097,38332,-43113,6710,4022,-381,6628
小麦 SRW (CBOT),1996-07-16,499847,46785,14907,126394,170476,225988,156193,132558,31878,-55512,-1907,4548,-22335,-9934
小麦 SRW (CBOT),1996-07-23,493723,41043,20896,117406,182931,223428,152344,131994,20147,-40497,-5742,5988,12455,-2560
小麦 SRW (CBOT),1996-07-30,510285,34968,34345,125488,193970,219169,155860,131283,623,-25199,-6075,13449,11039,-4259
小麦 SRW (CBOT),1996-08-06,515253,37370,37624,118491,194299,230160,165093,128978,-254,-35861,2402,3279,330,10991
小麦 SRW (CBOT),1996-08-13,519216,40055,26962,125532,175927,244001,177702,122721,13093,-68074,2685,-10662,-18373,13841
小麦 SRW (CBOT),1996-08-20,503540,37726,21526,117871,168267,247860,179677,116283,16200,-79593,-2330,-5436,-7660,3859
小麦 SRW (CBOT),1996-08-27,449092,36356,18421,84795,145925,236556,182016,109320,17935,-90631,-1369,-3105,-22342,-11304
小麦 SRW (CBOT),1996-09-03,442288,38954,25898,84008,150760,220339,168566,112042,13056,-69579,2598,7477,4835,-16217
小麦 SRW (CBOT),1996-09-10,457664,42188,25041,96511,146407,225869,172558,110243,17147,-79462,3234,-858,-4353,5530
小麦 SRW (CBOT),1996-09-17,460561,48881,32122,101193,146122,207152,164365,120095,16759,-61030,6693,7081,-285,-18718
小麦 SRW (CBOT),1996-09-24,477979,53416,31270,104307,147809,222962,172447,119440,22146,-75153,4535,-852,1687,15810
小麦 SRW (CBOT),1996-10-01,490292,53965,38236,107654,154682,232495,173991,111907,15729,-77813,549,6966,6873,9533
小麦 SRW (CBOT),1996-10-08,481653,42753,33174,115782,161552,225790,161567,106907,9579,-64238,-11213,-5062,6870,-6705
小麦 SRW (CBOT),1996-10-15,483186,51556,34274,114081,145335,222186,172214,112646,17282,-76851,8803,1100,-16216,-3604
小麦 SRW (CBOT),1996-10-22,472393,38716,44162,117544,156127,185699,160006,124988,-5446,-29572,-12839,9889,10792,-36487
小麦 SRW (CBOT),1996-10-29,445125,28818,41053,99924,152222,181912,164160,122235,-12235,-29690,-9898,-3110,-3905,-3787
小麦 SRW (CBOT),1996-11-05,453032,28252,47379,91637,176673,181637,156471,132379,-19127,-4964,-566,6327,24450,-276
小麦 SRW (CBOT),1996-11-12,469056,31795,45541,90580,166168,188366,180512,144569,-13746,-22198,3543,-1838,-10504,6729
小麦 SRW (CBOT),1996-11-19,400902,36249,39748,58045,142381,181925,164227,121183,-3499,-39544,4454,-5793,-23788,-6441
小麦 SRW (CBOT),1996-11-26,409093,41472,36491,66723,136249,196655,164649,109223,4981,-60406,5223,-3257,-6132,14730
小麦 SRW (CBOT),1996-12-03,405350,35730,34522,67759,150677,189770,151184,113300,1208,-39093,-5742,-1969,14428,-6886
小麦 SRW (CBOT),1996-12-10,407282,35499,37024,71518,146570,190511,153695,108229,-1525,-43941,-231,2502,-4107,742
小麦 SRW (CBOT),1996-12-17,441993,34483,34919,92987,153739,208799,160783,105288,-436,-55060,-1016,-2105,7169,18288
小麦 SRW (CBOT),1996-12-24,453943,40760,33789,93645,151484,212203,168054,114306,6971,-60719,6277,-1130,-2255,3404
小麦 SRW (CBOT),1996-12-31,451515,40681,31531,98320,154622,212178,157892,109487,9150,-57556,-79,-2258,3138,-26
小麦 SRW (CBOT),1997-01-07,475562,41329,37179,101837,151336,225842,181060,110704,4150,-74506,648,5648,-3286,13665
小麦 SRW (CBOT),1997-01-14,490695,43583,42362,107990,143137,215255,195986,125089,1221,-72118,2253,5183,-8199,-10588
小麦 SRW (CBOT),1997-01-21,504398,38074,47867,111986,153074,207082,201264,137463,-9793,-54008,-5509,5505,9937,-8173
小麦 SRW (CBOT),1997-01-28,493955,41436,57574,104688,155914,209146,191917,122547,-16138,-53232,3362,9707,2840,2064
小麦 SRW (CBOT),1997-02-04,518246,34530,84571,109214,176545,183673,197957,140787,-50041,-7128,-6906,26997,20630,-25472
小麦 SRW (CBOT),1997-02-11,515771,36986,80490,108400,168195,176777,202190,150104,-43504,-8582,2456,-4081,-8349,-6897
小麦 SRW (CBOT),1997-02-18,535700,38059,82990,113633,174912,191187,209097,147890,-44931,-16275,1073,2500,6716,14411
小麦 SRW (CBOT),1997-02-25,502718,44651,73121,97930,146338,201764,213798,129903,-28470,-55426,6592,-9869,-28573,10577
小麦 SRW (CBOT),1997-03-04,522375,57358,64346,113630,148987,221167,202401,123233,-6988,-72180,12706,-8775,2649,19403
小麦 SRW (CBOT),1997-03-11,547040,68028,73837,116263,147902,228165,214846,128775,-5809,-80263,10670,9491,-1085,6998
小麦 SRW (CBOT),1997-03-18,579384,94740,65128,127441,136394,263386,220808,123428,29612,-126992,26712,-8709,-11508,35222
小麦 SRW (CBOT),1997-03-25,624039,107617,65573,145171,143604,283714,227647,129580,42044,-140110,12877,445,7210,20328
小麦 SRW (CBOT),1997-04-01,680195,122610,67482,166044,163218,302067,228323,144602,55128,-138849,14993,1908,19615,18353
小麦 SRW (CBOT),1997-04-08,641966,103669,53777,160958,164782,288090,212557,139142,49892,-123308,-18941,-13705,1564,-13977
小麦 SRW (CBOT),1997-04-15,727663,122413,29393,186024,171258,335949,247968,176297,93020,-164691,18744,-24384,6476,47860
小麦 SRW (CBOT),1997-04-22,723424,123561,24310,193767,165282,339938,240814,165410,99251,-174656,1148,-5083,-5976,3989
小麦 SRW (CBOT),1997-04-29,718001,129633,26288,188082,182498,347931,217789,155700,103345,-165433,6072,1978,17215,7993
小麦 SRW (CBOT),1997-05-06,704020,108203,21850,186216,203083,335506,206517,160447,86353,-132423,-21430,-4438,20586,-12425
小麦 SRW (CBOT),1997-05-13,695815,96284,29637,188227,205359,304121,205945,173830,66647,-98762,-11919,7788,2276,-31385
小麦 SRW (CBOT),1997-05-20,676163,85314,39428,190696,205314,274565,194840,171474,45886,-69251,-10970,9791,-45,-29556
小麦 SRW (CBOT),1997-05-27,672086,64113,41690,206480,231200,255815,170293,168100,22423,-24615,-21201,2262,25886,-18750
小麦 SRW (CBOT),1997-06-03,677845,48538,49806,204022,249192,253928,176094,170089,-1268,-4736,-15575,8116,17992,-1887
小麦 SRW (CBOT),1997-06-10,673857,42626,49904,203085,252525,263602,175622,157267,-7278,-11077,-5912,97,3334,9673
小麦 SRW (CBOT),1997-06-17,663068,37973,53758,178047,266233,264898,180815,166365,-15785,1335,-4652,3855,13708,1296
小麦 SRW (CBOT),1997-06-24,565972,34109,62164,98871,262324,252484,170668,152453,-28055,9840,-3864,8406,-3909,-12414
小麦 SRW (CBOT),1997-07-01,586173,34283,77517,117776,259360,236516,174754,154363,-43234,22844,174,15353,-2964,-15968
小麦 SRW (CBOT),1997-07-08,600049,39343,82250,119219,258341,226298,183146,172281,-42907,32043,5060,4733,-1019,-10218
小麦 SRW (CBOT),1997-07-15,631537,43811,82263,123524,257675,270864,206528,154886,-38452,-13189,4468,13,-666,44566
小麦 SRW (CBOT),1997-07-22,676072,50310,82917,139434,249652,300189,236676,153533,-32607,-50537,6499,654,-8023,29324
小麦 SRW (CBOT),1997-07-29,720408,54736,74032,157970,258692,320460,249010,167946,-19296,-61768,4426,-8885,9040,20272
小麦 SRW (CBOT),1997-08-05,748192,60444,73223,163167,272171,331949,252410,179853,-12779,-59778,5708,-809,13479,11489
小麦 SRW (CBOT),1997-08-12,763015,69430,64922,174517,236225,344356,282842,179220,4508,-108131,8986,-8301,-35946,12407
小麦 SRW (CBOT),1997-08-19,740036,69693,67812,172858,235104,341444,262381,157922,1881,-106340,263,2891,-1121,-2912
小麦 SRW (CBOT),1997-08-26,660376,67910,60040,125128,218743,328794,248595,146414,7870,-110051,-1783,-7773,-16361,-12650
小麦 SRW (CBOT),1997-09-02,714672,97616,51190,141356,208150,360974,267549,161152,46426,-152824,29706,-8850,-10593,32180
小麦 SRW (CBOT),1997-09-09,692336,85538,49995,138502,221334,347345,246962,156495,35543,-126011,-12078,-1195,13184,-13629
小麦 SRW (CBOT),1997-09-16,690754,72445,50644,129088,225958,329912,263263,181111,21801,-103954,-13093,649,4625,-17433
小麦 SRW (CBOT),1997-09-23,701735,68380,56732,132715,232186,328648,268454,183640,11648,-96462,-4065,6088,6228,-1264
小麦 SRW (CBOT),1997-09-30,705118,79329,90175,146024,251434,300183,228331,168737,-10846,-48749,10950,33443,19248,-28465
小麦 SRW (CBOT),1997-10-07,725895,88153,81171,151416,248420,326902,237906,166406,6982,-78482,8824,-9004,-3014,26720
小麦 SRW (CBOT),1997-10-14,730616,90171,64545,160218,248208,344453,232020,161399,25626,-96245,2018,-16626,-212,17551
小麦 SRW (CBOT),1997-10-21,716897,91432,49867,156590,226367,357527,242508,152913,41565,-131160,1262,-14678,-21841,13074
小麦 SRW (CBOT),1997-10-28,701126,78890,53978,146826,245121,351403,230289,148919,24912,-106282,-12542,4112,18754,-6124
小麦 SRW (CBOT),1997-11-04,699409,74705,57270,145058,247383,344554,232263,152527,17435,-97171,-4185,3291,2262,-6849
小麦 SRW (CBOT),1997-11-11,681135,63668,80475,131553,256404,312446,229509,156661,-16807,-56042,-11036,23205,9021,-32108
小麦 SRW (CBOT),1997-11-18,591075,66944,91685,68270,244440,273823,211421,157297,-24741,-29383,3275,11211,-11963,-38623
小麦 SRW (CBOT),1997-11-25,580319,66779,112174,70045,240729,241279,202767,156822,-45395,-550,-165,20489,-3712,-32544
小麦 SRW (CBOT),1997-12-02,532534,64677,101594,69623,209514,225609,188721,135709,-36917,-16095,-2102,-10580,-31215,-15670
小麦 SRW (CBOT),1997-12-09,545660,67383,92446,63808,211702,253233,202768,136173,-25063,-41531,2706,-9148,2188,27624
小麦 SRW (CBOT),1997-12-16,547693,59644,106494,65266,229431,235848,193352,140085,-46850,-6417,-7739,14048,17729,-17385
小麦 SRW (CBOT),1997-12-23,578722,57439,118625,80916,246205,242780,194162,136401,-61186,3425,-2205,12131,16774,6932
小麦 SRW (CBOT),1997-12-30,591516,55720,124973,88394,260403,240115,186999,138033,-69253,20288,-1719,6348,14198,-2665
小麦 SRW (CBOT),1998-01-06,122514,10952,26607,19136,52785,45354,39641,31418,-15655,7431,-44768,-98366,-207618,-194761
小麦 SRW (CBOT),1998-01-13,128442,10573,22895,24808,49454,50817,43606,29921,-12322,-1363,-379,-3711,-3331,5464
小麦 SRW (CBOT),1998-01-20,129413,10991,23650,25910,47570,50438,44943,29416,-12659,-2868,418,755,-1884,-380
小麦 SRW (CBOT),1998-01-27,141557,12501,22098,28475,48202,58012,52378,32972,-9597,-9810,1509,-1552,633,7574
小麦 SRW (CBOT),1998-02-03,141139,13818,19861,28766,46666,61954,51888,30557,-6043,-15288,1318,-2236,-1537,3943
小麦 SRW (CBOT),1998-02-10,140426,12720,17329,27861,46751,64780,53094,30456,-4609,-18029,-1098,-2532,86,2826
小麦 SRW (CBOT),1998-02-17,140893,12411,21718,27633,50280,56932,50569,34610,-9307,-6652,-309,4389,3529,-7848
小麦 SRW (CBOT),1998-02-24,132518,12759,25096,21814,47229,50402,50716,35206,-12337,-3173,348,3378,-3051,-6530
小麦 SRW (CBOT),1998-03-03,126582,12312,25247,22247,43315,47228,48708,31860,-12935,-3913,-447,151,-3915,-3174
小麦 SRW (CBOT),1998-03-10,129491,12639,23502,22352,41612,51853,52888,31784,-10863,-10241,327,-1746,-1703,4625
小麦 SRW (CBOT),1998-03-17,129763,15576,20207,22330,43734,62033,48123,25194,-4631,-18299,2937,-3294,2123,10179
小麦 SRW (CBOT),1998-03-24,132388,19212,24219,20976,43628,57305,48572,29888,-5007,-13677,3636,4012,-106,-4727
小麦 SRW (CBOT),1998-03-31,140535,20499,27930,22683,47707,58067,49645,31855,-7431,-10360,1287,3710,4079,762
小麦 SRW (CBOT),1998-04-07,147452,17708,33029,24713,54345,56985,50686,32725,-15321,-2640,-2791,5100,6637,-1082
小麦 SRW (CBOT),1998-04-14,148596,17508,33345,26120,54144,57162,50824,31968,-15837,-3018,-200,315,-201,177
小麦 SRW (CBOT),1998-04-21,144458,17301,34843,22433,54108,56875,50616,30306,-17542,-2767,-207,1499,-36,-287
小麦 SRW (CBOT),1998-04-28,144197,18872,31147,21710,52486,58266,51130,33075,-12275,-5780,1571,-3696,-1622,1390
小麦 SRW (CBOT),1998-05-05,147548,19710,33074,24416,54881,59585,48541,30472,-13364,-4704,838,1927,2395,1320
小麦 SRW (CBOT),1998-05-12,148000,22449,29560,23258,53362,65524,48931,29658,-7111,-12162,2739,-3514,-1519,5939
小麦 SRW (CBOT),1998-05-19,153643,20731,33359,26232,58290,62806,48390,31246,-12628,-4516,-1718,3799,4928,-2718
小麦 SRW (CBOT),1998-05-26,157158,21299,34141,27761,59222,60842,48876,34413,-12842,-1620,568,782,932,-1964
小麦 SRW (CBOT),1998-06-02,148504,16697,33665,26299,58892,56154,46617,32386,-16968,2738,-4602,-476,-330,-4689
小麦 SRW (CBOT),1998-06-09,154046,18327,33322,28937,60283,58861,46499,32926,-14995,1422,1630,-344,1391,2707
小麦 SRW (CBOT),1998-06-16,150740,17830,31123,28622,57526,58543,46762,32453,-13293,-1017,-497,-2199,-2757,-318
小麦 SRW (CBOT),1998-06-23,146197,16740,22446,25112,54262,67811,50083,30828,-5706,-13549,-1090,-8676,-3264,9267
小麦 SRW (CBOT),1998-06-30,149706,19199,21007,27063,63992,77844,39452,23792,-1808,-13852,2459,-1439,9729,10034
小麦 SRW (CBOT),1998-07-07,149702,19340,20898,24607,61872,78011,43882,26186,-1558,-16139,141,-109,-2119,167
小麦 SRW (CBOT),1998-07-14,151795,18344,21209,26980,63076,76318,43395,27288,-2865,-13242,-997,312,1204,-1693
小麦 SRW (CBOT),1998-07-21,161080,20563,21162,29804,63105,81996,47607,28118,-599,-18891,2220,-47,29,5677
小麦 SRW (CBOT),1998-07-28,162042,17500,23353,34075,65739,74978,44727,29636,-5853,-9239,-3063,2190,2634,-7018
小麦 SRW (CBOT),1998-08-04,163241,14731,25711,34850,68209,72371,45451,30308,-10980,-4162,-2770,2359,2470,-2607
小麦 SRW (CBOT),1998-08-11,166269,17273,25111,32089,63124,76460,53783,32610,-7838,-13336,2542,-600,-5085,4089
小麦 SRW (CBOT),1998-08-18,167014,17091,23342,31214,61669,80867,57040,31591,-6251,-19198,-182,-1769,-1456,4407
小麦 SRW (CBOT),1998-08-25,159122,17924,25191,28484,59857,73395,52857,32053,-7267,-13538,833,1849,-1812,-7472
小麦 SRW (CBOT),1998-09-01,159101,18957,29092,30060,58561,63187,51523,36763,-10135,-4626,1033,3901,-1296,-10208
小麦 SRW (CBOT),1998-09-08,157412,17536,27963,29128,55198,66279,55550,34042,-10427,-11081,-1422,-1129,-3363,3093
小麦 SRW (CBOT),1998-09-15,163315,17520,25405,29353,55961,74088,60480,34469,-7885,-18127,-16,-2558,763,7809
小麦 SRW (CBOT),1998-09-22,174163,20111,23967,32233,56363,85804,65455,32158,-3856,-29441,2590,-1437,403,11716
小麦 SRW (CBOT),1998-09-29,170519,19272,17790,33221,55778,89939,62248,29568,1482,-34161,-839,-6177,-586,4135
小麦 SRW (CBOT),1998-10-06,173067,18259,14912,36002,56567,91492,62239,30661,3347,-34925,-1013,-2878,789,1552
小麦 SRW (CBOT),1998-10-13,185270,22893,8928,38499,61204,104395,62674,33448,13965,-43191,4634,-5984,4637,12903
小麦 SRW (CBOT),1998-10-20,182138,17320,8062,37644,64364,102715,62809,33717,9258,-38351,-5572,-866,3160,-1680
小麦 SRW (CBOT),1998-10-27,184903,20499,7495,39291,63618,101447,61495,36671,13004,-37829,3179,-567,-746,-1268
小麦 SRW (CBOT),1998-11-03,184005,19955,7873,40186,66032,101878,57832,34068,12082,-35846,-544,378,2413,432
小麦 SRW (CBOT),1998-11-10,182737,20373,6454,38823,64295,103195,59246,34264,13919,-38900,418,-1419,-1737,1317
小麦 SRW (CBOT),1998-11-17,179758,19552,7083,36858,68164,102380,55185,33437,12469,-34216,-822,629,3869,-816
小麦 SRW (CBOT),1998-11-24,154369,14099,13947,29075,66162,82764,45034,28583,152,-16602,-5453,6864,-2002,-19615
小麦 SRW (CBOT),1998-12-01,147437,13823,16969,30479,62997,70557,40138,29431,-3146,-7560,-276,3022,-3165,-12207
小麦 SRW (CBOT),1998-12-08,147212,11984,21375,29354,66245,66203,39630,30280,-9391,42,-1839,4407,3248,-4354
小麦 SRW (CBOT),1998-12-15,153558,11544,26508,31479,69566,62366,40969,33205,-14964,7200,-440,5133,3321,-3837
小麦 SRW (CBOT),1998-12-22,156220,11779,26105,30537,69566,65412,44338,34166,-14326,4154,234,-403,0,3046
小麦 SRW (CBOT),1998-12-29,156686,11614,25676,29353,70307,69294,45411,32362,-14062,1013,-164,-428,741,3882
小麦 SRW (CBOT),1999-01-05,157150,11794,27593,29498,71403,65860,44455,34199,-15799,5543,180,1917,1095,-3434
小麦 SRW (CBOT),1999-01-12,156106,13179,21438,29802,68680,72534,44445,32332,-8259,-3854,1385,-6156,-2722,6674
小麦 SRW (CBOT),1999-01-19,168376,11969,27966,37795,75795,67338,42817,35277,-15997,8457,-1210,6528,7115,-5196
小麦 SRW (CBOT),1999-01-26,177122,13657,31710,41380,76796,65794,45289,38237,-18053,11002,1688,3744,1001,-1544
小麦 SRW (CBOT),1999-02-02,185849,14704,31377,47631,77736,68415,45778,38426,-16673,9321,1047,-333,939,2621
小麦 SRW (CBOT),1999-02-09,190471,14175,34686,47221,83418,69764,45657,38799,-20511,13654,-529,3309,5682,1350
小麦 SRW (CBOT),1999-02-16,191345,14580,37537,45593,84962,66870,46209,41345,-22957,18092,406,2851,1544,-2895
小麦 SRW (CBOT),1999-02-23,167685,12117,38025,31784,83868,61051,39916,36825,-25908,22817,-2463,488,-1094,-5818
小麦 SRW (CBOT),1999-03-02,168850,11953,36911,35714,82349,61461,38834,34764,-24958,20888,-164,-1113,-1519,410
小麦 SRW (CBOT),1999-03-09,163986,12323,32376,35865,79146,64227,36652,31518,-20053,14919,371,-4535,-3203,2766
小麦 SRW (CBOT),1999-03-16,159832,13986,26350,34410,74085,67574,37351,31498,-12364,6511,1663,-6026,-5060,3347
小麦 SRW (CBOT),1999-03-23,162817,15311,26002,36013,73241,70173,38252,30629,-10691,3068,1325,-348,-845,2599
小麦 SRW (CBOT),1999-03-30,165271,19217,12217,37502,66673,83290,41879,32261,7000,-16617,3906,-13784,-6568,13117
小麦 SRW (CBOT),1999-04-06,155585,18971,11252,36170,65615,80349,34829,27814,7719,-14734,-245,-966,-1058,-2941
小麦 SRW (CBOT),1999-04-13,163992,15486,18651,38900,75695,79352,33911,27089,-3165,-3657,-3485,7399,10080,-997
小麦 SRW (CBOT),1999-04-20,163351,15452,23489,39323,71055,72652,37521,27887,-8037,-1597,-34,4838,-4640,-6700
小麦 SRW (CBOT),1999-04-27,147897,13329,25807,33079,67454,62559,34035,26452,-12478,4895,-2124,2318,-3601,-10093
