market,type,date,dnet,dlong,dshort,share_long,cluster_len,retention_4w,pre4,pre8,net_after,fwd1,fwd2,fwd4,fwd8,fwd12
小麦 三合约合计,long_surge,2019-01-22,13247,10770,-2477,0.813,1,-3.4792,0.0105,0.0059,-4620,0.0037,-0.0032,-0.0366,-0.0632,-0.083
小麦 三合约合计,long_surge,2019-12-17,78184,57601,-20583,0.7367,10,1.8154,0.0165,0.0432,19876,-0.0024,0.0068,0.0149,-0.005,-0.0183
小麦 三合约合计,long_surge,2020-03-31,31120,26039,-5081,0.8367,1,-0.159,0.0588,0.0168,39462,-0.0249,-0.0277,-0.0377,-0.0458,-0.0754
小麦 三合约合计,long_surge,2020-06-02,8514,10542,2028,1.2382,1,-2.3935,0.0017,-0.0365,-54485,-0.0231,-0.034,0.0323,-0.0114,0.0396
小麦 三合约合计,long_surge,2020-07-14,51057,28054,-23003,0.5495,2,0.3849,0.0744,0.015,-30765,-0.0102,-0.0475,-0.0166,0.0293,0.0821
小麦 三合约合计,long_surge,2020-08-25,87421,37585,-49836,0.4299,2,3.4929,0.0516,0.007,-14240,-0.0096,0.0276,0.0233,0.0504,0.0507
小麦 三合约合计,long_surge,2020-10-06,71203,51603,-19600,0.7247,4,1.9611,0.0514,0.1005,73614,0.0079,-0.0278,-0.0335,-0.0179,0.0032
小麦 三合约合计,long_surge,2021-01-05,12203,18822,6619,1.5424,1,0.8183,0.068,0.0777,107955,-0.0379,-0.0117,-0.0353,-0.0398,-0.0389
小麦 三合约合计,long_surge,2021-04-20,53021,29676,-23345,0.5597,2,1.4936,0.1273,0.0763,59252,0.0257,-0.0245,-0.0645,-0.0913,-0.0534
小麦 三合约合计,long_surge,2021-08-03,36047,49969,13922,1.3862,3,0.7854,0.0644,0.0947,87178,-0.0414,-0.0385,-0.0776,-0.038,-0.0071
小麦 三合约合计,long_surge,2021-10-05,11762,23201,11439,1.9725,4,2.3621,0.0249,0.0039,68969,0.0229,0.0365,0.0772,0.0367,0.0152
小麦 三合约合计,long_surge,2022-02-22,45076,29026,-16050,0.6439,2,2.7021,0.0586,0.0749,46951,0.2931,0.2075,0.2014,0.1725,0.2539
小麦 三合约合计,long_surge,2022-05-17,7861,10710,2849,1.3624,1,-2.3366,0.074,0.1259,96719,-0.0784,-0.0572,-0.1579,-0.2805,-0.2817
小麦 三合约合计,long_surge,2023-01-31,21267,11830,-9437,0.5563,1,-0.2706,0.0445,0.0301,-42267,-0.0212,-0.0742,-0.1083,-0.1156,-0.1396
小麦 三合约合计,long_surge,2023-07-25,31599,14645,-16954,0.4635,1,-1.309,-0.0187,-0.0085,5067,-0.0091,-0.0239,-0.0743,-0.1369,-0.0968
小麦 三合约合计,long_surge,2023-11-07,11524,13865,2341,1.2031,1,1.4472,-0.0427,-0.037,-129225,0.002,0.0319,0.0681,0.0257,0.0267
小麦 三合约合计,long_surge,2024-01-30,17405,15100,-2305,0.8676,1,0.6182,0.001,-0.0387,-87289,-0.046,-0.033,-0.0727,-0.0346,0.0165
小麦 三合约合计,long_surge,2024-06-25,-33420,28879,62299,nan,2,1.135,-0.0649,-0.1039,-98707,-0.0538,-0.0625,-0.0685,-0.0831,-0.0459
小麦 三合约合计,long_surge,2024-08-27,-5131,13094,18225,nan,1,-8.166,0.0032,-0.0098,-90966,0.0401,0.0035,0.033,0.0004,-0.0504
小麦 三合约合计,long_surge,2024-11-19,-13254,14789,28043,nan,1,3.0398,-0.0507,-0.0807,-99546,0.0101,0.0037,-0.003,-0.0086,0.0609
小麦 三合约合计,long_surge,2025-07-22,6237,12581,6344,2.0172,1,-8.0624,-0.0632,-0.0846,-96420,-0.0021,-0.0165,-0.0055,-0.0304,-0.0405
