family,rank_type,rank,date,chg,level_after,prev_level,net_after
黑海金融小麦 (CBOT),净多增加,18,2020-07-07,1418,15287,13869,15287
黑海金融小麦 (CBOT),净多增加,19,2018-06-12,1390,8870,7480,8870
黑海金融小麦 (CBOT),净多增加,20,2021-08-03,1271,8925,7654,8925
白小麦 (MGE),多头增仓,1,1996-10-01,794,794,0,794
白小麦 (MGE),多头增仓,2,1997-09-30,670,670,0,670
白小麦 (MGE),多头增仓,3,1997-07-15,510,510,0,36
白小麦 (MGE),多头增仓,4,1997-10-07,460,1130,670,1130
白小麦 (MGE),多头增仓,5,1996-06-25,405,1555,1150,1055
白小麦 (MGE),多头增仓,6,1997-02-11,319,348,30,348
白小麦 (MGE),多头增仓,7,1998-03-17,122,122,104,122
白小麦 (MGE),多头增仓,8,1998-07-14,105,105,0,105
白小麦 (MGE),多头增仓,9,1998-03-31,49,199,150,-63
白小麦 (MGE),多头增仓,10,1995-05-16,45,45,0,45
白小麦 (MGE),多头增仓,11,1997-02-04,30,30,0,30
白小麦 (MGE),多头增仓,12,1998-03-24,28,150,122,150
白小麦 (MGE),多头增仓,13,1995-04-04,15,15,0,15
白小麦 (MGE),多头增仓,14,1996-10-08,11,805,794,805
白小麦 (MGE),多头增仓,15,1995-06-13,5,45,40,45
白小麦 (MGE),多头增仓,16,1995-03-28,0,0,0,0
白小麦 (MGE),多头增仓,17,1995-04-11,0,15,15,15
白小麦 (MGE),多头增仓,18,1995-04-25,0,0,0,-5
白小麦 (MGE),多头增仓,19,1995-05-02,0,0,0,0
白小麦 (MGE),多头增仓,20,1995-05-09,0,0,0,0
白小麦 (MGE),空头砍仓,1,1996-12-10,-924,361,1285,-361
