group,n,fwd1_mean,fwd1_med,fwd1_pos,fwd1_excess,fwd1_t,fwd2_mean,fwd2_med,fwd2_pos,fwd2_excess,fwd2_t,fwd4_mean,fwd4_med,fwd4_pos,fwd4_excess,fwd4_t,fwd8_mean,fwd8_med,fwd8_pos,fwd8_excess,fwd8_t,fwd12_mean,fwd12_med,fwd12_pos,fwd12_excess,fwd12_t
all_net,32,0.009052246732785929,0.005340385735143283,0.59375,0.009416764767208931,1.6781621944303031,0.005560261530876534,0.0001644340056351501,0.5,0.006215490527274312,0.8523706129468863,-0.0008660797897183069,-0.0009378409219618078,0.5,0.0008734358741852638,0.09026901276525759,-0.018245858919160966,-0.017861572810716986,0.3225806451612903,-0.014042685321075301,-1.0817073846178324,-0.01858625521104105,-0.013681592039801016,0.41935483870967744,-0.010961624028323392,-0.7330132622941748
net_multi,5,0.06760031872626,0.013632920979550711,0.8,0.067964836760683,4.976595371050795,0.026190287277514802,-0.024534302589731993,0.4,0.02684551627391258,1.495470471344927,0.013016802422067642,-0.03349044902009424,0.4,0.014756318085971214,0.6083584202825546,0.003027865521070017,-0.017861572810716986,0.2,0.0072310391191556835,0.2260615586805997,0.02551382995730931,-0.01833900969347657,0.4,0.03313846114002697,0.9065178082771579
net_cover,27,-0.0017899888215611212,0.004226752859274097,0.5555555555555556,-0.0014254707871381189,-0.2532401998831148,0.0017398863926101885,0.0012437810945273853,0.5185185185185185,0.002395115389007966,0.3091058893137226,-0.003436983903012001,0.001365809241975935,0.5185185185185185,-0.0016974682391084303,-0.1635989299979578,-0.02233695977305154,-0.02269901812369446,0.34615384615384615,-0.018133786174965874,-1.2889460994110813,-0.027067040820339193,-0.010918049238784644,0.4230769230769231,-0.019442409637621536,-1.2034017724878294
net_start,5,0.015336677779144514,0.008919469928644341,1.0,0.015701195813567517,1.2272958912491576,0.013339994905572162,0.006880733944954143,0.8,0.013995223901969939,0.7969979634402119,0.015098440803398571,0.004587155963302836,0.6,0.016837956467302143,0.7037985101866657,0.007755152022464929,0.004149377593360981,0.6,0.011958325620550596,0.37587201756453864,0.0039725864762196975,0.020331950207468807,0.8,0.011597217658937356,0.31997880633810755
net_chase,16,0.010057583004453433,-0.002614950926026982,0.4375,0.010422101038876435,1.3200069520353708,0.006094631481653602,-0.0013158256403409951,0.4375,0.00674986047805138,0.6594850924242268,-0.00591559816554247,-0.014759915891350062,0.4375,-0.004176082501638899,-0.30664071580438496,-0.024155707669688036,-0.038731320524550195,0.3333333333333333,-0.01995253407160237,-1.0732071676590553,-0.01991593090540468,-0.04074377905386928,0.4,-0.012291299722687023,-0.5739681875835333
net_keep,25,0.012662822010084698,0.007938476804763006,0.6,0.0130273400445077,2.0567674902041033,0.015979310667973253,0.006811632171862758,0.64,0.01663453966437103,2.0362232881649724,0.0068864065855625345,0.009372746935832676,0.6,0.008625922249466105,0.7909572453516582,-0.014829333372274272,-0.015493542763028723,0.375,-0.010626159774188605,-0.7214787155115403,-0.017573990364201247,-0.016010300866638794,0.4166666666666667,-0.00994935918148359,-0.5883140459042774
net_revert,7,-0.0038426649718525307,0.004226752859274097,0.5714285714285714,-0.003478146937429528,-0.32154541192916086,-0.0316506282444689,-0.01657158380874757,0.0,-0.03099539924807112,-2.0856627209849035,-0.028553531130007026,-0.01664429530201339,0.14285714285714285,-0.026814015466103455,-1.3254623205750502,-0.02995966079420106,-0.03505718547986081,0.14285714285714285,-0.025756487196115396,-0.9581322222406649,-0.02205687754306323,-0.0004972650422675473,0.42857142857142855,-0.014432246360345572,-0.4691170005801923
long_surge_all,35,0.003353670252376507,-0.0022337886581128563,0.47058823529411764,0.0037181882867995094,0.6805377453736369,-0.003527766061952137,-0.009014754316910789,0.4117647058823529,-0.002872537065554359,-0.40814388660304357,-0.009821123768970355,-0.007534545415848581,0.4411764705882353,-0.008081608105066786,-0.8466433696716396,-0.023790845738462463,-0.01464268386983325,0.38235294117647056,-0.019587672140376797,-1.5615290403568896,-0.01009467962646606,-0.016010300866638794,0.4117647058823529,-0.0024700484437484025,-0.1715231931628599
short_cover_all,27,0.001388636544746368,0.004226752859274097,0.5555555555555556,0.0017531545791693703,0.3099572942059453,-0.000818962525363653,0.0016238159675237007,0.5555555555555556,-0.00016373352896587512,-0.021161370657274185,0.003339091953954337,0.004948745139625288,0.5185185185185185,0.005078607617857908,0.48556678622391936,-0.020835741489641943,-0.029347369881419227,0.3076923076923077,-0.016632567891556278,-1.1794643457683776,-0.027781558810470616,-0.0327511913343127,0.34615384615384615,-0.02015692762775296,-1.2431635767063665
base_2016plus,556,-0.00036451803442300235,-0.0005620888734446661,0.4910071942446043,0,0,-0.0006552289963977779,-0.0032017075773745907,0.45585585585585586,0,0,-0.0017395156639035706,-0.004944054124382036,0.44665461121157324,0,0,-0.004203173598085666,-0.006162915326902496,0.453551912568306,0,0,-0.007624631182717658,-0.009768350544236637,0.43119266055045874,0,0
