symbol,event_date,group,close,lower,upper,mid,amp_pct,suppress,deathcross,ema20_w,ema50_w,days_to_mid,mdd20_pct,fwd20_date,fwd5,fwd10,fwd20,fwd60,broken5,broken10,broken20,broken60
ko,1991-10-11,B,3.387458562850952,3.407622793100203,3.542045675950243,3.474834234525223,3.944770035058487,False,False,3.2726735321010283,2.9647219673945817,11.0,2.242941043588626,1991-11-08,0.5952900862899346,0.5952900862899346,4.1666998052017234,28.623663616724926,0.0,0.0,0.0,0.0
ko,1992-11-30,A,4.347609043121338,4.387172222137451,4.577920053966009,4.48254613805173,4.347853746567187,True,False,4.465216864058279,4.311082221804236,13.0,1.7143239230568166,1992-12-29,0.6289705500253984,-0.6289376466189545,8.176079728024831,6.289343562783034,0.0,0.0,0.0,0.0
ko,1993-02-10,A,4.42963981628418,4.443312555641566,4.826119334711505,4.634715945176536,8.615346642313026,True,False,4.522690833953222,4.394018465842409,13.0,1.9045663054642343,1993-03-11,1.8518717864698164,4.3210126390421655,5.967300305243661,-3.9477361203268835,0.0,0.0,0.0,1.0
ko,1993-09-29,A,4.69083833694458,4.672348026655986,4.9399111601853845,4.806129593420685,5.726524051781601,True,False,4.701717730448455,4.587030027149616,11.0,3.116217441231262,1993-10-27,-2.3598509403042534,-0.5899729003626009,1.474942416193059,3.069591246712422,0.0,1.0,1.0,1.0
ko,1994-04-04,A,4.494983196258545,4.481023125281701,4.746256865096728,4.613639995189215,5.919044209314439,True,False,4.638169444312368,4.634048987620066,18.0,4.5454009082417475,1994-05-03,0.3105977162862317,-2.1738763759773794,3.105627092004881,2.027939261221068,0.0,0.0,0.0,0.0
ko,1994-06-13,C,4.417840480804443,4.411225318908691,4.732297286081739,4.571761302495215,7.278521135539684,True,True,4.566251885209451,4.598203448903881,3.0,1.8405432637017636,1994-07-12,2.222175930338244,2.8571434739111057,6.666614138570348,17.460285251308626,0.0,0.0,0.0,0.0
ko,1995-01-09,B,5.612667560577393,5.626802970293471,5.980247931457809,5.8035254508756395,6.281452594489978,False,False,5.580166337714216,5.230971704529416,13.0,0.9828531480562086,1995-02-06,2.015085530350702,2.5189503659833745,7.304799739894685,18.100351069107077,0.0,0.0,0.0,0.0
ko,1995-05-16,B,6.515031337738037,6.4866404768231085,7.0118245029643695,6.749232489893739,8.09639485983158,False,False,6.340261424454701,5.842439997349644,5.0,2.6370059740689835,1995-06-14,4.3572899121577136,7.4074374967567636,6.489023539540439,16.766194508662835,0.0,0.0,0.0,0.0
ko,1996-10-03,B,11.302699089050291,11.331612280182112,12.45899124369902,11.895301761940566,9.948972270155965,False,False,11.18120779362069,10.056473289592281,23.0,3.482530066891195,1996-10-31,0.2557936856355081,0.7673051186834368,3.324879159083749,8.960853761629428,0.0,0.0,0.0,1.0
ko,1997-04-03,A,12.86616039276123,12.80807825611004,14.430884934240773,13.619481595175406,12.670180847439628,True,False,13.101610940063303,11.93819944244354,9.0,6.724519887783767,1997-05-01,2.9345688694964123,5.643330400298785,12.189593664645425,28.47980975968907,0.0,1.0,1.0,1.0
