date,open,high,low,close,volume,open_interest,settle
2026-03-10,3.3642,3.645,3.1202,3.3985,58742,58918,3.3466
2026-03-11,3.411,3.7875,3.2556,3.781,50189,54123,3.6788
2026-03-12,3.7264,4.0171,3.7264,3.9502,47569,52767,3.8989
2026-03-13,3.9535,4.0487,3.7728,3.9902,30933,49694,4.0147
2026-03-16,4.0501,4.131,3.8187,3.8483,31328,49583,3.8375
2026-03-17,3.8561,4.1047,3.856,3.9958,34820,46228,4.0158
2026-03-18,3.9976,4.4126,3.94,4.3786,29139,42664,4.1978
2026-03-19,4.3262,4.5989,4.2223,4.36,23644,40828,4.342
2026-03-20,4.3359,4.7061,4.2435,4.6715,17796,34974,4.6084
2026-03-23,4.7136,4.8353,4.0049,4.1316,16856,32962,4.056
2026-03-24,4.1009,4.3775,4.049,4.1639,12118,28673,4.2909
2026-03-25,4.1598,4.16,3.8188,4.019,12004,25414,4.0063
2026-03-26,4.0553,4.3518,4.0061,4.2491,8156,21564,4.2734
2026-03-27,4.23,4.5916,4.2293,4.5878,11629,16080,4.4955
2026-03-30,4.6021,4.6575,4.341,4.444,6295,10335,4.3643
2026-03-31,4.4679,4.4679,4.143,4.1725,2455,2482,4.1138
2026-04-01,4.124,4.2167,3.947,4.0463,31730,67909,4.0568
2026-04-02,4.0343,4.6129,3.9858,4.4315,42908,67550,4.3611
2026-04-06,4.4432,4.5482,4.2779,4.3646,22232,63953,4.3284
2026-04-07,4.3709,4.5841,4.2908,4.3013,32048,62140,4.4774
2026-04-08,4.2831,4.2831,3.5994,3.8751,52120,59310,3.8084
2026-04-09,3.8933,4.0989,3.8407,3.9438,41352,54129,3.937
2026-04-10,3.9524,4.0322,3.7119,3.7421,32991,48534,3.7616
2026-04-13,4.02,4.1364,3.7802,3.7872,33699,44898,3.8341
2026-04-14,3.777,3.8701,3.6025,3.6467,35587,40655,3.6243
2026-04-15,3.6778,3.8312,3.588,3.7674,32182,36794,3.7532
2026-04-16,3.7834,3.9239,3.7578,3.8249,26627,35318,3.8329
2026-04-17,3.8423,3.8472,3.2603,3.4376,41621,32961,3.3974
2026-04-20,3.5947,3.7,3.4684,3.5316,19218,30302,3.5409
2026-04-21,3.5151,3.8396,3.4796,3.8001,16834,28656,3.7288
2026-04-22,3.787,3.9569,3.6774,3.933,15880,25862,3.9379
2026-04-23,3.9187,4.0673,3.8137,4.013,12651,23543,3.9882
2026-04-24,4.0122,4.1125,3.8247,3.9518,17683,21916,3.8874
2026-04-27,3.9812,4.0872,3.9378,3.9403,11329,17419,3.9747
2026-04-28,3.9383,4.0332,3.89,3.9716,9714,12022,3.9712
2026-04-29,3.9706,4.2403,3.918,4.215,8885,8434,4.1987
2026-04-30,4.1916,4.2957,4.1172,4.1543,2084,2326,4.0809
2026-05-01,4.094,4.1549,3.9072,3.975,36528,64765,3.9464
2026-05-04,3.9215,4.1251,3.8731,4.0458,39922,64932,4.0732
2026-05-05,4.0621,4.0818,3.9541,4.0767,33278,66243,4.0302
2026-05-06,4.0805,4.0843,3.5538,3.7806,47992,64394,3.7856
2026-05-07,3.7651,3.9434,3.5825,3.9311,54686,61199,3.8166
2026-05-08,3.921,3.97,3.8016,3.8839,38262,60490,3.8991
2026-05-11,3.9483,4.0477,3.8853,3.9861,39204,58718,3.9686
2026-05-12,3.9815,4.175,3.9707,4.1309,39036,57707,4.1588
2026-05-13,4.1176,4.1603,3.9297,3.959,45603,55536,3.9667
2026-05-14,3.97,4.0174,3.8664,3.9292,30014,48334,3.9056
2026-05-15,3.9383,4.0808,3.9226,4.0427,29899,46141,4.0534
2026-05-18,4.0534,4.1675,3.999,4.0457,26687,42124,4.1145
2026-05-19,4.0545,4.1812,4.0369,4.1513,19483,39768,4.1625
2026-05-20,4.1599,4.1796,3.8946,3.9547,22917,37511,3.9471
2026-05-21,3.957,4.0475,3.7894,3.8892,21696,33125,3.8316
2026-05-22,3.9076,3.9632,3.8378,3.9224,15749,28315,3.8878
2026-05-26,3.8231,3.824,3.679,3.7015,21666,25100,3.7146
2026-05-27,3.7088,3.7156,3.5267,3.6119,15625,17720,3.5975
2026-05-28,3.6115,3.6988,3.5282,3.618,9956,11340,3.6187
2026-05-29,3.598,3.6472,3.5114,3.5328,2589,2760,3.5373
2026-06-01,3.5448,3.7651,3.515,3.6493,46493,72754,3.6394
2026-06-02,3.6494,3.7158,3.5518,3.6756,31350,71883,3.6987
2026-06-03,3.6831,3.8782,3.6764,3.8392,36375,70709,3.8481
2026-06-04,3.8287,3.8566,3.648,3.6716,33396,71438,3.6738
2026-06-05,3.673,3.7053,3.5747,3.6054,38429,70079,3.5874
2026-06-08,3.66,3.7875,3.5736,3.5913,38076,63053,3.5999
2026-06-09,3.586,3.6051,3.4672,3.5496,37442,56704,3.5418
2026-06-10,3.5863,3.6675,3.5091,3.6615,30600,51416,3.6126
2026-06-11,3.665,3.7129,3.4507,3.4661,41610,46362,3.5131
2026-06-12,3.4445,3.4914,3.3124,3.3969,34369,41273,3.4044
2026-06-15,3.3448,3.352,3.2502,3.2641,30170,38793,3.2665
2026-06-16,3.2719,3.2722,3.1407,3.2079,32985,35168,3.1702
2026-06-17,3.2034,3.3115,3.1527,3.1648,24518,34521,3.1946
2026-06-18,3.185,3.185,3.0412,3.1275,20409,31559,3.1273
