time_bj,time_et,open,high,low,close,volume,turnover
2026-09-03 16:00,2026-09-03 04:00,225.92,225.94,225.76,225.85,1992,449850.26
2026-09-03 21:35,2026-09-03 09:35,226.02,227.44,224.75,227.02,6126813,1385265114.18
2026-09-03 21:40,2026-09-03 09:40,227.02,227.65,225.51,227.55,3599062,816030248.76
2026-09-03 21:45,2026-09-03 09:45,227.56,228.44,227.14,227.73,3808993,867653089.8
2026-09-03 21:50,2026-09-03 09:50,227.71,228.85,227.4,228.8,3181711,726191526.22
2026-09-03 21:55,2026-09-03 09:55,228.805,229.07,227.81,228.031,2925395,668557679.76
2026-09-03 22:00,2026-09-03 10:00,228.0449,228.55,227.395,228.28,1965296,448061361.44
2026-09-03 22:05,2026-09-03 10:05,228.18,228.97,228,228.04,2533231,578705908.24
2026-09-03 22:10,2026-09-03 10:10,228.01,228.23,227.55,228,1863013,424568614.6
2026-09-03 22:15,2026-09-03 10:15,228,228.3,227.66,228.0895,1324916,302121119.99
2026-09-03 22:20,2026-09-03 10:20,228.06,228.68,228.01,228.14,1621509,370246650.89
2026-09-03 22:25,2026-09-03 10:25,228.15,228.4299,227.73,228.1238,1358230,309791255.74
2026-09-03 22:30,2026-09-03 10:30,228.13,228.15,227.33,227.39,1292066,294242190.96
2026-09-03 22:35,2026-09-03 10:35,227.385,227.58,226.314,226.35,1981801,449739401.53
2026-09-03 22:40,2026-09-03 10:40,226.345,226.82,226.19,226.725,1609585,364569180.78
2026-09-03 22:45,2026-09-03 10:45,226.72,226.9,226.33,226.4001,1335763,302710390.99
2026-09-03 22:50,2026-09-03 10:50,226.41,226.47,225.81,226.248,1348498,304922730.45
2026-09-03 22:55,2026-09-03 10:55,226.25,226.26,225.613,225.825,1214525,274401109.76
2026-09-03 23:00,2026-09-03 11:00,225.825,226.18,225.42,226.145,1861717,420383466.07
2026-09-03 23:05,2026-09-03 11:05,226.16,226.41,225.69,226.275,1320547,298584846.97
2026-09-03 23:10,2026-09-03 11:10,226.29,226.35,225.87,225.998072,1005266,227261411.18
2026-09-03 23:15,2026-09-03 11:15,225.95,226.96,225.945,226.96,1239263,280775321.94
2026-09-03 23:20,2026-09-03 11:20,226.96,227.49,226.77,227.02,1600309,363399775.78
2026-09-03 23:25,2026-09-03 11:25,227.02,227.05,226.7823,226.975,1097275,249000273.71
2026-09-03 23:30,2026-09-03 11:30,226.9704,227.95,226.9,227.815,1452277,330475167.79
2026-09-03 23:35,2026-09-03 11:35,227.82,228.04,227.52,227.53,1568885,357384872.39
2026-09-03 23:40,2026-09-03 11:40,227.532,227.69,227.1781,227.368,1063357,241827630.7
2026-09-03 23:45,2026-09-03 11:45,227.375,227.74,227.29,227.3795,748758,170348824.49
2026-09-03 23:50,2026-09-03 11:50,227.375,227.55,227.08,227.31,613308,139417293.2
2026-09-03 23:55,2026-09-03 11:55,227.3,227.7,227.3,227.57,779134,177242993.57
2026-09-04 16:00,2026-09-04 04:00,230.34,230.34,230.2,230.27,3959,911529.88
2026-09-04 21:35,2026-09-04 09:35,231.12,232.57,229.82,232.42,5465709,1264227894.58
2026-09-04 21:40,2026-09-04 09:40,232.47,233.61,231.97,233.285,3457467,804950092.29
2026-09-04 21:45,2026-09-04 09:45,233.26,233.77,232.83,232.91,2341551,546399629.18
2026-09-04 21:50,2026-09-04 09:50,232.9128,234.251,232.63,234.0907,2743181,640790157.02
2026-09-04 21:55,2026-09-04 09:55,234.0995,234.6,233.9,234.5005,2359243,552774842.82
2026-09-04 22:00,2026-09-04 10:00,234.505,234.65,234.01,234.56,1966490,460824135.14
2026-09-04 22:05,2026-09-04 10:05,234.56,234.56,233.56,233.86,1790620,418936758.36
2026-09-04 22:10,2026-09-04 10:10,233.85,234.48,233.51,233.7,1450695,339385539.68
2026-09-04 22:15,2026-09-04 10:15,233.68,234.235,232.92,234.195,1823172,425640028.6
2026-09-04 22:20,2026-09-04 10:20,234.19,234.28,233.36,234.225,1568626,366863488.2
2026-09-04 22:25,2026-09-04 10:25,234.24,234.651,234.03,234.18,1359404,318552299.65
