rank,code,name,last_date,price,rsi14,rsi14_5d,rsi14_20d,rsi60_min,rsi60_max,hi52,lo52,off_hi52,ret20,ret60,bars
1,TSLA,Tesla,20260904,354.08,50.9,50.9,41.4,25.4,60.5,489.88,298.32,-27.7,7.8,-7.2,260
2,BE,Bloom Energy,20260904,252.87,63.1,46.3,47.9,33.1,67.8,345.85,53.44,-26.9,15.3,8.0,260
3,NVDA,NVIDIA,20260904,230.36,60.4,52.3,64.4,37.6,64.4,235.47,164.98,-2.2,2.9,14.9,260
4,SPCX,SpaceX,20260904,147.95,58.5,54.8,52.8,32.6,60.3,201.8,108.27,-26.7,11.1,,59
5,AAPL,Apple,20260904,319.97,54.0,57.5,47.6,32.2,71.7,339.79,225.96,-5.8,2.2,9.8,260
6,CRCL,Circle,20260904,102.05,67.0,60.9,50.1,30.7,72.1,150.48,50.23,-32.2,53.1,29.3,260
7,AVGO,Broadcom,20260904,357.89,38.0,42.7,64.9,34.4,64.9,480.81,292.95,-25.6,-16.3,-3.7,260
8,NKE,Nike,20260904,38.4,41.5,43.5,45.2,35.6,57.8,72.19,38.04,-46.8,-6.9,-11.7,260
9,GOOG,Alphabet-C,20260904,335.31,44.1,48.0,51.0,32.3,62.5,398.54,233.55,-15.9,-5.1,-5.0,260
10,INTC,Intel,20260904,95.8,51.7,41.5,50.1,31.5,67.3,140.94,24.08,-32.0,-5.8,-10.5,260
11,LULU,Lululemon Athletica,20260904,100.61,31.8,51.9,66.3,27.1,66.3,215.88,100.61,-53.4,-21.8,-15.4,260
12,ORCL,Oracle,20260904,158.78,61.0,56.1,56.7,25.7,61.5,324.63,114.99,-51.1,8.0,-20.8,260
13,HOOD,Robinhood,20260904,122.11,65.9,54.1,45.7,36.0,71.2,152.46,65.16,-19.9,30.9,41.4,260
14,GOOGL,Alphabet-A,20260904,338.46,45.0,49.3,50.7,31.0,62.6,402.12,233.43,-15.8,-4.4,-5.0,260
15,MSTR,Strategy,20260904,142.8,66.2,63.0,50.4,23.6,72.9,359.69,82.31,-60.3,42.8,23.8,260
16,MSFT,Microsoft,20260904,499.7,59.6,73.5,78.1,28.8,79.1,537.65,352.17,-7.1,0.1,26.0,260
17,MRVL,Marvell Technology,20260904,223.55,51.1,47.2,52.4,31.9,67.7,316.35,63.2,-29.3,2.2,-11.5,260
18,RKLB,Rocket Lab,20260904,64.26,37.2,35.3,56.2,29.9,56.2,150.23,39.48,-57.2,-22.4,-38.8,260
19,AMD,Advanced Micro Devices,20260904,477.57,49.7,44.8,46.9,36.0,65.2,580.91,151.14,-17.8,-1.2,5.6,260
20,MRNA,Moderna,20260904,145.55,63.2,63.5,50.1,36.7,92.2,174.38,22.36,-16.5,146.0,216.5,260
21,NBIS,NEBIUS,20260904,226.39,53.5,47.2,45.8,34.0,69.7,286.69,64.06,-21.0,20.4,6.9,260
22,CBRS,Cerebras Systems,20260904,210.05,52.9,41.2,55.4,30.9,63.9,311.07,168.52,-32.5,-7.4,-11.5,79
23,AAOI,Applied Optoelectronics,20260904,105.53,43.6,42.6,56.9,31.5,62.5,223.1,19.49,-52.7,-22.2,-39.7,260
24,AMZN,Amazon,20260904,258.51,49.5,55.9,64.2,33.3,72.2,284.02,198.79,-9.0,-5.8,8.6,260
25,CRDO,Credo Technology,20260904,170.57,34.2,49.0,57.0,31.6,71.2,302.52,87.81,-43.6,-31.7,-28.2,260
26,ALAB,Astera Labs,20260904,310.4,52.2,44.0,50.5,32.5,72.5,483.02,100.27,-35.7,-7.1,-6.2,260
27,UBER,Uber Technologies,20260904,75.76,50.1,58.4,58.1,33.2,65.0,100.1,65.94,-24.3,1.0,10.4,260
28,COIN,Coinbase,20260904,184.64,56.4,56.8,46.8,33.0,67.0,387.27,141.09,-52.3,20.2,19.9,260
29,COHR,Coherent,20260904,281.86,46.0,43.7,63.6,28.3,63.6,426.89,97.84,-34.0,-25.7,-20.6,260
30,GLW,Corning,20260904,154.3,50.2,44.6,51.6,30.2,69.2,255.21,70.57,-39.5,-6.7,-8.1,260
31,VST,Vistra Energy,20260904,149.3,57.5,39.7,39.2,36.5,63.5,217.02,134.52,-31.2,6.2,7.9,260
32,NOW,ServiceNow,20260904,141.26,61.0,72.7,67.0,36.2,74.4,192.23,83,-26.5,13.1,33.2,260
33,CRWV,CoreWeave,20260904,89.36,52.0,44.8,55.4,28.6,65.0,143.08,60.82,-37.5,-1.4,-6.5,260
34,NFLX,Netflix,20260904,78.25,49.2,62.6,52.3,19.1,67.3,126.33,67.6,-38.1,5.5,-4.6,260
35,MCD,McDonald's,20260904,255.69,35.7,44.2,53.5,33.4,59.5,334.5,255.69,-23.6,-6.2,-8.9,260
36,PLTR,Palantir,20260904,174.33,54.2,69.3,72.8,27.4,73.9,207.18,107.27,-15.9,1.3,33.9,260
37,KO,Coca-Cola,20260904,88.07,50.2,58.3,60.0,47.0,73.2,91.99,64.35,-4.3,1.2,6.0,260
38,SNOW,Snowflake,20260904,337.18,57.3,61.3,80.7,45.7,81.7,356.47,121.11,-5.4,2.0,40.6,260
39,PANW,Palo Alto Networks,20260904,333.26,43.5,55.8,64.3,41.8,81.4,396,141.67,-15.8,-8.4,26.6,260
40,ADBE,Adobe,20260904,266.51,48.9,68.8,66.0,27.7,69.3,367.46,193.41,-27.5,0.5,14.2,260
41,CRM,Salesforce,20260904,259.23,76.6,80.8,62.6,30.0,81.9,264.88,150.12,-2.1,34.5,52.1,260
42,BMNR,Bitmine Immersion Technologies,20260904,24.97,61.7,66.8,60.4,30.2,79.8,63.2,13.31,-60.5,32.7,59.7,260
43,P,Everpure,20260904,99.51,53.1,46.3,69.0,41.2,84.1,118.16,56.99,-15.8,10.5,49.6,260
44,VRT,Vertiv Holdings,20260904,280.53,54.9,42.2,45.9,26.9,63.5,376.15,121.69,-25.4,3.0,-0.1,260
45,SMCI,Super Micro Computer,20260904,39.59,62.7,56.9,54.9,34.1,70.7,58.68,20.53,-32.5,27.2,35.3,260
46,TEM,Tempus AI,20260904,64.62,57.6,57.3,56.3,31.6,75.1,103.25,41.55,-37.4,24.1,30.6,260
47,AMAT,Applied Materials,20260904,454.71,39.8,37.7,50.1,33.0,78.2,722.23,161.16,-37.0,-15.6,-8.4,260
48,APP,Applovin,20260904,320.56,41.7,37.7,32.2,26.6,62.3,733.6,298.59,-56.3,-7.6,-35.0,260
49,CEG,Constellation Energy,20260904,298.96,66.9,54.6,54.9,31.9,66.9,401.71,236.14,-25.6,10.9,23.6,260
50,CIEN,Ciena,20260904,321,33.9,43.8,50.5,30.4,57.2,627,116.69,-48.8,-22.2,-26.1,260
51,SNPS,Synopsys,20260904,393.84,42.6,60.7,53.5,22.7,71.7,609.08,372.33,-35.3,-5.3,-14.5,260
52,RBLX,Roblox,20260904,43.31,58.4,42.4,33.7,26.6,68.6,141.56,35.54,-69.4,14.6,4.4,260
53,ETN,Eaton,20260904,410.85,48.1,41.3,63.1,34.4,65.5,459.96,313.2,-10.7,-8.4,9.7,260
54,HIMS,Hims & Hers Health,20260904,27.71,43.3,45.6,51.0,33.6,71.1,62.76,14.52,-55.8,-12.3,-0.3,260
55,ASTS,AST SpaceMobile,20260904,62.31,47.2,39.2,54.9,31.8,56.7,133.09,36.91,-53.2,-13.4,-28.6,260
56,OKLO,Oklo Inc,20260904,41.27,47.4,43.8,55.4,28.7,55.4,174.14,36.84,-76.3,-14.8,-23.6,260
57,ADDYY,adidas AG,20260904,86.55,37.0,41.6,42.5,33.3,74.7,111.68,74.33,-22.5,-8.7,-12.3,260
58,KLAC,KLA Corp,20260904,185.6,47.4,35.9,46.0,32.3,76.1,301.37,90.02,-38.4,-6.2,-13.0,260
59,CRWD,CrowdStrike,20260904,213.1,53.1,58.2,66.6,38.8,74.6,231,87.56,-7.7,-0.6,31.6,260
60,V,Visa,20260904,375.07,55.1,65.7,55.2,47.1,76.8,384.14,294.36,-2.4,3.7,16.4,260
