rank,code,name,last_date,price,rsi14,rsi14_5d,rsi14_20d,rsi60_min,rsi60_max,hi52,lo52,off_hi52,ret20,ret60,bars
145,TTAN,ServiceTitan,20260908,81.58,39.5,63.3,63.9,39.5,71.4,119.62,55.29,-31.8,-6.1,19.5,260
146,AAL,American Airlines,20260908,12.91,34.1,36.0,44.6,30.2,79.2,18.15,10.18,-28.9,-13.9,-11.9,260
147,CSCO,Cisco,20260908,109.17,40.9,42.8,63.0,39.2,63.1,129.52,65.18,-15.7,-10.9,-10.1,260
148,FIGR,Figure Technology Solutions,20260908,38.27,59.4,57.4,50.0,31.9,73.4,73.91,24.91,-48.2,32.8,35.9,249
149,HPQ,HP Inc,20260908,30.87,57.4,56.8,68.4,38.7,72.8,32.33,17.52,-4.5,4.6,26.3,260
150,MPC,Marathon Petroleum,20260908,397.77,80.8,73.3,63.3,41.8,80.8,397.77,160.76,0.0,24.5,52.9,260
151,SMMT,Summit Therapeutics,20260908,17.28,68.2,49.0,56.7,34.0,71.1,26.38,12.43,-34.5,16.2,32.1,260
152,DDOG,Datadog,20260908,210.23,37.6,46.9,52.2,36.3,71.8,288.15,102.61,-27.0,-19.4,-10.3,260
153,CPNG,Coupang,20260908,14.81,34.7,46.0,46.2,34.3,62.1,33.53,14.81,-55.8,-8.5,-14.1,260
154,ESTC,Elastic,20260908,88.42,55.9,73.2,77.0,38.4,85.4,99.91,43.3,-11.5,15.9,46.8,260
155,SIMO,Silicon Motion Technology,20260908,272.02,55.8,47.2,41.8,32.7,71.2,336.22,79.53,-19.1,18.0,-0.6,260
156,DAL,Delta Air Lines,20260908,78.96,39.2,32.0,52.9,29.5,75.4,93.43,55.22,-15.5,-11.5,-3.3,260
157,NDAQ,Nasdaq,20260908,95.04,45.8,64.2,63.4,27.8,70.2,100.3,76.84,-5.2,-0.6,10.0,260
158,GTLB,Gitlab,20260908,47.15,63.3,72.8,74.3,42.3,76.6,51.04,19.42,-7.6,15.8,66.0,260
159,AA,Alcoa,20260908,51.74,54.5,49.8,58.8,24.0,64.4,83.63,30.69,-38.1,0.4,-24.8,260
160,ZM,Zoom Communications,20260908,96.44,46.0,45.1,72.9,32.2,72.9,111.88,72.72,-13.8,-10.0,4.5,260
161,CCL,Carnival,20260908,23.2,30.2,30.3,50.4,27.7,66.4,33.45,23.2,-30.6,-16.4,-17.1,260
162,WDAY,Workday,20260908,186.28,49.8,60.3,72.3,33.3,75.2,247.69,112.5,-24.8,1.1,42.7,260
163,PCG,PG&E Corp,20260908,14.82,39.9,22.0,45.3,22.0,68.1,19.0,13.27,-22.0,-13.0,-11.5,260
164,ILMN,Illumina,20260908,211.06,52.6,57.9,51.3,47.2,73.8,227.69,91,-7.3,10.0,27.0,260
169,TXG,10x Genomics,20260908,65.6,65.5,63.2,75.2,55.6,75.2,65.6,11.34,0.0,12.0,125.8,260
170,RIVN,Rivian Automotive,20260908,16.17,50.9,48.9,50.3,39.4,70.4,22.45,12.5,-28.0,-1.3,4.1,260
171,BG,Bunge,20260908,123.89,64.2,56.8,49.6,27.2,66.4,130.59,75.21,-5.1,10.7,-0.5,260
172,CB,Chubb Ltd,20260908,336.64,42.7,42.8,49.2,42.1,74.6,363.5,265.73,-7.4,-3.3,3.0,260
173,NTAP,NetApp,20260908,189.13,53.1,47.9,72.8,43.3,76.7,207.08,93.35,-8.7,-4.8,18.2,260
174,BKNG,Booking Holdings,20260908,180.3,32.8,46.4,71.2,32.8,73.2,221.54,153.74,-18.6,-15.3,10.2,260
175,NCLH,Norwegian Cruise,20260908,15.39,29.0,32.0,43.2,28.3,69.9,26.94,14.79,-42.9,-17.0,-19.3,260
176,ZS,Zscaler,20260908,161.94,43.6,62.7,72.2,40.0,76.5,336.27,118.05,-51.8,-8.3,28.4,260
177,LEN,Lennar Corp,20260908,80.37,38.3,45.1,49.8,38.3,57.5,139.59,80.37,-42.4,-6.1,-14.9,260
178,ABBV,AbbVie,20260908,248.78,41.8,51.7,50.0,41.8,77.2,265.97,195.99,-6.5,0.3,11.5,260
179,RCL,Royal Caribbean,20260908,264.5,25.2,27.2,50.7,25.2,66.7,345.16,243.31,-23.4,-14.1,-8.1,260
180,NU,Nu Holdings,20260908,15.33,58.1,52.1,48.4,43.4,67.3,18.76,11.6,-18.3,10.6,26.8,260
181,ADDYY,adidas AG,20260908,85.36,34.5,38.7,45.9,33.3,74.7,111.68,74.33,-23.6,-11.4,-16.0,260
182,XYZ,Block,20260908,80.1,47.5,52.4,48.7,42.7,65.6,84.85,49.09,-5.6,1.4,15.9,260
183,RMBS,Rambus,20260908,86.89,41.3,38.6,43.5,28.1,52.6,170.66,73.28,-49.1,-9.4,-39.9,260
184,SBUX,Starbucks,20260908,102.01,39.0,51.3,51.0,39.0,63.6,108.49,76.51,-6.0,-2.0,0.3,260
185,LIN,Linde,20260908,468.38,33.4,48.3,41.6,30.2,68.6,544.85,385.58,-14.0,-4.6,-8.8,260
186,OSCR,Oscar Health,20260908,33.01,61.2,47.9,43.4,37.9,72.3,33.01,10.85,0.0,19.3,14.2,260
187,AXP,American Express,20260908,326.1,39.3,40.4,47.7,35.3,74.6,381.78,290.55,-14.6,-3.8,2.7,260
188,UAL,United Airlines,20260908,108.23,39.5,34.3,50.1,31.1,75.5,136.11,85.21,-20.5,-12.5,-3.9,260
189,MAR,Marriott International,20260908,328.79,29.2,34.5,38.0,29.2,70.0,401.72,256.9,-18.2,-5.4,-17.0,260
190,FTNT,Fortinet,20260908,157.47,48.9,60.8,58.6,42.3,71.7,172.78,75.23,-8.9,-4.1,8.6,260
191,LVMUY,LVMH Moet Hennessy Louis Vuitton,20260908,98.1,32.3,44.7,52.7,32.3,67.2,149.68,98.1,-34.5,-11.8,-16.2,260
192,SNAP,Snap Inc,20260908,5.43,52.3,56.7,60.1,30.3,74.3,9.09,3.93,-40.3,1.5,1.9,260
193,CDNS,Cadence Design Systems,20260908,284.11,28.3,52.8,40.0,28.3,59.2,416.39,265.66,-31.8,-14.4,-26.0,260
194,VEEV,Veeva Systems,20260908,264.84,58.7,77.3,77.1,37.8,82.6,306.22,151.43,-13.5,12.8,63.9,260
195,HD,Home Depot,20260908,313.7,35.0,40.6,57.3,34.4,70.1,411.76,293.13,-23.8,-9.9,-3.1,260
196,RTX,RTX Corp,20260908,198.81,33.1,42.5,76.8,33.1,77.4,225.49,149.53,-11.8,-11.0,8.3,260
197,T,AT&T,20260908,25.6,58.9,67.1,60.9,27.3,72.4,28.42,20.21,-9.9,6.4,12.8,260
198,HESAY,Hermes International SA,20260908,166.41,31.9,49.1,53.5,31.9,64.9,258.19,166.41,-35.5,-12.0,-14.1,260
