rank,code,name,last_date,price,rsi14,rsi14_5d,rsi14_20d,rsi60_min,rsi60_max,hi52,lo52,off_hi52,ret20,ret60,bars
1,INTC,Intel,20260904,95.8,51.7,41.5,50.1,31.5,67.3,140.94,24.08,-32.0,-5.8,-10.5,260
2,TSLA,Tesla,20260904,354.08,50.9,50.9,41.4,25.4,60.5,489.88,298.32,-27.7,7.8,-7.2,260
3,NVDA,NVIDIA,20260904,230.36,60.4,52.3,64.4,37.6,64.4,235.47,164.98,-2.2,2.9,14.9,260
4,BE,Bloom Energy,20260904,252.87,63.1,46.3,47.9,33.1,67.8,345.85,53.44,-26.9,15.3,8.0,260
5,ORCL,Oracle,20260904,158.78,61.0,56.1,56.7,25.7,61.5,324.63,114.99,-51.1,8.0,-20.8,260
6,SPCX,SpaceX,20260904,147.95,58.5,54.8,52.8,32.6,60.3,201.8,108.27,-26.7,11.1,,59
7,AVGO,Broadcom,20260904,357.89,38.0,42.7,64.9,34.4,64.9,480.81,292.95,-25.6,-16.3,-3.7,260
8,AAPL,Apple,20260904,319.97,54.0,57.5,47.6,32.2,71.7,339.79,225.96,-5.8,2.2,9.8,260
9,MRVL,Marvell Technology,20260904,223.55,51.1,47.2,52.4,31.9,67.7,316.35,63.2,-29.3,2.2,-11.5,260
10,NKE,Nike,20260904,38.4,41.5,43.5,45.2,35.6,57.8,72.19,38.04,-46.8,-6.9,-11.7,260
11,AMD,Advanced Micro Devices,20260904,477.57,49.7,44.8,46.9,36.0,65.2,580.91,151.14,-17.8,-1.2,5.6,260
12,NBIS,NEBIUS,20260904,226.39,53.5,47.2,45.8,34.0,69.7,286.69,64.06,-21.0,20.4,6.9,260
13,CRCL,Circle,20260904,102.05,67.0,60.9,50.1,30.7,72.1,150.48,50.23,-32.2,53.1,29.3,260
14,GOOG,Alphabet-C,20260904,335.31,44.1,48.0,51.0,32.3,62.5,398.54,233.55,-15.9,-5.1,-5.0,260
15,AAOI,Applied Optoelectronics,20260904,105.53,43.6,42.6,56.9,31.5,62.5,223.1,19.49,-52.7,-22.2,-39.7,260
16,MSTR,Strategy,20260904,142.8,66.2,63.0,50.4,23.6,72.9,359.69,82.31,-60.3,42.8,23.8,260
17,HOOD,Robinhood,20260904,122.11,65.9,54.1,45.7,36.0,71.2,152.46,65.16,-19.9,30.9,41.4,260
18,MSFT,Microsoft,20260904,499.7,59.6,73.5,78.1,28.8,79.1,537.65,352.17,-7.1,0.1,26.0,260
19,LULU,Lululemon Athletica,20260904,100.61,31.8,51.9,66.3,27.1,66.3,215.88,100.61,-53.4,-21.8,-15.4,260
20,GOOGL,Alphabet-A,20260904,338.46,45.0,49.3,50.7,31.0,62.6,402.12,233.43,-15.8,-4.4,-5.0,260
21,CRWV,CoreWeave,20260904,89.36,52.0,44.8,55.4,28.6,65.0,143.08,60.82,-37.5,-1.4,-6.5,260
22,PLTR,Palantir,20260904,174.33,54.2,69.3,72.8,27.4,73.9,207.18,107.27,-15.9,1.3,33.9,260
23,RKLB,Rocket Lab,20260904,64.26,37.2,35.3,56.2,29.9,56.2,150.23,39.48,-57.2,-22.4,-38.8,260
24,AMZN,Amazon,20260904,258.51,49.5,55.9,64.2,33.3,72.2,284.02,198.79,-9.0,-5.8,8.6,260
25,COHR,Coherent,20260904,281.86,46.0,43.7,63.6,28.3,63.6,426.89,97.84,-34.0,-25.7,-20.6,260
26,GLW,Corning,20260904,154.3,50.2,44.6,51.6,30.2,69.2,255.21,70.57,-39.5,-6.7,-8.1,260
27,CRDO,Credo Technology,20260904,170.57,34.2,49.0,57.0,31.6,71.2,302.52,87.81,-43.6,-31.7,-28.2,260
28,VST,Vistra Energy,20260904,149.3,57.5,39.7,39.2,36.5,63.5,217.02,134.52,-31.2,6.2,7.9,260
29,MRNA,Moderna,20260904,145.55,63.2,63.5,50.1,36.7,92.2,174.38,22.36,-16.5,146.0,216.5,260
30,CBRS,Cerebras Systems,20260904,210.05,52.9,41.2,55.4,30.9,63.9,311.07,168.52,-32.5,-7.4,-11.5,79
31,WDC,Western Digital,20260904,467.31,48.3,45.2,38.4,38.3,78.0,745.99,91.87,-37.4,7.6,-4.6,260
32,AMAT,Applied Materials,20260904,454.71,39.8,37.7,50.1,33.0,78.2,722.23,161.16,-37.0,-15.6,-8.4,260
33,COIN,Coinbase,20260904,184.64,56.4,56.8,46.8,33.0,67.0,387.27,141.09,-52.3,20.2,19.9,260
34,SMCI,Super Micro Computer,20260904,39.59,62.7,56.9,54.9,34.1,70.7,58.68,20.53,-32.5,27.2,35.3,260
35,NOW,ServiceNow,20260904,141.26,61.0,72.7,67.0,36.2,74.4,192.23,83,-26.5,13.1,33.2,260
36,SNOW,Snowflake,20260904,337.18,57.3,61.3,80.7,45.7,81.7,356.47,121.11,-5.4,2.0,40.6,260
37,NFLX,Netflix,20260904,78.25,49.2,62.6,52.3,19.1,67.3,126.33,67.6,-38.1,5.5,-4.6,260
38,OKLO,Oklo Inc,20260904,41.27,47.4,43.8,55.4,28.7,55.4,174.14,36.84,-76.3,-14.8,-23.6,260
39,QCOM,Qualcomm,20260904,168.74,54.2,48.5,47.6,28.9,55.8,248.74,122.94,-32.2,1.1,-11.3,260
40,KO,Coca-Cola,20260904,88.07,50.2,58.3,60.0,47.0,73.2,91.99,64.35,-4.3,1.2,6.0,260
41,APP,Applovin,20260904,320.56,41.7,37.7,32.2,26.6,62.3,733.6,298.59,-56.3,-7.6,-35.0,260
42,PANW,Palo Alto Networks,20260904,333.26,43.5,55.8,64.3,41.8,81.4,396,141.67,-15.8,-8.4,26.6,260
43,MCD,McDonald's,20260904,255.69,35.7,44.2,53.5,33.4,59.5,334.5,255.69,-23.6,-6.2,-8.9,260
44,CRM,Salesforce,20260904,259.23,76.6,80.8,62.6,30.0,81.9,264.88,150.12,-2.1,34.5,52.1,260
45,ALAB,Astera Labs,20260904,310.4,52.2,44.0,50.5,32.5,72.5,483.02,100.27,-35.7,-7.1,-6.2,260
46,VRT,Vertiv Holdings,20260904,280.53,54.9,42.2,45.9,26.9,63.5,376.15,121.69,-25.4,3.0,-0.1,260
47,ASTS,AST SpaceMobile,20260904,62.31,47.2,39.2,54.9,31.8,56.7,133.09,36.91,-53.2,-13.4,-28.6,260
48,ADBE,Adobe,20260904,266.51,48.9,68.8,66.0,27.7,69.3,367.46,193.41,-27.5,0.5,14.2,260
49,BMNR,Bitmine Immersion Technologies,20260904,24.97,61.7,66.8,60.4,30.2,79.8,63.2,13.31,-60.5,32.7,59.7,260
50,TEM,Tempus AI,20260904,64.62,57.6,57.3,56.3,31.6,75.1,103.25,41.55,-37.4,24.1,30.6,260
51,LRCX,Lam Research,20260904,307.65,48.9,44.4,48.7,31.1,72.7,433.33,102.38,-29.0,-1.2,-4.3,260
52,BA,Boeing,20260904,212.25,44.1,37.3,59.4,33.5,65.4,252.15,179.12,-15.8,-9.5,1.6,260
53,KLAC,KLA Corp,20260904,185.6,47.4,35.9,46.0,32.3,76.1,301.37,90.02,-38.4,-6.2,-13.0,260
54,CEG,Constellation Energy,20260904,298.96,66.9,54.6,54.9,31.9,66.9,401.71,236.14,-25.6,10.9,23.6,260
55,FCX,Freeport-McMoRan,20260904,72.73,53.3,63.2,63.4,35.3,73.0,79.91,34.96,-9.0,4.5,17.4,260
56,CIEN,Ciena,20260904,321,33.9,43.8,50.5,30.4,57.2,627,116.69,-48.8,-22.2,-26.1,260
57,HPE,Hewlett Packard Enterprise,20260904,52,48.8,49.4,63.9,42.3,73.8,59.82,19.72,-13.1,-2.3,14.6,260
58,HIMS,Hims & Hers Health,20260904,27.71,43.3,45.6,51.0,33.6,71.1,62.76,14.52,-55.8,-12.3,-0.3,260
59,ZETA,Zeta Global,20260904,31.35,62.9,67.5,68.3,39.4,74.3,32.68,14.55,-4.1,17.7,57.3,260
60,SOFI,SoFi Technologies,20260904,18.22,51.2,49.6,56.5,34.4,61.2,32.21,15.15,-43.4,-0.9,14.8,260
61,ANET,Arista Networks,20260904,193.78,53.2,54.6,58.5,40.1,69.2,210.5,116.13,-7.9,2.7,27.7,260
62,RBLX,Roblox,20260904,43.31,58.4,42.4,33.7,26.6,68.6,141.56,35.54,-69.4,14.6,4.4,260
63,AMKR,Amkor Technology,20260904,47.77,41.3,39.3,43.2,25.9,72.8,93.38,24.47,-48.8,-13.4,-31.2,260
64,OXY,Occidental Petroleum,20260904,60.04,56.8,55.5,53.6,25.7,67.8,65.94,38.56,-8.9,7.4,5.1,260
65,FIG,Figma Inc,20260904,24.12,44.0,60.2,50.2,34.3,69.1,71.08,16.84,-66.1,3.6,21.9,260
91,ALM,Almonty Industries,20260904,17.57,56.8,60.2,50.7,30.5,67.6,23.42,4.14,-25.0,23.9,14.8,260
92,TER,Teradyne,20260904,357.03,46.9,43.8,52.4,39.3,64.7,483.65,112.02,-26.2,-5.8,2.8,260
93,RGTI,Rigetti Computing,20260904,15.2,43.0,43.9,56.7,31.8,60.0,56.34,12.9,-73.0,-15.3,-21.8,260
94,TXN,Texas Instruments,20260904,258.44,41.6,38.5,50.5,36.1,65.0,330.59,150.79,-21.8,-9.7,-7.9,260
95,NDAQ,Nasdaq,20260904,96.88,52.1,69.1,60.7,27.8,70.2,100.3,76.84,-3.4,2.4,12.1,260
96,PATH,UiPath,20260904,15.19,45.3,76.3,74.2,34.9,78.6,19.29,9.38,-21.3,0.9,41.3,260
97,SMMT,Summit Therapeutics,20260904,17.61,71.1,49.9,49.3,30.4,71.1,26.38,12.43,-33.3,26.1,34.9,260
98,MOS,The Mosaic,20260904,25.85,67.1,55.4,55.1,39.6,68.1,34.95,19.82,-26.0,12.1,30.4,260
99,P,Everpure,20260904,99.51,53.1,46.3,69.0,41.2,84.1,118.16,56.99,-15.8,10.5,49.6,260
100,FRO,Frontline,20260904,46.12,67.2,62.0,56.9,42.0,77.5,46.12,19.11,0.0,16.1,32.7,260
101,APLD,Applied Digital,20260904,26.37,44.4,38.6,46.6,26.4,57.4,49.65,13.89,-46.9,-9.8,-32.2,260
102,ADDYY,adidas AG,20260904,86.55,37.0,41.6,42.5,33.3,74.7,111.68,74.33,-22.5,-8.7,-12.3,260
103,V,Visa,20260904,375.07,55.1,65.7,55.2,47.1,76.8,384.14,294.36,-2.4,3.7,16.4,260
104,U,Unity Software,20260904,41.66,52.2,60.1,81.3,44.6,84.8,49.47,17.13,-15.8,-3.1,56.3,260
105,INTU,Intuit,20260904,332.7,46.7,60.1,61.2,29.3,72.0,694.29,253.95,-52.1,2.3,17.6,260
106,XE,X-Energy,20260904,17.71,46.0,44.0,67.8,29.0,67.8,35.98,13.83,-50.8,-21.8,-1.7,93
107,PEP,PepsiCo,20260904,137.63,45.8,51.2,48.7,32.9,62.0,165.45,132.96,-16.8,0.1,-3.6,260
108,ISRG,Intuitive Surgical,20260904,366.7,43.0,45.7,51.3,29.0,59.7,592.85,332.02,-38.1,-3.2,-11.0,260
109,NTAP,NetApp,20260904,185.59,49.1,49.6,67.6,43.3,76.7,207.08,93.35,-10.4,-2.1,15.9,260
110,JNJ,Johnson & Johnson,20260904,275.23,61.2,57.1,55.5,45.1,74.6,278.43,170.32,-1.1,6.7,16.0,260
111,CF,CF Industries Holdings,20260904,133.35,60.8,57.4,42.3,33.1,72.3,139.27,74.99,-4.3,17.2,22.7,260
112,RDDT,Reddit,20260904,154.46,47.1,44.6,45.2,30.5,64.7,270.71,121.84,-42.9,-4.5,-10.3,260
113,CCL,Carnival,20260904,23.51,31.8,34.5,59.4,27.7,66.4,33.45,23.23,-29.7,-18.9,-9.1,260
114,SIMO,Silicon Motion Technology,20260904,256.21,51.3,46.9,47.0,32.7,71.2,336.22,79.53,-23.8,0.0,2.0,260
115,MDB,MongoDB,20260904,368.74,42.2,63.0,69.7,37.9,80.4,472.29,225.95,-21.9,-7.5,5.9,260
116,ALB,Albemarle,20260904,126.28,42.1,57.2,56.7,25.1,67.8,215.07,71.61,-41.3,-3.7,-14.0,260
117,APH,Amphenol,20260904,82.78,55.5,46.7,60.3,37.4,71.6,88.16,54.85,-6.1,-2.1,11.1,260
118,RCL,Royal Caribbean,20260904,265.19,25.6,32.4,60.1,25.6,66.7,346.35,243.31,-23.4,-17.1,-1.3,260
119,CIFR,Cipher Digital,20260904,17.74,51.0,41.0,40.7,35.0,67.2,29.18,7.52,-39.2,3.3,-15.6,260
120,AVAV,AeroVironment,20260904,144.65,38.9,39.7,65.3,31.1,68.8,409.83,136.68,-64.7,-22.5,-16.4,260
121,MPC,Marathon Petroleum,20260904,388.9,78.2,71.6,50.9,41.8,79.9,388.9,160.76,0.0,30.8,48.1,260
122,UAL,United Airlines,20260904,111.38,43.2,37.0,58.5,31.1,75.5,136.11,85.21,-18.2,-14.0,8.4,260
123,OKTA,Okta,20260904,170.6,63.4,64.7,60.9,38.8,78.1,173.04,62.93,-1.4,15.0,48.5,260
124,ACN,Accenture,20260904,186.72,59.1,66.6,68.1,20.0,70.6,282.71,122.96,-34.0,6.3,10.8,260
125,ZM,Zoom Communications,20260904,101.33,52.9,47.4,70.0,32.2,72.9,111.88,72.72,-9.4,-3.0,7.8,260
126,NEE,NextEra Energy,20260904,83.43,43.4,28.6,35.1,28.6,58.0,96.44,67.82,-13.5,-0.7,-1.2,260
127,AEP,American Electric Power,20260904,124.5,47.4,37.6,35.1,30.7,70.3,137.64,103.24,-9.5,-0.2,-2.4,260
128,EL,Estee Lauder,20260904,103.86,67.3,69.8,62.0,39.5,77.6,118.37,66.74,-12.3,18.0,22.0,260
