rank,code,name,last_date,price,rsi14,rsi14_5d,rsi14_20d,rsi60_min,rsi60_max,hi52,lo52,off_hi52,ret20,ret60,bars
1,TSLA,Tesla,20260904,354.08,50.9,50.9,41.4,25.4,60.5,489.88,298.32,-27.7,7.8,-7.2,260
2,NVDA,NVIDIA,20260904,230.36,60.4,52.3,64.4,37.6,64.4,235.47,164.98,-2.2,2.9,14.9,260
3,BE,Bloom Energy,20260904,252.87,63.1,46.3,47.9,33.1,67.8,345.85,53.44,-26.9,15.3,8.0,260
4,SPCX,SpaceX,20260904,147.95,58.5,54.8,52.8,32.6,60.3,201.8,108.27,-26.7,11.1,,59
5,AVGO,Broadcom,20260904,357.89,38.0,42.7,64.9,34.4,64.9,480.81,292.95,-25.6,-16.3,-3.7,260
6,AAPL,Apple,20260904,319.97,54.0,57.5,47.6,32.2,71.7,339.79,225.96,-5.8,2.2,9.8,260
7,LULU,Lululemon Athletica,20260904,100.61,31.8,51.9,66.3,27.1,66.3,215.88,100.61,-53.4,-21.8,-15.4,260
8,CRCL,Circle,20260904,102.05,67.0,60.9,50.1,30.7,72.1,150.48,50.23,-32.2,53.1,29.3,260
9,INTC,Intel,20260904,95.8,51.7,41.5,50.1,31.5,67.3,140.94,24.08,-32.0,-5.8,-10.5,260
10,MRVL,Marvell Technology,20260904,223.55,51.1,47.2,52.4,31.9,67.7,316.35,63.2,-29.3,2.2,-11.5,260
11,MSTR,Strategy,20260904,142.8,66.2,63.0,50.4,23.6,72.9,359.69,82.31,-60.3,42.8,23.8,260
12,ORCL,Oracle,20260904,158.78,61.0,56.1,56.7,25.7,61.5,324.63,114.99,-51.1,8.0,-20.8,260
13,GOOG,Alphabet-C,20260904,335.31,44.1,48.0,51.0,32.3,62.5,398.54,233.55,-15.9,-5.1,-5.0,260
14,HOOD,Robinhood,20260904,122.11,65.9,54.1,45.7,36.0,71.2,152.46,65.16,-19.9,30.9,41.4,260
15,NBIS,NEBIUS,20260904,226.39,53.5,47.2,45.8,34.0,69.7,286.69,64.06,-21.0,20.4,6.9,260
16,AMD,Advanced Micro Devices,20260904,477.57,49.7,44.8,46.9,36.0,65.2,580.91,151.14,-17.8,-1.2,5.6,260
17,PLTR,Palantir,20260904,174.33,54.2,69.3,72.8,27.4,73.9,207.18,107.27,-15.9,1.3,33.9,260
18,GOOGL,Alphabet-A,20260904,338.46,45.0,49.3,50.7,31.0,62.6,402.12,233.43,-15.8,-4.4,-5.0,260
19,CBRS,Cerebras Systems,20260904,210.05,52.9,41.2,55.4,30.9,63.9,311.07,168.52,-32.5,-7.4,-11.5,79
20,RKLB,Rocket Lab,20260904,64.26,37.2,35.3,56.2,29.9,56.2,150.23,39.48,-57.2,-22.4,-38.8,260
21,MSFT,Microsoft,20260904,499.7,59.6,73.5,78.1,28.8,79.1,537.65,352.17,-7.1,0.1,26.0,260
22,MRNA,Moderna,20260904,145.55,63.2,63.5,50.1,36.7,92.2,174.38,22.36,-16.5,146.0,216.5,260
23,AAOI,Applied Optoelectronics,20260904,105.53,43.6,42.6,56.9,31.5,62.5,223.1,19.49,-52.7,-22.2,-39.7,260
24,COIN,Coinbase,20260904,184.64,56.4,56.8,46.8,33.0,67.0,387.27,141.09,-52.3,20.2,19.9,260
25,SNOW,Snowflake,20260904,337.18,57.3,61.3,80.7,45.7,81.7,356.47,121.11,-5.4,2.0,40.6,260
26,GLW,Corning,20260904,154.3,50.2,44.6,51.6,30.2,69.2,255.21,70.57,-39.5,-6.7,-8.1,260
27,CRWV,CoreWeave,20260904,89.36,52.0,44.8,55.4,28.6,65.0,143.08,60.82,-37.5,-1.4,-6.5,260
