rank,code,name,last_date,price,rsi14,rsi14_5d,rsi14_20d,rsi60_min,rsi60_max,hi52,lo52,off_hi52,ret20,ret60,bars
1,AAPL,Apple,20260901,325.13,61.2,47.9,44.7,32.2,71.7,339.79,225.96,-4.3,5.2,5.9,260
2,DELL,Dell Technologies,20260901,425,44.9,52.4,60.9,42.0,68.9,494.51,110.54,-14.1,-9.0,7.9,260
3,TSLA,Tesla,20260901,356.09,53.1,51.9,39.2,25.4,58.7,489.88,298.32,-27.3,8.8,-8.9,260
4,NVDA,NVIDIA,20260901,217.44,51.9,49.6,56.9,37.6,64.4,235.47,164.98,-7.7,2.6,6.0,260
5,SPCX,SpaceX,20260901,142.23,55.0,52.4,46.8,32.6,58.2,201.8,108.27,-29.5,13.5,,56
6,INTC,Intel,20260901,88.97,41.0,37.5,49.4,31.5,67.3,140.94,24,-36.9,-11.8,-10.3,260
7,AVGO,Broadcom,20260901,369.68,43.3,34.8,61.8,34.4,64.9,480.81,292.95,-23.1,-11.6,-4.0,260
8,GOOG,Alphabet-C,20260901,332.03,40.1,47.3,62.5,32.3,62.5,398.8,211.39,-16.7,-11.5,-9.2,260
9,MRVL,Marvell Technology,20260901,210.39,45.2,56.4,52.2,31.9,69.2,316.35,62.18,-33.5,-3.8,-20.1,260
10,CRCL,Circle,20260901,89.48,59.8,72.1,45.0,30.7,72.1,150.48,50.23,-40.5,41.5,11.5,260
11,CRDO,Credo Technology,20260901,206.63,40.9,46.8,54.2,35.4,71.2,302.52,87.81,-31.7,-13.2,-0.1,260
12,GOOGL,Alphabet-A,20260901,335.02,41.3,48.7,62.6,31.0,62.6,402.38,210.75,-16.7,-11.3,-9.0,260
13,MRNA,Moderna,20260901,154.27,67.5,72.5,45.0,36.7,92.2,174.38,22.36,-11.5,170.7,225.2,260
14,NBIS,NEBIUS,20260901,199.54,44.5,50.6,55.3,34.0,69.7,286.69,64.06,-30.4,-11.6,-12.4,260
15,MSTR,Strategy,20260901,124.88,59.0,70.2,47.6,23.6,72.9,359.69,82.31,-65.3,27.9,3.7,260
16,BE,Bloom Energy,20260901,213.63,48.1,49.1,50.3,33.1,67.8,345.85,51.35,-38.2,-6.3,-19.0,260
17,AMZN,Amazon,20260901,254.92,46.3,51.6,67.0,32.5,72.2,284.02,198.79,-10.2,-8.1,3.6,260
18,RKLB,Rocket Lab,20260901,62.54,33.3,37.0,48.1,29.9,56.2,150.23,39.48,-58.4,-16.0,-43.2,260
19,ORCL,Oracle,20260901,141.32,46.4,51.2,56.0,25.7,61.5,324.63,114.99,-56.5,-3.0,-33.6,260
20,PANW,Palo Alto Networks,20260901,362.09,51.5,44.0,66.6,43.8,81.4,396,141.67,-8.6,-1.2,33.1,260
21,PLTR,Palantir,20260901,179.92,61.9,61.8,72.8,27.4,73.9,207.18,107.27,-13.2,10.6,32.8,260
22,AMD,Advanced Micro Devices,20260901,459.61,43.6,48.0,52.3,36.0,65.2,580.91,151.14,-20.9,-11.4,-1.5,260
23,HOOD,Robinhood,20260901,103.51,53.1,63.5,45.1,36.0,71.2,152.46,65.16,-32.1,10.7,25.5,260
24,COIN,Coinbase,20260901,176.82,54.3,65.0,43.6,33.0,67.0,387.27,141.09,-54.3,17.3,16.0,260
25,AAOI,Applied Optoelectronics,20260901,103.39,41.6,45.3,55.9,31.5,62.5,223.1,19.49,-53.7,-21.5,-41.6,260
26,BAC,Bank of America,20260901,61.99,48.8,51.2,66.7,43.1,75.5,64.81,46.48,-4.4,-1.4,15.2,260
27,CBRS,Cerebras Systems,20260901,172.62,40.0,42.0,55.9,30.9,63.9,311.07,168.52,-44.5,-24.0,-14.1,76
28,MDB,MongoDB,20260901,434.21,57.8,53.2,67.7,37.9,80.4,472.29,225.95,-8.1,14.3,23.8,260
29,CRM,Salesforce,20260901,258.11,81.3,62.4,63.9,30.0,81.3,264.88,150.12,-2.6,35.1,39.4,260
30,NOW,ServiceNow,20260901,142.9,67.3,60.2,62.2,36.2,74.4,192.23,83,-25.7,21.0,27.1,260
31,KO,Coca-Cola,20260901,88,50.3,70.8,58.6,47.0,73.2,91.99,64.35,-4.3,1.7,11.4,260
32,CRWD,CrowdStrike,20260901,215.07,54.5,38.8,66.5,38.8,74.6,231,87.56,-6.9,1.8,28.2,260
33,CRWV,CoreWeave,20260901,81.85,42.6,48.4,56.9,28.6,65.0,143.08,60.82,-42.8,-10.9,-18.5,260
34,TEM,Tempus AI,20260901,62.27,54.8,66.1,45.6,31.6,75.1,103.25,41.55,-39.7,32.3,34.1,260
68,TTWO,Take-Two Interactive Software,20260901,216.68,32.0,42.8,49.9,32.0,74.3,262.29,189.69,-17.4,-9.8,1.1,260
69,IONQ,IonQ Inc,20260901,37.78,42.1,49.1,52.1,25.5,60.3,82.09,26.59,-54.0,-9.4,-33.5,260
70,XE,X-Energy,20260901,18.41,48.8,50.6,55.6,29.0,67.8,35.98,13.83,-48.8,-0.9,-14.1,90
71,XOM,Exxon Mobil,20260901,164.55,62.4,57.4,59.3,33.3,72.4,169.22,106.15,-2.8,7.6,10.5,260
72,NVS,Novartis AG,20260901,161.25,58.7,58.7,47.6,42.2,64.1,163.67,118.23,-1.5,5.2,8.1,260
73,LULU,Lululemon Athletica,20260901,118,47.8,47.5,58.5,27.1,66.3,215.88,105.43,-45.3,-4.1,3.3,260
