rank,code,name,last_date,price,rsi14,rsi14_5d,rsi14_20d,rsi60_min,rsi60_max,hi52,lo52,off_hi52,ret20,ret60,bars
1,NVDA,NVIDIA,20260902,224.41,56.7,46.3,61.6,37.6,64.4,235.47,164.98,-4.7,2.4,7.6,260
2,AVGO,Broadcom,20260902,367.24,42.1,34.4,61.8,34.4,64.9,480.81,292.95,-23.6,-12.2,-7.3,260
3,DELL,Dell Technologies,20260902,492.2,58.9,55.1,59.8,42.0,68.6,494.51,110.54,-0.5,6.4,23.0,260
4,TSLA,Tesla,20260902,357.01,53.5,49.8,37.5,25.4,58.7,489.88,298.32,-27.1,11.0,-12.7,260
5,SPCX,SpaceX,20260902,140.71,53.5,53.5,37.9,32.6,58.2,201.8,108.27,-30.3,30.0,,57
6,SNOW,Snowflake,20260902,305.84,45.7,54.7,77.1,45.7,81.7,337.38,121.11,-9.3,-3.5,27.2,260
7,PLTR,Palantir,20260902,169.46,52.2,64.7,68.7,27.4,73.9,207.18,107.27,-18.2,7.0,24.2,260
8,CRDO,Credo Technology,20260902,165.22,31.8,46.8,50.3,31.8,71.2,302.52,87.81,-45.4,-26.4,-25.7,260
9,GOOG,Alphabet-C,20260902,333.78,41.9,44.2,54.3,32.3,62.5,398.8,230.44,-16.3,-7.3,-7.6,260
10,INTC,Intel,20260902,90.05,42.8,38.7,49.5,31.5,67.3,140.94,24,-36.1,-10.9,-18.3,260
11,AAPL,Apple,20260902,324.96,61.0,51.5,45.8,32.2,71.7,339.79,225.96,-4.4,4.6,7.9,260
12,MRVL,Marvell Technology,20260902,206.48,43.8,57.8,49.8,31.9,67.7,316.35,62.18,-34.7,-2.2,-28.5,260
13,CRCL,Circle,20260902,88.64,58.8,68.5,45.0,30.7,72.1,150.48,50.23,-41.1,40.1,7.4,260
14,NBIS,NEBIUS,20260902,204.09,46.1,48.5,53.4,34.0,69.7,286.69,64.06,-28.8,-6.8,-6.4,260
15,GOOGL,Alphabet-A,20260902,337.12,43.1,45.2,54.6,31.0,62.6,402.38,230.0,-16.2,-7.0,-7.2,260
16,RKLB,Rocket Lab,20260902,63.1,34.5,36.3,48.4,29.9,56.2,150.23,39.48,-58.0,-15.7,-44.5,260
17,MSTR,Strategy,20260902,123.19,57.7,65.9,48.4,23.6,72.9,359.69,82.31,-65.8,25.2,-3.2,260
18,MSFT,Microsoft,20260902,496.82,61.1,68.0,76.1,28.8,79.1,537.65,352.17,-7.6,2.1,20.9,260
19,HPE,Hewlett Packard Enterprise,20260902,51.83,48.5,57.9,65.0,42.3,73.8,59.82,19.72,-13.4,-2.6,4.2,260
20,BE,Bloom Energy,20260902,217.28,49.8,49.4,51.8,33.1,67.8,345.85,52.45,-37.2,-7.3,-14.3,260
21,ASTS,AST SpaceMobile,20260902,62.4,47.2,40.5,51.5,31.8,56.7,133.09,36.91,-53.1,-8.7,-32.2,260
22,MRNA,Moderna,20260902,150.81,65.8,68.5,43.8,36.7,92.2,174.38,22.36,-13.5,168.1,216.8,260
23,ORCL,Oracle,20260902,145.75,50.7,54.8,54.8,25.7,61.5,324.63,114.99,-55.1,0.9,-31.0,260
24,PANW,Palo Alto Networks,20260902,328.48,41.8,43.8,64.6,41.8,81.4,396,141.67,-17.1,-9.4,23.3,260
25,AMD,Advanced Micro Devices,20260902,457.06,43.0,48.4,46.6,36.0,65.2,580.91,151.14,-21.3,-5.2,-6.8,260
26,NOW,ServiceNow,20260902,136.72,59.9,58.4,61.0,36.2,74.4,192.23,83,-28.9,16.6,19.7,260
27,CRWV,CoreWeave,20260902,80.93,41.8,48.4,55.3,28.6,65.0,143.08,60.82,-43.4,-10.0,-20.9,260
28,HOOD,Robinhood,20260902,106.99,56.5,59.4,44.3,36.0,71.2,152.46,65.16,-29.8,15.3,25.8,260
29,AMZN,Amazon,20260902,254.98,46.4,50.9,63.5,32.5,72.2,284.02,198.79,-10.2,-6.5,4.0,260
30,TEM,Tempus AI,20260902,61.94,54.3,65.7,44.9,31.6,75.1,103.25,41.55,-40.0,32.6,27.5,260
50,QCOM,Qualcomm,20260902,169.04,54.6,48.0,39.6,28.9,55.8,248.74,122.94,-32.0,7.9,-22.0,260
51,BMNR,Bitmine Immersion Technologies,20260902,23.06,58.9,78.3,58.9,30.2,79.8,63.2,13.31,-63.5,25.1,36.9,260
52,UBER,Uber Technologies,20260902,76.45,51.9,58.8,41.7,33.2,65.0,100.1,65.94,-23.6,12.1,9.1,260
53,MCD,McDonald's,20260902,260.95,41.8,44.4,53.5,33.4,59.5,334.5,258.22,-22.0,-4.1,-5.4,260
54,VRT,Vertiv Holdings,20260902,256.7,42.3,44.4,47.6,26.9,63.5,376.15,121.69,-31.8,-7.6,-14.6,260
55,WMT,Walmart,20260902,106.09,42.6,34.8,48.2,25.9,59.3,133.88,98.61,-20.8,-5.3,-11.3,260
56,SOFI,SoFi Technologies,20260902,17.84,48.8,56.3,55.9,34.4,61.2,32.21,15.15,-44.6,-2.2,8.1,260
57,DDOG,Datadog,20260902,209.23,36.3,41.8,66.3,36.3,71.8,288.15,102.61,-27.4,-26.1,-9.7,260
58,NKE,Nike,20260902,38.24,39.9,37.2,48.6,35.6,57.8,72.94,38.04,-47.6,-9.0,-10.6,260
59,UNH,UnitedHealth,20260902,399.66,48.8,47.7,46.8,33.3,73.9,436.35,257.55,-8.4,-3.2,-1.1,260
60,ADBE,Adobe,20260902,279.79,58.4,60.8,63.5,27.7,69.3,367.46,193.41,-23.9,7.9,14.2,260
61,RDDT,Reddit,20260902,158.1,49.3,45.8,40.6,30.5,64.7,270.71,121.84,-41.6,1.8,-7.6,260
62,ALAB,Astera Labs,20260902,274.13,40.5,43.5,47.8,32.5,72.5,483.02,100.27,-43.2,-13.9,-20.8,260
63,CF,CF Industries Holdings,20260902,139.27,72.3,57.3,45.9,33.1,72.3,139.27,74.99,0.0,19.9,27.9,260
64,BA,Boeing,20260902,208.87,38.9,39.3,65.4,33.5,65.4,252.15,179.12,-17.2,-13.0,-3.3,260
65,TTWO,Take-Two Interactive Software,20260902,216.14,31.7,43.3,45.0,31.7,74.3,262.29,189.69,-17.6,-8.0,1.7,260
66,IONQ,IonQ Inc,20260902,37.64,41.9,45.4,48.7,25.5,60.3,82.09,26.59,-54.1,-5.7,-40.1,260
67,FCX,Freeport-McMoRan,20260902,73.93,56.1,70.4,64.3,35.3,73.0,79.91,34.96,-7.5,6.5,16.0,260
68,CEG,Constellation Energy,20260902,290.04,64.0,58.5,51.7,31.9,64.0,401.71,236.14,-27.8,9.6,15.9,260
69,PFE,Pfizer,20260902,29.02,72.4,69.6,66.8,25.1,77.4,29.02,22.05,0.0,12.4,15.3,260
70,NTAP,NetApp,20260902,180.77,43.3,57.1,67.3,43.3,76.7,207.08,93.35,-12.7,-3.1,6.5,260
71,OXY,Occidental Petroleum,20260902,60.91,61.9,53.8,46.3,25.7,67.8,65.94,38.56,-7.6,13.2,6.5,260
72,IBM,IBM Corp,20260902,231.7,47.3,45.8,48.8,29.2,67.9,326.89,204.3,-29.1,-1.1,-16.9,260
73,TTD,The Trade Desk,20260902,14.55,47.2,31.1,51.7,27.3,54.6,54.13,13.03,-73.1,-23.3,-25.1,260
74,BAC,Bank of America,20260902,62.6,52.9,49.8,68.2,43.1,75.5,64.81,46.48,-3.4,-1.0,16.7,260
75,NEM,Newmont,20260902,124.9,59.0,71.5,63.8,30.0,78.0,134.86,74.18,-7.4,20.0,26.4,260
76,MP,MP Materials,20260902,54.7,50.8,61.0,50.6,26.4,67.0,98.65,38.1,-44.6,14.2,-5.0,260
77,PL,Planet Labs PBC,20260902,19.99,35.4,37.0,41.9,27.4,52.5,51.4,6.44,-61.1,-10.6,-38.9,260
78,JNJ,Johnson & Johnson,20260902,275.21,63.3,60.6,53.7,45.1,74.6,275.21,170.32,0.0,7.4,19.1,260
79,CVX,Chevron,20260902,211.78,72.3,59.3,49.7,28.0,72.3,211.78,142.76,0.0,14.6,12.9,260
100,LRCX,Lam Research,20260902,288.32,39.9,48.2,47.6,31.1,72.7,433.33,97.2,-33.5,-6.2,-11.1,260
101,IBKR,Interactive Brokers,20260902,89.12,43.8,60.2,45.8,39.2,72.0,98.1,59.91,-9.2,0.5,2.1,260
102,AMKR,Amkor Technology,20260902,47.17,39.8,38.0,41.3,25.9,72.8,93.38,23.64,-49.5,-12.3,-30.8,260
103,DUOL,Duolingo,20260902,157.85,65.4,53.6,55.8,44.0,68.9,347.27,90.03,-54.5,16.6,33.8,260
104,GE,GE Aerospace,20260902,329.5,35.6,47.8,66.3,35.6,76.6,381.22,272.91,-13.6,-13.6,2.4,260
105,ETN,Eaton,20260902,390.85,37.1,47.9,62.4,34.4,65.5,459.96,313.2,-15.0,-12.4,-2.8,260
106,SLB,SLB Ltd,20260902,58.13,65.6,58.9,53.2,25.7,76.5,59.79,30.96,-2.8,17.1,3.3,260
107,ANET,Arista Networks,20260902,186.1,47.4,60.2,65.7,40.1,69.2,210.5,116.13,-11.6,-5.7,19.0,260
108,LULU,Lululemon Athletica,20260902,120.07,50.9,44.8,59.3,27.1,66.3,215.88,105.43,-44.4,-2.8,2.1,260
109,GME,GameStop,20260902,18.97,48.8,28.1,28.0,24.4,59.2,27.69,17.87,-31.5,-0.2,-14.8,260
110,XOM,Exxon Mobil,20260902,164.15,61.5,52.2,53.6,33.3,72.4,169.22,106.15,-3.0,9.0,8.9,260
111,AXP,American Express,20260902,329.98,42.9,46.4,56.0,35.3,74.6,381.78,290.55,-13.6,-5.4,6.0,260
112,KLAC,KLA Corp,20260902,172.26,34.9,40.5,43.3,32.3,76.1,301.37,83.94,-42.8,-10.6,-18.2,260
113,MOS,The Mosaic,20260902,25.78,68.1,60.4,58.5,28.2,68.1,34.95,19.82,-26.2,10.1,20.6,260
114,RBLX,Roblox,20260902,41.21,51.9,38.5,29.1,26.6,68.6,141.56,35.54,-70.9,13.9,-2.6,260
115,TER,Teradyne,20260902,341.62,41.4,45.5,54.8,39.3,64.7,483.84,112.07,-29.4,-12.3,-8.8,260
116,QBTS,D-Wave Quantum,20260902,16.49,39.0,41.7,55.8,31.3,57.4,44.78,12.98,-63.2,-22.9,-36.2,260
117,DIS,Disney,20260902,107.98,57.9,65.3,60.8,35.6,71.0,117.14,91.72,-7.8,6.1,10.1,260
118,CIFR,Cipher Digital,20260902,15.18,42.1,42.7,43.5,35.0,67.2,29.18,7.4,-48.0,-18.9,-37.5,260
119,EIX,Edison International,20260902,55.19,29.3,54.2,29.4,22.2,73.3,80.38,50.16,-31.3,-19.2,-21.2,260
120,TWST,Twist Bioscience,20260902,131,53.5,68.5,70.9,45.8,79.4,153.1,24.16,-14.4,13.9,87.0,260
121,BSX,Boston Scientific,20260902,48.37,49.5,47.3,59.0,25.1,72.3,108.14,42.63,-55.3,1.3,-0.7,260
122,QNT,Quantinuum,20260902,48,38.8,43.8,47.7,34.5,65.6,83.17,47.34,-42.3,-15.7,-17.8,63
123,KTOS,Kratos Defense & Security Solutions,20260902,47.78,35.2,44.0,60.5,30.6,71.0,130.72,43.88,-63.4,-13.7,-17.2,260
124,U,Unity Software,20260902,40.76,48.7,65.4,69.1,44.6,84.8,49.47,17.13,-17.6,14.9,41.5,260
125,SNPS,Synopsys,20260902,415.97,50.2,51.8,46.4,22.7,71.7,609.08,372.33,-31.7,3.8,-12.1,260
126,ZM,Zoom Communications,20260902,95.86,44.5,39.7,65.3,32.2,72.9,111.88,72.72,-14.3,-4.7,-5.2,260
127,MO,Altria,20260902,69.56,55.0,53.7,39.9,30.8,64.4,74.92,53.03,-7.2,1.6,-1.0,260
128,TXN,Texas Instruments,20260902,254.8,37.6,39.0,45.5,36.1,65.0,330.59,150.79,-22.9,-8.3,-12.0,260
129,MGM,MGM Resorts International,20260902,41.44,32.8,40.7,41.5,25.1,72.2,50.69,30.72,-18.2,-6.9,-12.3,260
130,PBF,PBF Energy,20260902,75.48,61.4,54.5,52.7,38.0,81.4,75.48,25.55,0.0,23.9,78.8,260
131,APH,Amphenol,20260902,80.04,49.4,50.8,64.1,37.4,71.6,88.16,54.85,-9.2,-7.1,11.6,260
132,ZS,Zscaler,20260902,172.73,50.5,52.2,63.1,39.6,76.5,336.27,118.05,-48.6,6.9,33.6,260
133,XYZ,Block,20260902,82.46,53.1,57.2,62.6,42.1,65.6,84.85,49.09,-2.8,-2.1,17.9,260
134,NU,Nu Holdings,20260902,15.4,60.4,60.6,58.1,34.9,67.3,18.76,11.6,-17.9,6.4,32.8,260
135,HUT,Hut 8,20260902,80.68,43.2,44.8,43.1,37.5,59.8,133.02,25.38,-39.3,-13.0,-32.5,260
136,CSCO,Cisco,20260902,109.45,40.9,46.0,61.7,39.4,63.1,129.52,65.18,-15.5,-9.9,-11.5,260
137,ZETA,Zeta Global,20260902,30.44,63.5,60.1,74.3,39.4,74.3,31.56,14.55,-3.5,12.4,39.9,260
138,NDAQ,Nasdaq,20260902,95.72,48.3,70.2,60.8,27.8,70.2,100.3,76.84,-4.6,1.2,10.7,260
139,GFS,GlobalFoundries,20260902,43.97,32.2,34.1,32.3,24.0,64.4,89.83,31.62,-51.1,-11.1,-43.0,260
140,PM,Philip Morris International,20260902,187.94,48.2,57.7,51.3,42.6,65.7,200.17,140.59,-6.1,-0.5,7.6,260
141,AFRM,Affirm Holdings,20260902,74.09,47.4,50.9,55.7,37.5,70.8,92.18,42.53,-19.6,-5.6,13.2,260
142,C,Citigroup,20260902,134.34,51.2,48.2,56.9,35.9,74.6,144.93,91.98,-7.3,-2.4,1.3,260
143,ON,ON Semiconductor,20260902,72.34,37.1,35.8,35.5,33.2,60.5,133.93,44.9,-46.0,-5.9,-40.2,260
144,INTU,Intuit,20260902,342.94,51.8,55.3,63.6,29.3,72.0,694.29,253.95,-50.6,4.6,12.7,260
145,NTSK,Netskope,20260902,13.75,47.3,50.2,66.5,33.4,77.0,25.79,7.73,-46.7,-2.3,45.8,241
146,FSLR,First Solar,20260902,202.6,38.9,38.3,58.1,31.5,64.0,318.25,184.7,-36.3,-14.4,-26.4,260
147,LNVGY,LENOVO GROUP LTD,20260902,79.74,61.2,60.0,63.8,45.3,78.8,87.75,22.03,-9.1,19.7,28.5,260
148,RTX,RTX Corp,20260902,200.78,34.1,48.9,75.8,34.1,77.4,225.49,149.53,-11.0,-9.4,12.8,260
149,RCL,Royal Caribbean,20260902,265.6,25.8,39.3,66.7,25.8,66.7,354.01,243.31,-25.0,-18.9,-2.4,260
150,EL,Estee Lauder,20260902,101.15,63.8,76.6,60.4,39.5,77.6,118.37,66.74,-14.6,16.7,19.9,260
