onset,peak_ym,peak,len,onset_month,peak_month,ramp_jan_jul,T3_abs,T3_exc,T6_abs,T6_exc,T12_abs,T12_exc,T24_abs,T24_exc,A_pre6_to_peak6,peak_px
1951-06,1951-10,1.03,8,6,10,1.37,,,,,,,,,,
1953-04,1953-10,0.78,9,4,10,0.38,,,,,,,,,,
1957-04,1958-01,1.69,14,4,1,1.23,,,,,,,,,,
1963-07,1963-11,1.19,8,7,11,1.09,58.0,53.9,35.7,31.5,-44.2,-48.3,-125.3,-129.9,22.314355131420978,0.25
1965-06,1965-11,1.82,10,6,11,1.61,0.0,-2.0,22.3,16.0,0.0,-7.7,0.0,-1.5,-18.232155679395458,0.04
1968-10,1969-01,0.98,8,10,1,1.06,33.6,30.6,47.0,41.1,33.6,24.0,58.8,48.6,69.31471805599453,0.06
1972-06,1972-11,1.84,10,6,11,1.57,28.8,25.1,56.0,33.7,56.0,-5.4,152.2,77.3,43.07829160924543,0.16
1976-09,1976-12,0.84,6,9,12,1.72,0.0,-10.4,20.1,-3.3,-11.8,-13.4,10.5,-6.0,-66.32942174102642,0.17
1977-10,1977-11,0.84,5,10,11,-0.32,17.2,13.1,0.0,-8.1,11.8,0.5,62.9,34.7,-31.84537311185346,0.16
1982-05,1983-01,2.14,14,5,1,0.83,-14.3,-10.6,-6.9,-3.9,47.0,37.7,-22.3,-39.0,-12.260232209233239,0.13
1986-09,1987-09,1.49,17,9,9,0.64,15.4,14.4,22.3,16.9,22.3,3.6,65.1,31.2,23.638877806423054,0.13
1991-06,1992-01,1.54,13,6,1,0.42,-14.0,-14.6,-24.5,-24.9,0.0,-1.4,-9.1,-12.2,9.097177820572679,0.18
1994-10,1994-12,0.97,5,10,12,0.23,3.2,0.5,-3.3,-4.0,-17.6,-19.1,-25.6,-21.1,25.593337413720068,0.32
1997-05,1997-12,2.37,12,5,12,1.89,0.0,5.6,7.7,18.1,-32.9,-13.7,-65.4,-35.6,-28.76820724517809,0.27
2002-07,2002-11,1.19,8,7,11,0.72,19.4,16.8,35.7,29.5,6.9,2.2,19.4,-0.9,-6.062462181643485,0.17
2004-08,2004-12,0.71,7,8,12,0.05,5.7,4.1,16.3,4.6,30.2,21.0,46.3,14.0,43.07829160924543,0.18
2006-09,2006-11,0.88,5,9,11,0.98,-8.0,-9.8,-21.4,-31.9,-16.7,-36.2,0.0,-10.8,-59.30637220029629,0.26
2009-07,2009-12,1.5,9,7,12,1.39,0.0,-3.0,13.4,8.3,-17.8,-29.1,21.9,-10.2,22.314355131420957,0.52
2014-10,2015-12,2.59,20,10,12,0.31,-11.8,-4.2,-21.6,-12.6,-11.8,8.3,22.3,34.6,9.763846956391586,0.32
2018-09,2018-12,1.05,10,9,12,0.91,-3.5,-2.0,-3.5,-3.9,-3.5,-0.9,3.4,-4.4,0.0,0.28
2019-10,2019-12,0.75,6,10,12,-0.61,16.4,17.5,-15.4,-8.5,10.2,-2.2,42.9,7.6,-3.636764417087483,0.3
2023-06,2023-12,1.99,11,6,12,1.55,9.2,9.9,-8.0,-6.7,-19.0,-21.8,-34.0,-38.2,2.3530497410194036,0.48
