idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
69,2019-02-04,3.73,69,2019-02-04,0,True,True,True,-1.83,5.0,4.92,3.845,2019-02-07,hit,0.47,3.5,-2.05
154,2019-06-06,3.594,157,2019-06-11,3,False,False,False,3.12,7.18,11.44,,,,,,
543,2020-12-18,13.272,544,2020-12-21,1,False,False,False,-2.8,1.0,0.71,,,,,,
553,2021-01-05,13.405,553,2021-01-05,0,True,True,True,0.6,-0.29,0.94,13.402,2021-01-08,hit,-4.05,1.87,7.74
555,2021-01-07,13.344,555,2021-01-07,0,True,True,True,-1.08,2.76,1.85,13.43,2021-01-12,hit,-0.48,-3.81,9.93
563,2021-01-20,13.366,563,2021-01-20,0,True,True,False,-3.35,1.23,10.95,13.64,2021-01-25,hit,-2.95,5.86,3.68
602,2021-03-17,13.341,605,2021-03-22,3,False,False,False,-5.23,0.05,20.96,,,,,,
749,2021-10-14,21.746,749,2021-10-14,0,True,True,True,4.35,14.69,39.75,21.301,,miss,,,
825,2022-02-02,25.242,825,2022-02-02,0,False,False,False,5.8,5.03,-6.05,,,,,,
854,2022-03-16,24.496,854,2022-03-16,0,True,True,True,4.65,13.04,-9.36,24.073,2022-04-06,hit,-7.77,-16.16,-21.72
923,2022-06-24,17.126,923,2022-06-24,0,False,False,False,-15.2,-11.53,-0.6,,,,,,
1242,2023-10-02,44.782,1242,2023-10-02,0,True,True,True,1.1,2.93,-8.09,44.055,2023-10-05,hit,6.56,-4.44,-1.25
1387,2024-04-30,86.402,1389,2024-05-02,2,True,True,True,4.81,5.73,32.9,87.422,,miss,,,
1389,2024-05-02,85.817,1389,2024-05-02,0,True,True,True,3.41,9.95,27.75,87.444,,miss,,,
1459,2024-08-13,116.14,1459,2024-08-13,0,True,True,True,9.57,10.47,0.66,116.655,2024-09-03,hit,-7.33,-0.91,0.3
1552,2024-12-24,140.22,1555,2024-12-30,3,True,True,True,-1.36,-3.07,-15.55,139.482,2025-01-08,hit,-4.24,2.25,-6.91
1624,2025-04-10,107.57,1625,2025-04-11,1,True,False,False,-5.65,3.2,8.44,112.626,2025-04-16,hit,-5.5,-0.9,19.71
1633,2025-04-24,106.43,1634,2025-04-25,1,True,True,True,4.87,10.28,24.81,111.179,2025-04-30,hit,5.29,21.73,25.19
1790,2025-12-08,185.55,1790,2025-12-08,0,False,False,False,-4.99,-1.0,1.92,,,,,,
1869,2026-04-02,177.39,1869,2026-04-02,0,True,True,True,6.34,13.69,11.87,179.162,,miss,,,
1934,2026-07-08,204.12,1934,2026-07-08,0,True,True,True,4.11,3.89,7.4,203.271,2026-07-13,hit,0.0,-3.33,7.02
