slice_id,start,end,length,ongoing,th,sector,标签,稳健,确认日偏移,区间涨跌pct,全局ER,上行ER,上行ER中位,n_up,low_n_up,下行ER,下行ER中位,n_dn,low_n_dn,EP05,EP06,ER20最大,HV20,静态corr,corr60均值,corr60最低,up分位,dn分位,hist80高up,hist80高dn,标签th3,标签th8
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,369,False,0.05,XLB,弱势独立下跌,稳健,188,-32.46374038471432,0.0808268802250995,0.4763564325791104,0.502645453699211,7,False,0.5963644581327423,0.5822758667504259,8,False,10,7,0.7666656797190926,25.9791946492325,0.2730061200864391,0.26146853543627874,-0.12186193408711463,0.2222222222222222,0.6666666666666666,False,False,弱势独立下跌,弱势独立下跌
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,369,False,0.05,XLE,强势独立上涨,临界,-1,14.197752080722314,0.028894161038034542,0.5966089394556454,0.5679049458802611,11,False,0.5923086407209728,0.6329013525732683,11,False,3,1,0.6149051456381603,25.403125329759323,0.20217843839426575,0.23244968448882858,-0.2892416768762284,0.8888888888888888,0.5555555555555556,False,False,中性/混合,中性/混合
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,369,False,0.05,XLF,中性/混合,,60,3.1814958695666418,0.006121854340245785,0.5639112091708244,0.5484558578500449,12,False,0.6245592959553476,0.5669634931499223,12,False,6,1,0.6167676758443349,30.471017547526277,0.6744389849047491,0.6854683130728646,0.3553044389067203,0.7777777777777778,0.7777777777777778,False,False,中性/混合,中性/混合
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,369,False,0.05,XLI,中性/混合,,230,2.049109374098279,0.00540580261433614,0.555824005151289,0.5333629995620783,8,False,0.45602870739702595,0.4252831084390201,9,False,7,2,0.7008705491870025,20.98205771825909,0.7086628369237846,0.6607384392841521,0.32257943497083147,0.6666666666666666,0.1111111111111111,False,False,中性/混合,跟随震荡
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,369,False,0.05,XLK,高波动跟随,,43,6.4929077759005915,0.008096301414818232,0.5048277650399439,0.5045013919580859,11,False,0.6484714953737808,0.633337043958131,11,False,11,6,0.7343025111234772,31.790817818437173,0.7685242553016668,0.7712865302326923,0.5752920752596927,0.4444444444444444,0.8888888888888888,False,False,高波动跟随,高波动跟随
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,369,False,0.05,XLP,跟随震荡,,96,2.7751260873047023,0.007423379342067074,0.4994075851598785,0.4030609532966618,7,False,0.4788985872789336,0.4819977349300187,7,False,5,2,0.6699734645813377,23.033738901772505,0.42178500001979796,0.4911996686142085,-0.15125369100900216,0.3333333333333333,0.3333333333333333,False,False,中性/混合,中性/混合
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,369,False,0.05,XLU,中性/混合,,-1,11.684398339180513,0.03157261622906338,0.3489972786115119,0.2367992365711393,5,False,0.4801799273353615,0.42782024224964926,4,False,2,1,0.6417927755022288,20.782775929378356,0.403959341235277,0.441539976073678,-0.016819079646927006,0.1111111111111111,0.4444444444444444,False,False,中性/混合,中性/混合
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,369,False,0.05,XLV,中性/混合,,63,-6.591848638450736,0.017110000713681073,0.5527086853870838,0.5413286929045467,8,False,0.470558090821253,0.4803423980179481,8,False,6,3,0.6927348601007777,21.82448925054674,0.6263830812191239,0.6530181161902724,0.2946010811954872,0.5555555555555556,0.2222222222222222,False,False,中性/混合,跟随震荡
S01,1999-05-13 00:00:00,2000-10-25 00:00:00,369,False,0.05,XLY,弱势独立下跌,稳健,59,-23.326010820213703,0.05244431142297919,0.6386553563578956,0.7508824830901262,12,False,0.6796857793804149,0.6639007997968369,12,False,9,6,0.7309555791301912,26.42574533691274,0.6361141376990487,0.6509313738913147,0.16767991457418602,1.0,1.0,False,False,弱势独立下跌,弱势独立下跌
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,205,False,0.05,XLB,高波动跟随,,185,9.693377105140266,0.05728041095641866,0.5015870043968566,0.4549721458387457,4,False,0.4956511075321488,0.43481042788432966,4,False,5,1,0.6286310792634755,17.26754867087285,0.7813659434998759,0.7802263052413789,0.6250373503215757,0.75,0.7142857142857143,False,False,高波动跟随,高波动跟随
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,205,False,0.05,XLE,强势独立上涨,稳健,141,22.673234453127698,0.10793057107226864,0.46219263951336365,0.47193392181613625,4,False,0.3381925034784983,0.31458542761386526,5,False,11,6,0.7790633330941836,18.16761478186675,0.46507902076355284,0.5017253871361471,0.23375079662308582,0.625,0.2857142857142857,False,False,强势独立上涨,强势独立上涨
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,205,False,0.05,XLF,中性/混合,,185,1.70355602780643,0.014422926907699788,0.5343626897766452,0.5587419948227036,4,False,0.3074703059215937,0.2984423715703746,3,False,5,2,0.6595655255530186,12.344168375072021,0.870449377249011,0.8784446434739802,0.8441165065196314,0.875,0.14285714285714285,False,False,中性/混合,跟随震荡
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,205,False,0.05,XLI,中性/混合,,78,16.345663009807488,0.1180444981327611,0.35008166640012295,0.30426248993005395,4,False,0.6103481354996431,0.48447682895477256,3,False,16,9,0.7180851185987892,12.924825065793778,0.9094442225319624,0.8997597124581911,0.8148228391026163,0.25,1.0,False,False,中性/混合,中性/混合
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,205,False,0.05,XLK,高波动跟随,,-1,1.400712532711501,0.008287318480529752,0.44493274934514465,0.3093250420857638,3,False,0.39728167552021804,0.4098360221111656,3,False,3,0,0.5532678220225599,17.359002880438357,0.8044364160822908,0.809142372565714,0.7347105766444613,0.5,0.5714285714285714,False,False,高波动跟随,高波动跟随
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,205,False,0.05,XLP,跟随震荡,,181,-0.33772011412791514,0.0036024554828450153,0.32974319260593493,0.36040015140864157,3,False,0.4378268750181794,0.4378268750181794,2,True,7,1,0.6880925752204755,9.854402504521774,0.7249939371866975,0.702912564529937,0.5086991818440139,0.125,,False,False,中性/混合,跟随震荡
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,205,False,0.05,XLU,中性/混合,,-1,17.498893805122417,0.13626401390046533,0.3840842343078418,0.3840842343078418,2,True,0.2699975221318673,0.2699975221318673,1,True,4,0,0.5566845289035544,11.961156330885542,0.5384015072693014,0.5443091715279037,0.3404934243759331,,,False,False,中性/混合,中性/混合
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,205,False,0.05,XLV,中性/混合,,-1,-5.496437392764797,0.0433390018249233,0.43585910775037195,0.4192593730235022,4,False,0.5098624111282254,0.4904069000836131,3,False,4,0,0.5844832882617476,12.55017085339526,0.736346933794906,0.7485096157483883,0.6506561178134871,0.375,0.8571428571428571,False,False,中性/混合,跟随震荡
S02,2004-03-01 00:00:00,2004-12-20 00:00:00,205,False,0.05,XLY,高波动跟随,,181,7.922662281586912,0.05964589491375809,0.661581999575536,0.6904685351260484,4,False,0.3857664326121531,0.36235930308188036,3,False,12,6,0.6748729344169712,13.181077374504882,0.8715657778799472,0.855198322265024,0.7222094644364322,1.0,0.42857142857142855,False,False,高波动跟随,高波动跟随
S03,2005-02-16 00:00:00,2006-07-13 00:00:00,354,False,0.05,XLB,高波动跟随,,191,4.675740863976041,0.015443491264426241,0.40966482666278514,0.3741920347726055,6,False,0.5515296939719893,0.5398412934211114,5,False,22,8,0.7549895187165747,16.815024146027753,0.7933680119020985,0.7796839913176166,0.6744724349531985,0.8,0.75,False,False,高波动跟随,高波动跟随
