year,hard_end,soft_end,five_end
2015,35.6,20.8,56.3
2016,44.8,16.4,61.3
2017,41.2,20.0,61.2
2018,39.9,17.9,57.8
2019,36.2,15.1,51.2
2020,32.0,12.5,44.5
2021,26.0,14.7,40.7
2022,25.6,18.1,43.6
2023,26.7,17.6,44.3
2024,31.4,14.5,45.9
2025,36.5,21.8,58.2
2026,26.8,16.1,42.9
