label,symbol,entry_date,exit_date,pnl_pct,vix,days_in_run,day_no_in_run,show_marker
VIX 低位日 <15 (区间D192天),SPY,1995-06-27,1995-07-26,3.5714,12.37,192,123,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-28,1995-07-27,3.8968,11.74,192,124,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-29,1995-07-28,3.4156,11.59,192,125,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-30,1995-07-31,3.2165,11.38,192,126,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-03,1995-08-01,2.6609,11.57,192,127,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-05,1995-08-02,2.0525,12.1,192,128,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-06,1995-08-03,0.7318,11.52,192,129,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-07,1995-08-04,0.3923,11.77,192,130,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-10,1995-08-07,0.5601,12.19,192,131,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-11,1995-08-08,1.0411,12.25,192,132,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-12,1995-08-09,-0.2223,12.31,192,133,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-13,1995-08-10,-0.2228,12.56,192,134,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-14,1995-08-11,-0.697,12.08,192,135,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-17,1995-08-14,-0.3604,12.26,192,136,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-18,1995-08-15,0.3076,12.68,192,137,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-19,1995-08-16,1.6964,13.49,192,138,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-20,1995-08-17,1.1549,12.78,192,139,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-21,1995-08-18,1.3818,12.37,192,140,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-24,1995-08-21,0.3639,12.55,192,141,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-25,1995-08-22,-0.1945,12.77,192,142,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-26,1995-08-23,-0.4727,13.18,192,143,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-27,1995-08-24,-1.1859,13.18,192,144,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-28,1995-08-25,0.0,13.18,192,145,False
VIX 低位日 <15 (区间D192天),SPY,1995-07-31,1995-08-28,-0.1113,13.49,192,146,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-01,1995-08-29,0.3066,13.56,192,147,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-02,1995-08-30,0.7542,13.66,192,148,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-03,1995-08-31,0.8662,13.78,192,149,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-04,1995-09-01,1.2001,13.21,192,150,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-07,1995-09-05,1.9215,13.1,192,151,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-08,1995-09-06,2.1164,13.06,192,152,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-09,1995-09-07,2.2006,12.75,192,153,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-10,1995-09-08,2.8197,13.0,192,154,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-11,1995-09-11,3.6777,12.9,192,155,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-14,1995-09-12,3.2276,13.24,192,156,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-15,1995-09-13,3.903,12.35,192,157,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-16,1995-09-14,4.5594,12.45,192,158,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-17,1995-09-15,4.1493,12.13,192,159,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-18,1995-09-18,3.6439,12.03,192,160,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-21,1995-09-19,4.4351,13.42,192,161,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-22,1995-09-20,4.7327,12.6,192,162,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-23,1995-09-21,4.247,13.17,192,163,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-24,1995-09-22,4.1585,12.94,192,164,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-25,1995-09-25,3.4138,12.33,192,165,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-28,1995-09-26,3.7604,12.48,192,166,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-29,1995-09-27,3.4176,12.65,192,167,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-30,1995-09-28,3.9645,12.03,192,168,False
VIX 低位日 <15 (区间D192天),SPY,1995-08-31,1995-09-29,3.6842,11.52,192,169,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-01,1995-10-02,2.7027,11.29,192,170,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-05,1995-10-03,1.8579,11.65,192,171,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-06,1995-10-04,1.5544,11.65,192,172,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-07,1995-10-05,1.7989,11.85,192,173,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-08,1995-10-06,1.4933,11.16,192,174,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-11,1995-10-09,0.3791,11.51,192,175,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-12,1995-10-10,-0.1348,11.46,192,176,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-13,1995-10-11,-0.2683,11.35,192,177,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-14,1995-10-12,-0.5584,11.1,192,178,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-15,1995-10-13,0.3209,11.58,192,179,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-18,1995-10-16,0.2147,12.34,192,180,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-19,1995-10-17,0.4006,12.67,192,181,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-20,1995-10-18,0.2127,12.35,192,182,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-21,1995-10-19,1.5277,12.5,192,183,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-22,1995-10-20,0.8842,12.46,192,184,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-25,1995-10-23,0.832,13.22,192,185,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-26,1995-10-24,0.9664,12.9,192,186,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-27,1995-10-25,0.2149,12.9,192,187,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-28,1995-10-26,-1.44,12.46,192,188,False
VIX 低位日 <15 (区间D192天),SPY,1995-09-29,1995-10-27,-0.5076,12.74,192,189,False
VIX 低位日 <15 (区间D192天),SPY,1995-10-02,1995-10-30,0.6445,13.95,192,190,False
VIX 低位日 <15 (区间D192天),SPY,1995-10-03,1995-10-31,0.1073,14.5,192,191,False
VIX 低位日 <15 (区间D192天),SPY,1995-10-04,1995-11-01,1.0204,14.86,192,192,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-06,1995-11-03,1.4179,13.98,14,1,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-09,1995-11-06,1.9153,14.85,14,2,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-10,1995-11-07,1.5924,14.97,14,3,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-11,1995-11-08,2.1792,14.57,14,4,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-12,1995-11-09,1.9251,14.24,14,5,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-13,1995-11-10,1.5458,13.67,14,6,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-16,1995-11-13,1.9282,14.62,14,7,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-17,1995-11-14,0.5853,14.03,14,8,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-18,1995-11-15,1.2997,14.05,14,9,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-19,1995-11-16,1.3728,13.55,14,10,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-20,1995-11-17,2.3108,13.46,14,11,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-23,1995-11-20,1.9963,14.17,14,12,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-24,1995-11-21,2.712,13.85,14,13,False
VIX 低位日 <15 (区间D14天),SPY,1995-10-25,1995-11-22,3.244,14.49,14,14,False
VIX 低位日 <15 (区间D49天),SPY,1995-10-27,1995-11-27,3.7057,14.63,49,1,False
VIX 低位日 <15 (区间D49天),SPY,1995-10-30,1995-11-28,4.1355,14.26,49,2,False
VIX 低位日 <15 (区间D49天),SPY,1995-10-31,1995-11-29,4.6892,13.83,49,3,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-01,1995-11-30,3.6151,13.41,49,4,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-02,1995-12-01,3.0903,13.19,49,5,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-03,1995-12-04,4.2205,12.26,49,6,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-06,1995-12-05,5.2673,12.74,49,7,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-07,1995-12-06,5.898,13.05,49,8,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-08,1995-12-07,4.3971,12.16,49,9,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-09,1995-12-08,4.3547,12.46,49,10,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-10,1995-12-11,4.8556,12.97,49,11,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-13,1995-12-12,4.6506,13.2,49,12,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-14,1995-12-13,6.0037,13.38,49,13,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-15,1995-12-14,4.1896,12.95,49,14,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-16,1995-12-15,3.0208,12.57,49,15,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-17,1995-12-18,0.7269,12.49,49,16,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-20,1995-12-19,2.3225,12.37,49,17,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-21,1995-12-20,0.5177,11.74,49,18,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-22,1995-12-21,1.3503,11.81,49,19,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-24,1995-12-22,1.4504,11.87,49,20,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-27,1995-12-26,1.9161,12.43,49,21,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-28,1995-12-27,0.7943,11.57,49,22,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-29,1995-12-28,0.5887,11.65,49,23,False
VIX 低位日 <15 (区间D49天),SPY,1995-11-30,1995-12-29,0.9492,11.58,49,24,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-01,1996-01-02,1.896,11.11,49,25,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-04,1996-01-03,0.9365,10.66,49,26,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-05,1996-01-04,-0.6789,11.65,49,27,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-06,1996-01-05,-1.1039,12.7,49,28,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-07,1996-01-08,-0.2018,12.74,49,29,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-08,1996-01-09,-2.2373,11.12,49,30,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-11,1996-01-10,-3.9299,11.06,49,31,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-12,1996-01-11,-3.063,10.63,49,32,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-13,1996-01-12,-3.8174,10.36,49,33,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-14,1996-01-15,-3.3174,11.07,49,34,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-15,1996-01-16,-1.5672,11.44,49,35,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-18,1996-01-17,0.0515,14.55,49,36,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-19,1996-01-18,-0.6631,13.16,49,37,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-20,1996-01-19,0.9786,12.2,49,38,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-21,1996-01-22,0.4868,10.77,49,39,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-22,1996-01-23,0.3574,11.51,49,40,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-26,1996-01-24,0.686,11.49,49,41,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-27,1996-01-25,0.3813,11.98,49,42,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-28,1996-01-26,1.3486,12.25,49,43,False
VIX 低位日 <15 (区间D49天),SPY,1995-12-29,1996-01-29,1.6264,12.52,49,44,False
VIX 低位日 <15 (区间D49天),SPY,1996-01-02,1996-01-30,1.4081,12.19,49,45,False
VIX 低位日 <15 (区间D49天),SPY,1996-01-03,1996-01-31,2.1815,12.1,49,46,False
VIX 低位日 <15 (区间D49天),SPY,1996-01-04,1996-02-01,3.5443,13.78,49,47,False
VIX 低位日 <15 (区间D49天),SPY,1996-01-05,1996-02-02,3.3232,13.58,49,48,False
VIX 低位日 <15 (区间D49天),SPY,1996-01-08,1996-02-05,3.7655,13.11,49,49,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-11,1996-02-08,9.1427,14.69,24,1,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-12,1996-02-09,9.2866,14.23,24,2,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-15,1996-02-12,10.3457,14.99,24,3,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-16,1996-02-13,8.7827,14.09,24,4,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-17,1996-02-14,8.1659,14.25,24,5,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-18,1996-02-15,7.1374,13.58,24,6,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-19,1996-02-16,5.9934,12.7,24,7,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-22,1996-02-20,4.921,13.34,24,8,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-23,1996-02-21,5.9781,13.56,24,9,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-24,1996-02-22,6.7878,12.54,24,10,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-25,1996-02-23,6.8625,12.94,24,11,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-26,1996-02-26,4.4439,12.0,24,12,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-29,1996-02-27,3.7009,12.19,24,13,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-30,1996-02-28,2.3556,12.42,24,14,False
VIX 低位日 <15 (区间D24天),SPY,1996-01-31,1996-02-29,0.319,12.53,24,15,False
VIX 低位日 <15 (区间D24天),SPY,1996-02-01,1996-03-01,1.5403,12.65,24,16,False
VIX 低位日 <15 (区间D24天),SPY,1996-02-02,1996-03-04,2.5534,13.23,24,17,False
