label,symbol,entry_date,exit_date,pnl_pct,vix,days_in_run,day_no_in_run,show_marker
VIX 低位日 <15 (区间D192天),SPY,1995-01-03,1995-01-31,2.8669,14.25,192,1,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-04,1995-02-01,2.3438,13.53,192,2,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-05,1995-02-02,2.9552,13.5,192,3,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-06,1995-02-03,4.3095,13.13,192,4,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-09,1995-02-06,4.6441,13.33,192,5,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-10,1995-02-07,4.6732,12.52,192,6,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-11,1995-02-08,4.6024,12.15,192,7,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-12,1995-02-09,4.567,12.83,192,8,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-13,1995-02-10,3.4771,11.1,192,9,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-16,1995-02-13,2.8913,11.14,192,10,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-17,1995-02-14,2.99,11.79,192,11,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-18,1995-02-15,3.6581,11.57,192,12,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-19,1995-02-16,4.1137,11.86,192,13,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-20,1995-02-17,4.0953,12.15,192,14,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-23,1995-02-21,3.7483,12.79,192,15,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-24,1995-02-22,4.3783,11.94,192,16,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-25,1995-02-23,4.2667,11.46,192,17,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-26,1995-02-24,4.4289,11.25,192,18,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-27,1995-02-27,3.1841,11.25,192,19,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-30,1995-02-28,4.497,12.26,192,20,False
VIX 低位日 <15 (区间D192天),SPY,1995-01-31,1995-03-01,3.4174,11.96,192,21,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-01,1995-03-02,3.5845,11.73,192,22,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-02,1995-03-03,3.0023,11.13,192,23,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-03,1995-03-06,1.6265,10.98,192,24,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-06,1995-03-07,0.4211,11.22,192,25,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-07,1995-03-08,0.55,11.17,192,26,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-08,1995-03-09,0.5176,11.42,192,27,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-09,1995-03-10,2.0058,11.63,192,28,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-10,1995-03-13,1.7771,11.28,192,29,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-13,1995-03-14,2.4871,11.41,192,30,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-14,1995-03-15,2.1613,11.43,192,31,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-15,1995-03-16,2.2137,11.52,192,32,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-16,1995-03-17,1.8953,11.61,192,33,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-17,1995-03-20,2.2896,11.71,192,34,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-21,1995-03-21,2.0645,12.05,192,35,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-22,1995-03-22,1.4089,11.39,192,36,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-23,1995-03-23,1.3107,11.15,192,37,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-24,1995-03-24,2.4872,10.84,192,38,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-27,1995-03-27,3.7287,12.51,192,39,False
VIX 低位日 <15 (区间D192天),SPY,1995-02-28,1995-03-28,2.869,11.75,192,40,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-01,1995-03-29,3.497,11.65,192,41,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-02,1995-03-30,3.1721,12.02,192,42,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-03,1995-03-31,2.7226,11.45,192,43,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-06,1995-04-03,2.9129,12.17,192,44,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-07,1995-04-04,4.3871,14.22,192,45,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-08,1995-04-05,4.1184,13.72,192,46,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-09,1995-04-06,4.5381,13.36,192,47,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-10,1995-04-07,2.9179,12.38,192,48,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-13,1995-04-10,3.2063,12.15,192,49,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-14,1995-04-11,2.1116,12.1,192,50,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-15,1995-04-12,2.6524,12.42,192,51,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-16,1995-04-13,2.6051,11.95,192,52,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-17,1995-04-17,2.459,11.8,192,53,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-20,1995-04-18,2.1122,11.34,192,54,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-21,1995-04-19,2.2756,11.53,192,55,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-22,1995-04-20,2.3366,11.29,192,56,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-23,1995-04-21,2.7769,11.43,192,57,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-24,1995-04-24,2.5202,11.19,192,58,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-27,1995-04-25,1.8283,11.83,192,59,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-28,1995-04-26,1.9213,11.33,192,60,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-29,1995-04-27,2.2009,12.51,192,61,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-30,1995-04-28,2.5466,12.62,192,62,False
VIX 低位日 <15 (区间D192天),SPY,1995-03-31,1995-05-01,2.6816,13.37,192,63,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-03,1995-05-02,2.6439,13.5,192,64,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-04,1995-05-03,3.3993,12.62,192,65,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-05,1995-05-04,3.3375,12.96,192,66,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-06,1995-05-05,2.8325,12.81,192,67,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-07,1995-05-08,3.6672,12.85,192,68,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-10,1995-05-09,3.3836,12.79,192,69,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-11,1995-05-10,3.858,12.73,192,70,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-12,1995-05-11,3.7835,12.04,192,71,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-13,1995-05-12,3.2732,11.48,192,72,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-17,1995-05-15,4.3692,12.33,192,73,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-18,1995-05-16,4.7854,12.96,192,74,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-19,1995-05-17,4.4808,13.09,192,75,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-20,1995-05-18,2.8078,12.1,192,76,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-21,1995-05-19,2.3641,11.86,192,77,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-24,1995-05-22,2.3065,11.92,192,78,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-25,1995-05-23,3.5301,12.41,192,79,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-26,1995-05-24,3.3749,12.28,192,80,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-27,1995-05-25,3.215,11.93,192,81,False
VIX 低位日 <15 (区间D192天),SPY,1995-04-28,1995-05-26,1.8776,11.75,192,82,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-01,1995-05-30,2.1257,12.14,192,83,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-02,1995-05-31,4.0303,11.88,192,84,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-03,1995-06-01,2.3311,11.69,192,85,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-04,1995-06-02,2.4821,12.64,192,86,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-05,1995-06-05,3.2335,12.06,192,87,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-08,1995-06-06,2.3187,12.22,192,88,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-09,1995-06-07,1.8744,12.75,192,89,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-10,1995-06-08,1.5156,13.08,192,90,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-11,1995-06-09,0.652,12.98,192,91,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-12,1995-06-12,1.1552,11.84,192,92,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-15,1995-06-13,1.7689,12.38,192,93,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-16,1995-06-14,1.6205,12.2,192,94,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-17,1995-06-15,2.4549,12.36,192,95,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-18,1995-06-16,3.6615,13.13,192,96,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-19,1995-06-19,4.769,12.81,192,97,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-22,1995-06-20,3.3521,11.68,192,98,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-23,1995-06-21,2.3516,11.55,192,99,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-24,1995-06-22,3.7647,11.26,192,100,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-25,1995-06-23,3.4675,11.63,192,101,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-26,1995-06-26,3.4185,12.2,192,102,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-30,1995-06-27,3.2412,12.52,192,103,False
VIX 低位日 <15 (区间D192天),SPY,1995-05-31,1995-06-28,1.6604,12.85,192,104,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-01,1995-06-29,1.7523,12.21,192,105,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-02,1995-06-30,1.6049,12.98,192,106,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-05,1995-07-03,1.3631,13.45,192,107,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-06,1995-07-05,1.9175,13.0,192,108,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-07,1995-07-06,3.7675,12.84,192,109,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-08,1995-07-07,4.4789,12.89,192,110,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-09,1995-07-10,5.1531,12.76,192,111,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-12,1995-07-11,4.0703,11.91,192,112,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-13,1995-07-12,4.2294,11.29,192,113,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-14,1995-07-13,4.0881,11.29,192,114,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-15,1995-07-14,3.5508,11.23,192,115,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-16,1995-07-17,4.4296,10.75,192,116,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-19,1995-07-18,2.3762,11.21,192,117,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-20,1995-07-19,1.5212,11.16,192,118,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-21,1995-07-20,1.9529,11.32,192,119,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-22,1995-07-21,0.5102,11.44,192,120,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-23,1995-07-24,1.4485,11.12,192,121,False
VIX 低位日 <15 (区间D192天),SPY,1995-06-26,1995-07-25,3.4493,11.8,192,122,False
