,DJF,JFM,MAM,AMJ,MJJ,JJA,JAS,SON,OND,dmi_SON,dmi_JJA,dmi_DJF,T_gl_DJF,T_gl_JFM,T_gl_MAM,T_gl_AMJ,T_gl_MJJ,T_gl_JJA,T_gl_JAS,T_gl_SON,T_gl_OND,T_nh_DJF,T_nh_JFM,T_nh_MAM,T_nh_AMJ,T_nh_MJJ,T_nh_JJA,T_nh_JAS,T_nh_SON,T_nh_OND,T_sh_DJF,T_sh_JFM,T_sh_MAM,T_sh_AMJ,T_sh_MJJ,T_sh_JJA,T_sh_JAS,T_sh_SON,T_sh_OND,T_nh_land_DJF,T_nh_land_JFM,T_nh_land_MAM,T_nh_land_AMJ,T_nh_land_MJJ,T_nh_land_JJA,T_nh_land_JAS,T_nh_land_SON,T_nh_land_OND,T_gl_land_DJF,T_gl_land_JFM,T_gl_land_MAM,T_gl_land_AMJ,T_gl_land_MJJ,T_gl_land_JJA,T_gl_land_JAS,T_gl_land_SON,T_gl_land_OND
1948,,-0.14,0.18333333333333335,0.12333333333333334,0.12333333333333334,-0.09333333333333334,-0.22999999999999998,-0.8099999999999999,-0.6133333333333333,-0.44,-0.22366666666666668,,-0.16633333333333333,-0.18466666666666667,-0.11966666666666666,-0.027333333333333334,-0.03233333333333333,-0.066,-0.108,-0.12666666666666668,-0.19666666666666666,0.01466666666666668,-0.06866666666666665,-0.027999999999999987,0.109,0.111,0.085,0.050333333333333334,0.04800000000000001,-0.09433333333333332,-0.347,-0.30033333333333334,-0.21166666666666667,-0.16433333333333333,-0.17633333333333334,-0.21766666666666667,-0.2663333333333333,-0.301,-0.299,0.15233333333333335,0.09933333333333332,0.01833333333333333,0.19866666666666666,0.14366666666666664,0.08733333333333333,0.06166666666666667,0.16766666666666666,0.04566666666666667,-0.016333333333333328,-0.059,-0.11666666666666665,0.06366666666666666,0.048666666666666664,-0.008666666666666665,-0.04666666666666667,0.021666666666666667,-0.049999999999999996
1949,-0.06333333333333334,-0.38666666666666666,-0.3466666666666667,-0.4433333333333333,-0.5299999999999999,-0.7066666666666667,-0.65,-1.14,-1.2666666666666668,-0.20333333333333334,-0.002333333333333333,-0.10066666666666667,-0.209,-0.13233333333333333,-0.132,-0.17300000000000001,-0.18433333333333332,-0.17333333333333334,-0.138,-0.14400000000000002,-0.17266666666666666,-0.15266666666666664,-0.02366666666666666,-0.04066666666666666,-0.09966666666666667,-0.154,-0.13433333333333333,-0.10733333333333334,-0.036666666666666674,-0.05266666666666667,-0.26466666666666666,-0.24033333333333332,-0.223,-0.2456666666666667,-0.214,-0.21166666666666667,-0.16833333333333333,-0.25133333333333335,-0.2926666666666667,0.03299999999999998,-0.015666666666666662,-0.10099999999999999,-0.025333333333333336,-0.11833333333333333,-0.11866666666666668,-0.05766666666666667,0.12,-0.01833333333333333,-0.07999999999999999,-0.14233333333333334,-0.22266666666666668,-0.16466666666666666,-0.18099999999999997,-0.162,-0.11599999999999999,-0.006666666666666668,-0.09366666666666666
1950,-1.41,-1.3166666666666667,-1.2233333333333334,-1.21,-1.0599999999999998,-0.9166666666666666,-0.9966666666666667,-1.1566666666666667,-1.0833333333333333,-0.48266666666666674,-0.35366666666666663,-0.30933333333333335,-0.3056666666666667,-0.308,-0.21333333333333335,-0.17533333333333334,-0.131,-0.135,-0.18233333333333335,-0.289,-0.293,-0.30666666666666664,-0.27999999999999997,-0.135,-0.141,-0.136,-0.171,-0.18433333333333335,-0.2026666666666667,-0.18200000000000002,-0.3046666666666667,-0.336,-0.29133333333333333,-0.20966666666666667,-0.12666666666666668,-0.09933333333333334,-0.18033333333333332,-0.37566666666666665,-0.4043333333333334,-0.5186666666666667,-0.4483333333333333,-0.21266666666666667,-0.17200000000000001,-0.16233333333333333,-0.21333333333333335,-0.2113333333333333,-0.2946666666666667,-0.37233333333333335,-0.4526666666666667,-0.4216666666666667,-0.25133333333333335,-0.19399999999999998,-0.16266666666666665,-0.211,-0.23,-0.35666666666666663,-0.425
1951,-0.9233333333333333,-0.6666666666666666,-0.1466666666666667,-0.02,0.10666666666666667,0.25,0.3233333333333333,0.4433333333333333,0.4633333333333334,-0.017000000000000005,-0.09533333333333334,0.14666666666666667,-0.38800000000000007,-0.38999999999999996,-0.12533333333333332,-0.016666666666666663,0.03233333333333333,0.06266666666666666,0.08633333333333333,0.05166666666666666,0.03333333333333333,-0.34400000000000003,-0.38999999999999996,-0.012666666666666668,0.08533333333333333,0.11099999999999999,0.15133333333333335,0.24833333333333332,0.24833333333333338,0.24666666666666667,-0.432,-0.39000000000000007,-0.23866666666666667,-0.11966666666666666,-0.04700000000000001,-0.02666666666666667,-0.07566666666666666,-0.14500000000000002,-0.18033333333333335,-0.6243333333333333,-0.7353333333333333,-0.17933333333333334,-0.0040000000000000036,-0.028,0.04966666666666666,0.20599999999999996,0.19999999999999998,0.31133333333333335,-0.596,-0.6349999999999999,-0.20199999999999999,-0.08566666666666667,-0.07466666666666666,-0.030666666666666672,0.075,0.10133333333333333,0.16533333333333333
1952,0.22,-0.006666666666666654,-0.09000000000000001,-0.25333333333333335,-0.59,-0.6666666666666666,-0.5366666666666666,-0.3466666666666667,-0.41333333333333333,-0.44100000000000006,-0.29133333333333333,-0.02033333333333334,0.07233333333333333,-0.005666666666666671,-0.037333333333333336,0.02366666666666667,0.03866666666666667,0.06433333333333334,0.08933333333333333,-0.020666666666666667,-0.06433333333333334,0.21133333333333335,0.0030000000000000027,0.014666666666666653,0.16166666666666665,0.16,0.136,0.14233333333333334,0.0029999999999999936,-0.043333333333333335,-0.06666666666666667,-0.014,-0.08933333333333333,-0.11433333333333333,-0.08266666666666668,-0.007000000000000002,0.03666666666666667,-0.043666666666666666,-0.085,0.3303333333333333,-0.125,-0.22366666666666665,0.052333333333333336,0.11066666666666668,0.151,0.16533333333333333,-0.20733333333333334,-0.3606666666666667,0.22133333333333335,-0.05266666666666666,-0.17833333333333332,-0.03866666666666666,0.021000000000000005,0.06866666666666667,0.11333333333333334,-0.18833333333333335,-0.304
1953,-0.04999999999999999,0.15,0.24,0.4166666666666667,0.37333333333333335,0.2733333333333334,0.26666666666666666,0.29,0.07333333333333332,-0.22933333333333336,-0.17400000000000002,0.18600000000000003,0.014333333333333332,0.03133333333333333,0.128,0.17166666666666666,0.11099999999999999,0.09066666666666667,0.07266666666666667,0.05466666666666666,0.03266666666666667,0.16733333333333333,0.20433333333333334,0.29233333333333333,0.30633333333333335,0.21566666666666667,0.18600000000000003,0.17,0.145,0.1376666666666667,-0.139,-0.1416666666666667,-0.036666666666666674,0.036333333333333336,0.006000000000000001,-0.004666666666666667,-0.02466666666666667,-0.035333333333333335,-0.07200000000000001,0.12766666666666665,0.30366666666666664,0.24833333333333338,0.26899999999999996,0.24366666666666667,0.274,0.22633333333333336,0.11666666666666668,0.17766666666666664,0.018666666666666665,0.152,0.14133333333333334,0.14466666666666667,0.076,0.11066666666666665,0.08266666666666667,0.05133333333333334,0.09400000000000001
1954,0.06333333333333332,0.026666666666666655,-0.4533333333333333,-0.58,-0.6366666666666667,-0.86,-1.0966666666666667,-0.9466666666666667,-0.8166666666666668,-0.6686666666666666,-0.6636666666666666,-0.24333333333333332,-0.10433333333333333,-0.1723333333333333,-0.15666666666666665,-0.1396666666666667,-0.16700000000000004,-0.144,-0.13833333333333334,-0.003333333333333332,-0.02,-0.06533333333333333,-0.18433333333333332,-0.11699999999999999,-0.04933333333333334,-0.07933333333333333,-0.04033333333333334,-0.012666666666666666,0.164,0.11199999999999999,-0.1436666666666667,-0.16033333333333333,-0.19633333333333333,-0.2303333333333333,-0.2543333333333333,-0.247,-0.26299999999999996,-0.17,-0.15166666666666667,-0.17900000000000002,-0.4623333333333333,-0.3193333333333333,-0.14633333333333334,-0.11966666666666666,-0.028666666666666663,0.0030000000000000027,0.25566666666666665,0.14,-0.16966666666666666,-0.36366666666666664,-0.28133333333333327,-0.19499999999999998,-0.19133333333333336,-0.11366666666666668,-0.08433333333333333,0.10066666666666667,0.022000000000000002
1955,-0.7833333333333332,-0.75,-1.0066666666666666,-0.9899999999999999,-1.1166666666666667,-0.9966666666666667,-1.2066666666666668,-1.7566666666666666,-1.8533333333333333,-0.5790000000000001,-0.4186666666666667,-0.085,-0.08366666666666667,-0.16166666666666668,-0.28933333333333333,-0.21599999999999997,-0.209,-0.15966666666666665,-0.148,-0.19499999999999998,-0.26966666666666667,0.029000000000000015,-0.11933333333333333,-0.302,-0.144,-0.11133333333333333,-0.06033333333333333,-0.059,-0.11166666666666668,-0.19233333333333333,-0.19600000000000004,-0.20366666666666666,-0.27666666666666667,-0.288,-0.30633333333333335,-0.2583333333333333,-0.2363333333333333,-0.2783333333333333,-0.3466666666666667,0.08566666666666667,-0.163,-0.48466666666666663,-0.17266666666666666,-0.06166666666666667,0.015000000000000005,0.034,-0.10366666666666667,-0.27066666666666667,-0.011000000000000001,-0.19800000000000004,-0.4596666666666667,-0.22566666666666668,-0.16966666666666666,-0.09100000000000001,-0.06633333333333334,-0.16,-0.3123333333333333
1956,-1.3166666666666667,-0.9700000000000001,-0.6766666666666666,-0.67,-0.6900000000000001,-0.7866666666666666,-0.8833333333333334,-0.8733333333333334,-0.7433333333333333,-0.6636666666666667,-0.8936666666666667,-0.14100000000000001,-0.29833333333333334,-0.2963333333333333,-0.3356666666666667,-0.29133333333333333,-0.25833333333333336,-0.24333333333333332,-0.25833333333333336,-0.25266666666666665,-0.214,-0.23199999999999998,-0.242,-0.3283333333333333,-0.3,-0.297,-0.27466666666666667,-0.31233333333333335,-0.33666666666666667,-0.2753333333333334,-0.36400000000000005,-0.3503333333333334,-0.343,-0.2826666666666667,-0.21966666666666668,-0.21166666666666667,-0.20399999999999996,-0.16866666666666666,-0.15266666666666667,-0.5243333333333333,-0.5943333333333333,-0.547,-0.39266666666666666,-0.3173333333333333,-0.31933333333333336,-0.37400000000000005,-0.4243333333333334,-0.42500000000000004,-0.5203333333333333,-0.5539999999999999,-0.5146666666666667,-0.4123333333333334,-0.329,-0.32033333333333336,-0.36533333333333334,-0.41966666666666663,-0.4143333333333334
1957,-0.37333333333333335,-0.18666666666666668,0.3,0.3566666666666667,0.35333333333333333,0.44333333333333336,0.49666666666666676,0.5833333333333334,0.7933333333333333,-0.463,-0.40700000000000003,-0.3833333333333333,-0.17866666666666667,-0.19233333333333333,-0.06866666666666667,0.019333333333333334,0.012333333333333335,0.024999999999999998,0.016999999999999998,0.012333333333333335,0.016,-0.18166666666666667,-0.214,-0.15766666666666665,-0.052333333333333336,-0.0049999999999999975,0.06366666666666666,0.07566666666666666,0.027666666666666662,0.04833333333333334,-0.17600000000000002,-0.17066666666666666,0.020666666666666663,0.09100000000000001,0.029333333333333333,-0.013333333333333334,-0.041666666666666664,-0.003333333333333334,-0.016333333333333335,-0.297,-0.37166666666666665,-0.36633333333333334,-0.15066666666666664,-0.09433333333333334,0.009,0.042666666666666665,0.034999999999999996,0.12999999999999998,-0.307,-0.33,-0.254,-0.07933333333333335,-0.08266666666666668,-0.028666666666666674,-0.028666666666666674,0.030666666666666665,0.11233333333333333
