idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
8,2018-11-02,271.89,10,2018-11-06,2,True,True,False,2.16,0.68,2.73,,,,,,
25,2018-11-28,274.58,25,2018-11-28,0,True,True,False,-1.73,-3.35,-9.77,273.568,2018-12-04,hit,-2.96,-8.15,-7.74
49,2019-01-04,252.39,50,2019-01-07,1,True,True,True,2.61,5.57,7.75,256.793,2019-01-10,hit,2.4,3.5,5.33
207,2019-08-21,292.45,207,2019-08-21,0,False,False,False,-1.22,1.84,2.95,,,,,,
213,2019-08-29,292.58,213,2019-08-29,0,True,True,True,1.87,2.91,0.96,292.299,2019-10-02,hit,-0.35,2.09,4.05
488,2020-10-01,337.04,490,2020-10-05,2,True,True,True,2.0,3.1,-2.09,336.776,2020-10-26,hit,-1.95,5.28,6.14
854,2022-03-16,435.62,854,2022-03-16,0,True,True,True,1.88,5.3,1.77,436.96,2022-04-12,hit,1.77,-4.51,-10.12
902,2022-05-24,393.89,904,2022-05-26,2,True,True,True,3.99,4.4,-4.02,407.353,2022-06-01,hit,0.95,-6.91,-7.39
1000,2022-10-13,365.97,1003,2022-10-18,3,False,False,False,-0.15,3.83,7.85,,,,,,
1108,2023-03-21,398.91,1108,2023-03-21,0,False,False,False,-0.83,2.45,3.82,,,,,,
1219,2023-08-29,449.16,1219,2023-08-29,0,True,True,True,-0.65,-0.59,-5.15,445.763,2023-09-06,hit,0.17,-1.6,-4.73
1247,2023-10-09,432.29,1248,2023-10-10,1,True,True,True,0.87,-2.74,0.79,432.631,2023-10-13,hit,-2.64,-5.07,1.84
1265,2023-11-02,430.76,1265,2023-11-02,0,True,True,True,0.72,4.52,6.58,429.622,,miss,,,
1390,2024-05-03,511.29,1390,2024-05-03,0,True,True,True,1.87,3.55,3.23,509.816,,miss,,,
1610,2025-03-21,563.98,1611,2025-03-24,1,False,False,False,-1.48,-10.41,-8.88,,,,,,
1631,2025-04-22,527.25,1633,2025-04-24,2,True,True,True,5.13,5.98,12.44,544.443,2025-04-30,hit,3.07,7.92,8.38
1869,2026-04-02,655.83,1870,2026-04-06,1,True,True,True,3.6,8.28,9.88,661.51,,miss,,,
