year,hard_end,soft_end,five_end
2015,46.4,13.7,60.1
2016,60.8,19.2,80.1
2017,56.8,18.8,75.6
2018,58.8,16.5,75.3
2019,53.5,15.7,69.2
2020,33.6,14.2,47.8
2021,37.8,16.1,53.9
2022,36.2,17.4,53.6
2023,46.8,14.6,61.4
2024,41.0,17.8,58.8
2025,51.3,19.3,70.5
2026,44.0,15.2,59.1
