t,ticker,src,K,date,dir,in_choppy,in_choppy_a,fwd5,spy_fwd5,fwd10,spy_fwd10,fwd20,spy_fwd20,fwd60,spy_fwd60,ex5,ex10,ex20,ex60,fake10,mae20,surv20,nodes
116,MSFT,bluechip,5.0,1995-06-19,up,False,False,-0.06954626502480021,-0.4007960402590771,1.2526794449677858,0.05721726317338138,13.430811927278906,2.3761975227988064,7.0286020647942316,6.699140036021034,0.3312497752342769,1.1954621817944044,11.0546144044801,0.3294620287731975,False,-3.2706407003019855,True,sep_oct
136,MSFT,bluechip,5.0,1995-07-18,up,False,False,-5.398808966782354,0.6431351447504063,-12.147281620314477,0.33555740969921644,-3.435634306894042,0.3075660476348663,-14.969293915825975,4.497761918213561,-6.04194411153276,-12.482839030013693,-3.7432003545289083,-19.467055834039535,False,-12.638027477153724,False,sep_oct
185,MSFT,bluechip,5.0,1995-09-26,dn,False,False,0.7082386985527434,0.08049958176599148,-5.099183326826928,-0.5369689279203449,10.4815624363098,0.9663855933314647,-1.274758445419799,4.885932885022193,0.6277391167867519,-4.562214398906583,9.515176842978335,-6.160691330441992,False,-9.487159852895989,False,sep_oct
208,MSFT,bluechip,5.0,1995-10-27,up,False,False,-0.4999976433287978,1.799084583432542,-3.1250214064299398,2.309316402558692,-12.750012176134451,3.70561635671085,-8.750005891677958,7.075729560837374,-2.2990822267613398,-5.434337808988632,-16.455628532845303,-15.825735452515332,False,-13.999996857771746,False,sep_oct
222,MSFT,bluechip,5.0,1995-11-16,dn,False,False,-2.0863058479929197,0.5468490088524014,-4.033448188794142,1.6406552877642477,-1.6689971298138317,3.6577780967874896,10.848376457215391,10.994412747367388,-2.633154856845321,-5.67410347655839,-5.326775226601321,-0.14603629015199715,False,-4.894148147305799,True,sep_oct
237,MSFT,bluechip,5.0,1995-12-08,up,False,False,-6.481462085012268,0.06180457443727416,-4.232803916127192,-0.9246858903208088,-15.145492472252474,-1.6329094623597662,2.6454966286387105,5.702271459193042,-6.543266659449542,-3.3081180258063836,-13.512583009892708,-3.056774830554332,False,-15.145492472252474,False,sep_oct
257,MSFT,bluechip,5.0,1996-01-09,dn,False,False,7.716264808978424,0.12854019390988736,11.613336344908308,1.0799543591476057,20.342912012218516,6.582630553448476,30.31959790771821,8.37324783110336,7.587724615068536,10.533381985760702,13.76028145877004,21.946350076614852,False,-17.4388401787277,False,sep_oct
276,MSFT,bluechip,5.0,1996-02-05,up,False,False,2.445318750588399,3.38529740958462,0.643547843889225,0.21920284987855254,1.029628668642979,2.6790363728408595,18.53280486735671,2.5968755543842814,-0.9399786589962211,0.4243449940106725,-1.6494077041978805,15.935929312972428,False,-1.6730341618895639,True,sep_oct
561,MSFT,bluechip,5.0,1997-03-21,dn,True,False,-2.4600703056786077,-3.9043558815622936,1.9946796064058692,-2.928305094991701,14.494669578018836,-3.0278804587589025,42.75264515421655,14.26297510318475,1.444285575883686,4.922984701397571,17.522550036777737,28.4896700510318,False,-12.659689426101972,False,sep_oct
663,MSFT,bluechip,5.0,1997-08-15,dn,True,False,3.2925884386002524,3.0978071945554353,-0.517342837437984,0.6613528140549718,-1.6462611120827808,3.0282201965715405,-2.0225388260161847,3.2664054303462864,0.19478124404481711,-1.1786956514929559,-4.674481308654322,-5.288944256362472,False,-5.469141346427087,False,sep_oct
683,MSFT,bluechip,5.0,1997-09-15,dn,True,False,2.008622119848913,3.6897574766583174,2.9173060323582023,3.486304016628816,4.638960152149396,5.215607500705666,10.425638423974593,6.402329947150176,-1.6811353568094045,-0.5689979842706139,-0.5766473485562695,4.023308476824417,False,-5.980243117119111,False,sep_oct
713,MSFT,bluechip,5.0,1997-10-27,dn,True,False,4.073694076249312,7.813629008913603,1.018445462853057,5.949851628916614,5.140649945823217,8.960589915647077,7.274503168195734,10.473664177558085,-3.7399349326642906,-4.931406166063557,-3.81993996982386,-3.199161009362351,False,-6.527675537454902,False,sep_oct
752,MSFT,bluechip,5.0,1997-12-22,dn,True,False,2.5590605340660266,1.8181837190776706,2.017726325065383,1.1302364401390985,9.153544027915284,0.7206777354287874,28.83860069788153,15.51524919743732,0.740876814988356,0.8874898849262847,8.432866292486498,13.323351500444211,False,-8.38593387822051,False,sep_oct
