date,spy,choppy_day,choppy_a
1993-01-29,24.113262176513672,False,False
1993-02-01,24.28475570678711,False,False
1993-02-02,24.33621025085449,False,False
1993-02-03,24.593486785888672,False,False
1993-02-04,24.69638061523437,False,False
1993-02-05,24.679218292236328,False,False
1993-02-08,24.679218292236328,False,False
1993-02-09,24.507715225219727,False,False
1993-02-10,24.54201889038086,False,False
1993-02-11,24.662080764770508,False,False
1993-02-12,24.47342300415039,False,False
1993-02-16,23.85601234436035,False,False
1993-02-17,23.83885955810547,False,False
1993-02-18,23.821704864501957,False,False
1993-02-19,23.90746116638184,False,False
1993-02-22,23.993207931518555,False,False
1993-02-23,23.976055145263672,False,False
1993-02-24,24.28475570678711,False,False
1993-02-25,24.33621025085449,False,False
1993-02-26,24.37051010131836,False,False
1993-03-01,24.301921844482425,False,False
1993-03-02,24.662080764770508,False,False
1993-03-03,24.764970779418945,False,False
1993-03-04,24.627761840820312,False,False
1993-03-05,24.559162139892575,False,False
1993-03-08,25.107986450195312,False,False
1993-03-09,25.02222442626953,False,False
1993-03-10,25.07367706298828,False,False
1993-03-11,25.005056381225582,False,False
1993-03-12,24.747838973999023,False,False
1993-03-15,24.867870330810547,False,False
1993-03-16,24.867870330810547,False,False
1993-03-17,24.713510513305664,False,False
1993-03-18,24.867870330810547,False,False
1993-03-19,24.830230712890625,False,False
1993-03-22,24.692380905151367,True,False
1993-03-23,24.744081497192383,True,False
1993-03-24,24.744081497192383,True,False
1993-03-25,24.89916229248047,True,False
1993-03-26,24.76129531860352,True,False
1993-03-29,24.864715576171875,True,False
1993-03-30,24.933624267578125,True,False
1993-03-31,24.91639518737793,True,False
1993-04-01,24.830230712890625,True,False
1993-04-02,24.313308715820312,True,False
1993-04-05,24.433914184570312,True,False
1993-04-06,24.364999771118164,True,False
1993-04-07,24.45113754272461,True,False
1993-04-08,24.41670036315918,True,False
1993-04-12,24.76129531860352,True,False
1993-04-13,24.8129997253418,True,False
1993-04-14,24.778562545776367,True,False
1993-04-15,24.778562545776367,True,False
1993-04-16,24.778562545776367,True,False
1993-04-19,24.675153732299805,True,False
1993-04-20,24.55453109741211,True,False
1993-04-21,24.537302017211918,True,False
1993-04-22,24.22714614868164,True,False
1993-04-23,24.123764038085938,True,False
1993-04-26,23.93420791625977,True,False
1993-04-27,24.192684173583984,True,False
1993-04-28,24.140987396240234,True,False
