year,hard_end,soft_end,five_end,hard_prod,soft_prod,five_prod,five_exp,five_cons
2000,39011.0,18468.0,57479.0,109285.0,134389.0,243674.0,77869.0,177445.0
2001,35741.0,19510.0,55251.0,97930.0,127403.0,225333.0,71879.0,174484.0
2002,22284.0,19745.0,42029.0,69798.0,136447.0,206245.0,59952.0,179862.0
2003,26268.0,12877.0,39145.0,112986.0,117269.0,230255.0,76643.0,171279.0
2004,29293.0,29988.0,59281.0,105399.0,153571.0,258970.0,73274.0,180123.0
2005,34608.0,25976.0,60584.0,108164.0,137729.0,245893.0,75791.0,184747.0
2006,23432.0,16641.0,40073.0,85304.0,127904.0,213208.0,66837.0,183806.0
2007,16425.0,14224.0,30649.0,89480.0,124658.0,214138.0,71124.0,169533.0
2008,27621.0,21985.0,49606.0,118402.0,157802.0,276204.0,87091.0,188231.0
2009,39362.0,19692.0,59054.0,108901.0,144746.0,253647.0,81255.0,179239.0
2010,39031.0,15327.0,54358.0,109578.0,142567.0,252145.0,95943.0,175385.0
2011,33194.0,17311.0,50505.0,109437.0,143982.0,253419.0,89383.0,186256.0
2012,29313.0,14753.0,44066.0,111400.0,138329.0,249729.0,89514.0,183267.0
2013,31018.0,16093.0,47111.0,120997.0,150113.0,271110.0,106010.0,178364.0
2014,32243.0,17833.0,50076.0,108332.0,162912.0,271244.0,101430.0,183023.0
2015,35588.0,20757.0,56345.0,106039.0,166020.0,272059.0,95197.0,188005.0
2016,44819.0,16437.0,61256.0,126791.0,137716.0,264507.0,100442.0,173887.0
2017,41196.0,20038.0,61234.0,98698.0,140945.0,239643.0,85632.0,172051.0
2018,39881.0,17885.0,57766.0,101261.0,128552.0,229813.0,84220.0,166488.0
2019,36179.0,15056.0,51235.0,99731.0,143954.0,243685.0,99861.0,167341.0
2020,31972.0,12549.0,44521.0,116883.0,132919.0,249802.0,107911.0,163860.0
2021,25978.0,14733.0,40711.0,103463.0,146158.0,249621.0,99302.0,168531.0
2022,25572.0,18065.0,43637.0,120322.0,145046.0,265368.0,115927.0,167479.0
2023,26659.0,17610.0,44269.0,108469.0,143472.0,251941.0,105303.0,169918.0
2024,31429.0,14456.0,45885.0,123900.0,128944.0,252844.0,105376.0,168670.0
2025,36458.0,21785.0,58243.0,129950.0,152979.0,282929.0,112146.0,176283.0
2026,26808.0,16135.0,42943.0,104656.0,140300.0,244956.0,104492.0,174459.0
