label,group_name,event_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,base_vol,v5,v10,v15,v20,v30,v45,v60,v90,s1_30,s31_60,s61_90
2017 奇数年对照,奇数年(无选举),2017-11-07,2017-10-24,2017-11-07,224.09,225.93,-16.38,0.428,-7.5,-16.4,-28.3,-32.2,-37.9,-27.3,-6.4,-8.3,-42.8,2.4,-17.2
2019 奇数年对照,奇数年(无选举),2019-11-05,2019-10-22,2019-11-05,271.22,278.49,-24.83,0.591,-35.7,-24.8,1.4,23.3,16.5,17.3,52.0,37.3,11.3,52.5,29.9
2021 奇数年对照,奇数年(无选举),2021-11-02,2021-10-19,2021-11-02,422.53,433.09,-32.03,0.814,-42.9,-32.0,-19.4,-5.3,2.8,-11.3,-18.1,-18.2,-13.0,-34.5,-31.5
2023 奇数年对照,奇数年(无选举),2023-11-07,2023-10-24,2023-11-07,409.56,422.42,3.04,0.939,13.4,3.0,-3.9,-8.2,-10.1,-15.8,-17.3,-24.0,-1.9,-18.7,-36.6
2025 奇数年对照,奇数年(无选举),2025-11-04,2025-10-21,2025-11-04,665.77,669.69,-54.36,1.782,-62.9,-54.4,-48.8,-52.9,-60.6,-64.1,-63.6,-65.8,-64.2,-76.1,-72.8
2000 大选年对照,总统大选年,2000-11-07,2000-10-24,2000-11-07,88.12,90.74,-0.74,1.714,-18.8,-0.7,5.8,-1.1,-11.4,-23.7,-33.8,-36.1,-14.6,-49.7,-44.4
2004 大选年对照,总统大选年,2004-11-02,2004-10-19,2004-11-02,74.15,76.03,-3.3,0.777,9.0,-3.3,-2.6,-2.4,-7.0,-14.8,-10.0,-10.9,-8.1,-28.8,-11.3
2008 大选年对照,总统大选年,2008-11-04,2008-10-21,2008-11-04,69.36,72.65,372.85,1.269,335.1,372.8,388.4,346.7,285.7,208.7,156.1,105.4,292.1,50.4,3.4
2012 大选年对照,总统大选年,2012-11-06,2012-10-19,2012-11-06,113.07,112.73,14.63,0.728,12.8,14.6,4.3,-1.4,-8.1,-7.7,-13.6,5.0,-9.1,-24.5,26.9
2016 大选年对照,总统大选年,2016-11-08,2016-10-25,2016-11-08,183.35,183.3,-46.87,0.724,-40.8,-46.9,-39.7,-34.4,-25.9,-9.9,-21.4,-16.6,-9.7,2.3,-36.9
2020 大选年对照,总统大选年,2020-11-03,2020-10-20,2020-11-03,317.49,310.69,-68.09,3.344,-63.0,-68.1,-67.0,-66.2,-64.8,-62.4,-67.6,-68.2,-66.3,-68.9,-76.2
2024 大选年对照,总统大选年,2024-11-05,2024-10-22,2024-11-05,571.58,565.09,-25.7,0.742,-21.7,-25.7,-21.2,-18.1,-19.6,-4.7,7.1,9.4,-13.8,19.2,56.6
