label,group_name,event_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,base_vol,v5,v10,v15,v20,v30,v45,v60,v90,s1_30,s31_60,s61_90
2002 中期选举,中期选举,2002-11-05,2002-10-22,2002-11-05,58.03,59.54,69.16,1.118,31.1,69.2,96.8,110.8,102.6,81.2,80.4,92.7,89.3,32.2,115.3
2006 中期选举,中期选举,2006-11-07,2006-10-24,2006-11-07,95.89,96.4,-36.01,0.549,-26.9,-36.0,-36.6,-32.6,-26.1,-23.3,-21.6,-0.4,-28.7,-23.9,15.1
2010 中期选举,中期选举,2010-11-02,2010-10-19,2010-11-02,88.36,90.44,-22.4,0.796,-24.6,-22.4,-17.6,-9.4,-5.0,11.7,16.7,31.7,-34.8,5.9,20.2
2014 中期选举,中期选举,2014-11-04,2014-10-21,2014-11-04,159.42,165.17,56.67,0.639,30.2,56.7,69.4,72.0,54.2,20.7,11.2,2.6,63.0,-39.4,-1.0
2018 中期选举,中期选举,2018-11-06,2018-10-23,2018-11-06,243.34,244.69,43.57,1.065,41.1,43.6,44.6,32.3,0.0,-21.9,-30.4,-36.9,17.1,-60.4,-54.5
2022 中期选举,中期选举,2022-11-08,2022-10-25,2022-11-08,366.37,363.59,0.48,1.542,-0.7,0.5,5.6,11.7,8.8,7.0,-0.7,-7.4,5.5,-16.0,-30.6
2001 奇数年对照,奇数年(无选举),2001-11-06,2001-10-23,2001-11-06,69.6,71.83,-18.21,1.679,-11.4,-18.2,-21.5,-25.1,-11.6,-9.7,-18.6,-24.1,-27.9,-3.7,-38.3
2003 奇数年对照,奇数年(无选举),2003-11-04,2003-10-21,2003-11-04,69.1,69.69,-50.09,1.362,-46.1,-50.1,-55.4,-50.0,-41.0,-43.4,-44.9,-38.5,-40.9,-48.8,-25.1
2005 奇数年对照,奇数年(无选举),2005-11-08,2005-10-25,2005-11-08,81.77,83.49,31.8,0.78,15.6,31.8,28.9,18.5,4.3,-3.4,-8.2,-15.5,7.9,-21.5,-33.8
2007 奇数年对照,奇数年(无选举),2007-11-06,2007-10-23,2007-11-06,107.52,107.74,45.35,0.74,50.9,45.4,34.2,22.7,17.4,28.7,43.7,43.3,9.1,35.0,51.2
2009 奇数年对照,奇数年(无选举),2009-11-03,2009-10-20,2009-11-03,81.07,77.68,-55.62,2.345,-48.0,-55.6,-57.3,-54.5,-57.0,-58.4,-56.9,-54.2,-48.3,-58.0,-51.5
2011 奇数年对照,奇数年(无选举),2011-11-08,2011-10-25,2011-11-08,95.0,98.73,144.27,0.77,167.4,144.3,129.2,133.9,144.4,140.1,171.7,141.2,130.0,144.8,185.5
2013 奇数年对照,奇数年(无选举),2013-11-05,2013-10-22,2013-11-05,141.35,142.04,-21.95,0.723,-39.5,-22.0,-0.5,5.3,-3.9,-10.0,-11.3,-14.8,-6.2,-13.3,-36.9
2015 奇数年对照,奇数年(无选举),2015-11-03,2015-10-20,2015-11-03,170.22,176.83,18.93,0.668,20.6,18.9,20.4,34.9,44.8,92.0,87.7,63.2,41.7,149.2,10.8
