label,group_name,event_date,entry_date,exit_date,base_vix,pnl_pct,win10_mean_vix,win10_max_vix,win20_max_vix,v5,v10,v15,v20,v30,v45,v60,v90,s1_30,s31_60,s61_90
2002 中期选举,中期选举,2002-11-05,2002-10-22,2002-11-05,20.03,65.35,31.71,35.61,43.44,60.4,65.3,72.3,76.8,80.6,79.0,75.4,71.9,80.6,70.1,65.0
2006 中期选举,中期选举,2006-11-07,2006-10-24,2006-11-07,11.98,-7.54,11.04,11.76,12.03,-7.6,-7.5,-6.6,-5.2,-3.3,-0.8,2.1,10.7,-3.3,7.6,27.7
2010 中期选举,中期选举,2010-11-02,2010-10-19,2010-11-02,19.39,3.72,20.32,22.54,23.08,4.5,3.7,5.6,8.7,11.6,16.7,19.4,25.9,11.6,27.3,38.8
2014 中期选举,中期选举,2014-11-04,2014-10-21,2014-11-04,14.24,30.89,15.55,18.43,31.06,18.0,30.9,33.3,28.4,18.4,7.9,4.7,-1.6,18.4,-9.1,-14.2
2018 中期选举,中期选举,2018-11-06,2018-10-23,2018-11-06,17.74,17.19,22.24,27.86,28.84,20.7,17.2,12.8,5.7,-7.1,-14.2,-18.4,-21.1,-7.1,-29.7,-26.5
2022 中期选举,中期选举,2022-11-08,2022-10-25,2022-11-08,26.98,6.25,26.06,30.0,34.53,1.4,6.2,10.3,11.9,11.9,6.5,0.2,-2.2,11.9,-11.5,-7.0
2001 奇数年对照,奇数年(无选举),2001-11-06,2001-10-23,2001-11-06,27.23,19.78,31.3,34.77,36.95,17.6,19.8,21.5,21.5,25.7,17.1,7.7,-1.4,25.7,-10.3,-19.4
2003 奇数年对照,奇数年(无选举),2003-11-04,2003-10-21,2003-11-04,26.69,-37.23,16.99,18.68,20.14,-37.9,-37.2,-35.8,-33.4,-31.5,-31.7,-31.4,-30.8,-31.5,-31.4,-29.6
2005 奇数年对照,奇数年(无选举),2005-11-08,2005-10-25,2005-11-08,13.85,9.3,14.23,16.3,17.19,7.7,9.3,10.4,9.4,4.6,0.9,-0.2,-5.6,4.6,-5.0,-16.3
2007 奇数年对照,奇数年(无选举),2007-11-06,2007-10-23,2007-11-06,13.8,50.38,21.19,25.46,25.46,53.2,50.4,45.3,41.6,42.0,54.1,63.2,52.3,42.0,84.4,30.6
2009 奇数年对照,奇数年(无选举),2009-11-03,2009-10-20,2009-11-03,41.05,-45.59,24.84,31.84,31.84,-44.2,-45.6,-44.4,-42.9,-42.5,-41.5,-40.9,-39.5,-42.5,-39.3,-36.6
2011 奇数年对照,奇数年(无选举),2011-11-08,2011-10-25,2011-11-08,18.4,66.42,30.01,37.53,37.53,64.1,66.4,69.8,76.8,88.1,88.6,91.4,66.0,88.1,94.7,15.3
