label,group_name,event_date,entry_date,exit_date,base_vix,pnl_pct,win10_mean_vix,win10_max_vix,win20_max_vix,v5,v10,v15,v20,v30,v45,v60,v90,s1_30,s31_60,s61_90
2013 奇数年对照,奇数年(无选举),2013-11-05,2013-10-22,2013-11-05,13.68,2.07,13.34,14.35,21.34,-2.4,2.1,9.6,13.7,11.4,11.6,9.2,8.3,11.4,7.0,6.5
2015 奇数年对照,奇数年(无选举),2015-11-03,2015-10-20,2015-11-03,14.14,9.84,15.02,16.7,20.32,6.3,9.8,15.5,24.9,36.7,53.2,43.2,29.2,36.7,49.8,1.1
2017 奇数年对照,奇数年(无选举),2017-11-07,2017-10-24,2017-11-07,12.05,-13.4,10.28,13.2,13.2,-13.1,-13.4,-14.7,-15.9,-16.8,-14.2,-9.7,-11.0,-16.8,-2.6,-13.7
2019 奇数年对照,奇数年(无选举),2019-11-05,2019-10-22,2019-11-05,14.4,-2.57,13.18,15.12,20.38,-5.4,-2.6,3.4,9.4,10.4,12.4,17.5,11.7,10.4,24.5,0.3
2021 奇数年对照,奇数年(无选举),2021-11-02,2021-10-19,2021-11-02,20.33,-18.2,15.9,18.06,24.4,-21.7,-18.2,-12.7,-8.5,-4.8,-7.4,-9.1,-11.0,-4.8,-13.3,-14.9
2023 奇数年对照,奇数年(无选举),2023-11-07,2023-10-24,2023-11-07,19.6,-1.82,18.13,22.07,23.08,-2.6,-1.8,-4.1,-5.5,-8.2,-14.8,-15.7,-20.0,-8.2,-23.2,-28.5
2025 奇数年对照,奇数年(无选举),2025-11-04,2025-10-21,2025-11-04,24.88,-23.46,17.08,21.01,28.99,-27.3,-23.5,-23.3,-25.4,-28.5,-31.3,-32.5,-32.1,-28.5,-36.5,-31.3
2000 大选年对照,总统大选年,2000-11-07,2000-10-24,2000-11-07,25.31,2.8,25.15,30.08,30.8,0.6,2.8,3.3,0.6,-5.4,-12.4,-16.5,-17.8,-5.4,-27.6,-20.5
2004 大选年对照,总统大选年,2004-11-02,2004-10-19,2004-11-02,16.64,-7.32,15.64,16.87,16.87,-6.2,-7.3,-9.1,-10.9,-12.1,-11.8,-7.8,-7.4,-12.1,-3.4,-6.7
2008 大选年对照,总统大选年,2008-11-04,2008-10-21,2008-11-04,23.23,174.44,66.31,89.53,89.53,181.8,174.4,164.9,148.8,115.3,76.9,54.5,36.4,115.3,-6.4,0.3
2012 大选年对照,总统大选年,2012-11-06,2012-10-19,2012-11-06,17.4,-3.99,17.81,19.65,19.65,-0.7,-4.0,-6.3,-7.5,-9.9,-9.0,-9.8,-5.6,-9.9,-9.8,2.9
2016 大选年对照,总统大选年,2016-11-08,2016-10-25,2016-11-08,15.41,-2.86,17.75,23.01,23.01,2.4,-2.9,-3.9,-5.8,-8.7,-9.0,-12.5,-12.5,-8.7,-16.3,-12.6
2020 大选年对照,总统大选年,2020-11-03,2020-10-20,2020-11-03,44.06,-31.37,33.25,41.16,41.16,-26.8,-31.4,-33.3,-34.1,-35.0,-35.8,-38.6,-37.1,-35.0,-42.2,-34.0
2024 大选年对照,总统大选年,2024-11-05,2024-10-22,2024-11-05,14.66,32.32,20.34,23.42,23.42,33.3,32.3,34.3,34.0,27.4,26.0,26.8,18.9,27.4,26.1,3.1
