idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold4,hold5,ret5,ret10,ret20,buy_px,buy_date,buy_status,buy_ret5,buy_ret10,buy_ret20
136,2017-04-19,42.04,137,2017-04-20,1,True,True,True,5.54,3.43,-2.55,42.755,2017-05-09,hit,1.46,-0.78,1.23
163,2017-05-26,42.84,166,2017-06-01,3,True,True,True,0.12,4.69,2.71,43.084,2017-06-06,hit,4.8,5.61,7.14
166,2017-06-01,42.61,166,2017-06-01,0,True,True,True,3.5,4.88,5.02,42.749,2017-06-06,hit,5.62,6.44,7.98
387,2018-04-18,53.26,388,2018-04-19,1,False,False,False,-2.29,-2.93,3.21,,,,,,
401,2018-05-08,53.38,401,2018-05-08,0,True,True,True,2.75,2.81,-2.75,53.834,2018-05-23,hit,-6.86,-3.15,-7.51
478,2018-08-27,49.89,478,2018-08-27,0,True,True,False,-2.37,-4.07,-3.23,49.005,2018-08-31,hit,-2.17,-2.7,-4.85
494,2018-09-19,49.1,494,2018-09-19,0,True,False,False,-2.85,-4.05,-3.89,48.836,2018-09-24,hit,-4.52,-3.72,-7.63
515,2018-10-18,46.03,516,2018-10-19,1,False,False,False,-3.22,-0.3,-3.76,,,,,,
524,2018-10-31,45.66,524,2018-10-31,0,True,True,True,2.08,-3.96,-2.52,46.632,2018-11-05,hit,-5.37,-4.76,-7.53
543,2018-11-28,45.31,543,2018-11-28,0,False,False,False,-5.96,-10.4,-13.11,,,,,,
563,2018-12-28,39.37,565,2019-01-02,2,True,True,True,5.94,7.9,7.92,40.758,2019-02-08,hit,3.02,3.51,2.68
598,2019-02-20,42.42,601,2019-02-25,3,True,True,True,0.33,-1.89,1.44,42.402,2019-02-28,hit,-2.91,0.68,-1.11
673,2019-06-07,42.7,674,2019-06-10,1,False,False,False,0.28,2.06,1.85,,,,,,
729,2019-08-27,39.79,731,2019-08-29,2,True,True,True,4.37,10.43,8.17,41.115,2019-10-02,hit,-1.64,4.07,12.51
1009,2020-10-06,47.74,1011,2020-10-08,2,True,True,True,5.66,7.81,7.21,49.047,2020-10-27,hit,4.35,13.67,29.67
1303,2021-12-06,99.27,1303,2021-12-06,0,True,True,False,-2.12,-3.93,5.03,100.782,2021-12-09,hit,-0.48,-1.43,3.24
1316,2021-12-23,99.34,1316,2021-12-23,0,True,False,False,-1.19,4.74,-1.27,100.376,2021-12-29,hit,1.3,2.66,0.77
1372,2022-03-16,91.76,1372,2022-03-16,0,True,True,True,0.68,-1.62,-8.32,90.582,2022-03-28,hit,-3.65,-7.24,-9.07
1394,2022-04-18,86.48,1395,2022-04-19,1,True,False,False,-1.65,-5.23,-7.61,88.038,2022-04-22,hit,-8.46,-4.33,-9.85
1406,2022-05-04,87.22,1406,2022-05-04,0,False,False,False,-9.55,-7.49,-2.32,,,,,,
1415,2022-05-17,82.93,1415,2022-05-17,0,False,False,False,-1.17,2.5,-8.33,,,,,,
1419,2022-05-23,82.31,1419,2022-05-23,0,True,True,True,4.65,3.67,-9.61,82.657,2022-06-09,hit,-10.53,-5.85,-8.27
1443,2022-06-28,78.16,1443,2022-06-28,0,False,False,False,-3.47,-4.07,5.57,,,,,,
1524,2022-10-21,79.22,1526,2022-10-25,2,True,True,True,3.79,7.11,12.6,80.353,2022-10-28,hit,5.6,12.98,11.87
1673,2023-05-26,83.9,1673,2023-05-26,0,False,False,False,-0.19,4.22,0.63,,,,,,
1783,2023-11-02,73.46,1784,2023-11-03,1,True,True,True,0.99,8.44,10.11,75.658,2023-11-08,hit,5.32,3.74,6.2
1858,2024-02-22,85.85,1859,2024-02-23,1,False,False,False,0.22,0.34,8.79,,,,,,
2077,2025-01-06,128.64,2077,2025-01-06,0,True,False,False,-3.12,5.72,8.0,127.475,2025-01-10,hit,8.15,7.2,7.72
2083,2025-01-15,130.55,2083,2025-01-15,0,True,True,True,5.55,7.19,4.82,129.165,2025-02-24,hit,-0.03,-13.53,-3.79
2127,2025-03-20,120.47,2129,2025-03-24,2,False,False,False,-1.22,-10.41,-9.37,,,,,,
2378,2026-03-20,161.47,2379,2026-03-23,1,True,False,False,-1.91,3.15,18.1,163.519,2026-03-26,hit,1.4,8.64,15.01
2474,2026-08-07,216.33,2474,2026-08-07,0,True,True,True,0.48,,,217.495,2026-08-12,hit,,,
