idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold3_below,hold4,hold4_below,hold5,hold5_below,ret5,ret10,ret20
774,2013-01-28,3.5,774,2013-01-28,0,True,[],True,[],True,[],4.5,6.64,4.86
833,2013-04-23,3.68,833,2013-04-23,0,True,[],True,[],True,[],2.31,6.52,7.07
1034,2014-02-07,5.462,1034,2014-02-07,0,True,[],True,['2014-02-12'],True,['2014-02-12'],-0.5,1.92,2.97
1071,2014-04-02,5.695,1071,2014-04-02,0,False,['2014-04-04'],False,"['2014-04-04', '2014-04-07']",False,"['2014-04-04', '2014-04-07']",-1.14,5.71,4.57
1110,2014-05-29,5.752,1110,2014-05-29,0,True,[],True,[],True,[],0.35,-0.13,1.22
1153,2014-07-30,5.825,1153,2014-07-30,0,True,[],True,[],True,[],1.42,-0.04,1.37
1211,2014-10-21,6.318,1211,2014-10-21,0,True,[],True,[],True,[],2.18,4.23,8.23
1435,2015-09-11,9.59,1437,2015-09-15,2,True,[],True,['2015-09-18'],True,['2015-09-18'],0.94,5.92,1.54
1461,2015-10-19,9.952,1461,2015-10-19,0,False,['2015-10-21'],False,"['2015-10-21', '2015-10-22']",False,"['2015-10-21', '2015-10-22']",0.15,6.36,4.45
1609,2016-05-20,9.41,1609,2016-05-20,0,True,[],True,[],True,[],6.3,6.75,-2.52
1643,2016-07-11,8.972,1643,2016-07-11,0,True,[],True,[],True,[],2.87,-3.12,-0.22
1661,2016-08-04,8.705,1662,2016-08-05,1,True,[],True,['2016-08-10'],True,['2016-08-10'],1.29,1.23,0.92
1677,2016-08-26,8.828,1677,2016-08-26,0,True,[],True,[],True,['2016-09-01'],0.06,1.36,0.14
1690,2016-09-15,8.898,1690,2016-09-15,0,True,[],True,[],True,[],2.22,-1.49,1.49
1692,2016-09-19,8.902,1692,2016-09-19,0,True,[],True,[],True,[],-0.7,0.03,-1.12
1729,2016-11-09,8.62,1729,2016-11-09,0,True,[],True,[],True,[],10.24,10.09,13.66
1787,2017-02-03,9.478,1787,2017-02-03,0,True,[],True,[],True,[],0.82,2.06,-1.35
1865,2017-05-26,8.815,1865,2017-05-26,0,True,[],True,[],True,[],2.41,4.96,5.22
1868,2017-06-01,8.808,1868,2017-06-01,0,True,[],True,[],True,[],3.24,4.77,5.31
2149,2018-07-13,15.375,2151,2018-07-17,2,False,['2018-07-19'],False,"['2018-07-19', '2018-07-20']",False,"['2018-07-19', '2018-07-20']",1.89,-0.21,0.85
2227,2018-11-01,12.95,2227,2018-11-01,0,True,[],True,[],True,[],8.76,4.86,11.68
2266,2018-12-31,13.662,2266,2018-12-31,0,True,['2019-01-03'],True,['2019-01-03'],False,"['2019-01-03', '2019-01-07']",-3.93,-5.22,-7.19
2269,2019-01-04,13.625,2269,2019-01-04,0,False,"['2019-01-07', '2019-01-08']",False,"['2019-01-07', '2019-01-08', '2019-01-09']",False,"['2019-01-07', '2019-01-08', '2019-01-09', '2019-01-10']",-5.61,0.24,-7.91
2278,2019-01-17,13.325,2278,2019-01-17,0,False,['2019-01-22'],False,"['2019-01-22', '2019-01-23']",False,"['2019-01-22', '2019-01-23', '2019-01-24']",-5.14,-6.92,-0.24
2291,2019-02-06,12.702,2294,2019-02-11,3,True,[],True,[],True,[],3.9,9.29,5.51
2329,2019-04-02,13.598,2329,2019-04-02,0,True,[],True,[],True,[],-1.86,1.73,1.62
2375,2019-06-07,13.642,2375,2019-06-07,0,True,[],True,[],True,[],0.99,-2.35,-2.99
2394,2019-07-05,13.722,2394,2019-07-05,0,True,['2019-07-08'],False,"['2019-07-08', '2019-07-10']",False,"['2019-07-08', '2019-07-10', '2019-07-11']",-4.86,-9.73,-8.67
2411,2019-07-30,12.745,2411,2019-07-30,0,True,[],False,['2019-08-02'],False,"['2019-08-02', '2019-08-05']",-4.39,-8.81,-11.63
2433,2019-08-29,11.51,2434,2019-08-30,1,True,[],True,[],True,[],6.43,12.38,15.96
2474,2019-10-28,11.922,2474,2019-10-28,0,True,[],True,[],True,[],-2.62,-3.75,3.56
2512,2019-12-20,11.825,2512,2019-12-20,0,True,['2019-12-24'],True,['2019-12-24'],True,['2019-12-24'],-1.54,-0.27,4.0
2516,2019-12-27,11.785,2516,2019-12-27,0,False,"['2019-12-30', '2019-12-31']",False,"['2019-12-30', '2019-12-31']",False,"['2019-12-30', '2019-12-31']",0.62,4.03,-0.4
2519,2020-01-02,11.95,2519,2020-01-02,0,True,[],True,[],True,[],1.69,4.16,-1.67
2577,2020-03-26,10.78,2580,2020-03-31,3,True,[],True,['2020-04-03'],True,['2020-04-03'],3.06,5.59,-10.44
2615,2020-05-20,9.798,2618,2020-05-26,3,True,[],True,[],True,[],9.36,10.87,7.99
2706,2020-09-29,12.025,2707,2020-09-30,1,True,[],True,[],True,[],4.1,5.55,-0.15
2735,2020-11-09,12.372,2735,2020-11-09,0,True,[],True,[],True,[],10.49,6.36,9.4
2890,2021-06-23,16.27,2891,2021-06-24,1,True,[],True,[],True,[],1.0,-2.58,-5.84
2917,2021-08-02,15.715,2917,2021-08-02,0,False,"['2021-08-03', '2021-08-04']",False,"['2021-08-03', '2021-08-04']",False,"['2021-08-03', '2021-08-04']",1.53,-0.51,2.5
2933,2021-08-24,15.762,2933,2021-08-24,0,True,[],True,[],True,[],2.52,0.0,-4.44
2956,2021-09-27,16.422,2956,2021-09-27,0,True,[],True,['2021-09-30'],True,['2021-09-30'],-2.72,9.47,12.54
3046,2022-02-03,17.552,3047,2022-02-04,1,True,[],True,[],True,[],5.91,1.35,-16.42
3073,2022-03-15,15.43,3074,2022-03-16,1,True,[],True,[],True,[],10.09,10.11,5.36
3098,2022-04-20,16.605,3098,2022-04-20,0,False,"['2022-04-21', '2022-04-22']",False,"['2022-04-21', '2022-04-22', '2022-04-25']",False,"['2022-04-21', '2022-04-22', '2022-04-25', '2022-04-26']",-7.92,-9.89,-18.64
3119,2022-05-19,13.742,3121,2022-05-23,2,True,['2022-05-24'],True,['2022-05-24'],True,['2022-05-24'],8.22,9.37,1.67
3143,2022-06-24,14.578,3143,2022-06-24,0,True,[],True,[],False,['2022-06-30'],-4.29,-7.24,-2.11
3151,2022-07-07,14.22,3151,2022-07-07,0,False,"['2022-07-08', '2022-07-11']",False,"['2022-07-08', '2022-07-11', '2022-07-12']",False,"['2022-07-08', '2022-07-11', '2022-07-12', '2022-07-13']",-6.14,-0.07,7.16
3159,2022-07-19,14.315,3159,2022-07-19,0,True,[],True,[],True,[],-1.83,0.82,14.93
3272,2022-12-28,18.18,3273,2022-12-29,1,False,"['2022-12-30', '2023-01-03']",False,"['2022-12-30', '2023-01-03', '2023-01-04']",False,"['2022-12-30', '2023-01-03', '2023-01-04', '2023-01-05']",-1.21,2.93,6.59
3335,2023-03-30,20.278,3335,2023-03-30,0,True,[],True,[],False,['2023-04-05'],-2.11,2.58,-4.02
3467,2023-10-09,21.998,3468,2023-10-10,1,False,"['2023-10-11', '2023-10-12']",False,"['2023-10-11', '2023-10-12', '2023-10-13']",False,"['2023-10-11', '2023-10-12', '2023-10-13', '2023-10-16']",-2.34,-8.91,-8.14
3487,2023-11-06,20.208,3488,2023-11-07,1,True,['2023-11-08'],True,['2023-11-08'],True,['2023-11-08'],0.96,-2.19,-2.42
3506,2023-12-04,19.81,3506,2023-12-04,0,True,['2023-12-05'],True,['2023-12-05'],True,['2023-12-05'],5.96,2.39,9.33
3678,2024-08-12,29.482,3678,2024-08-12,0,True,[],True,[],True,[],3.41,5.4,3.49
3844,2025-04-10,41.078,3845,2025-04-11,1,True,[],False,['2025-04-16'],False,"['2025-04-16', '2025-04-17']",-2.92,3.02,12.96
4008,2025-12-04,65.95,4008,2025-12-04,0,True,['2025-12-05'],True,['2025-12-05'],True,['2025-12-05'],0.17,-4.56,8.52
4020,2025-12-22,65.795,4020,2025-12-22,0,True,[],True,[],True,[],-1.21,8.43,17.35
4083,2026-03-25,68.68,4083,2026-03-25,0,False,"['2026-03-26', '2026-03-27']",False,"['2026-03-26', '2026-03-27', '2026-03-30']",False,"['2026-03-26', '2026-03-27', '2026-03-30']",-1.12,4.73,10.51
4088,2026-04-01,67.91,4088,2026-04-01,0,True,[],True,[],True,[],5.92,16.88,17.07
4179,2026-08-12,91.66,4179,2026-08-12,0,True,[],,[],,[],,,
