idx,gold_date,gold_close,stand_idx,stand_date,x_days,hold3,hold3_below,hold4,hold4_below,hold5,hold5_below,ret5,ret10,ret20
24,2010-02-03,4.062,26,2010-02-05,2,False,"['2010-02-08', '2010-02-09']",False,"['2010-02-08', '2010-02-09']",False,"['2010-02-08', '2010-02-09']",0.92,5.48,5.11
67,2010-04-07,4.088,67,2010-04-07,0,True,[],True,[],True,[],0.95,-1.1,2.39
79,2010-04-23,4.252,79,2010-04-23,0,True,[],True,[],True,[],0.82,-1.59,-3.64
135,2010-07-14,4.252,135,2010-07-14,0,True,[],True,[],True,[],4.88,-3.0,-3.29
153,2010-08-09,4.262,153,2010-08-09,0,False,['2010-08-11'],False,"['2010-08-11', '2010-08-12']",False,"['2010-08-11', '2010-08-12', '2010-08-13']",-4.16,-4.99,-3.99
170,2010-09-01,4.17,170,2010-09-01,0,True,[],True,[],True,[],-0.78,1.62,3.18
248,2010-12-22,4.442,248,2010-12-22,0,True,[],True,[],True,[],1.01,1.18,-6.01
292,2011-02-25,3.888,295,2011-03-02,3,False,['2011-03-04'],False,"['2011-03-04', '2011-03-07']",False,"['2011-03-04', '2011-03-07', '2011-03-08']",1.41,0.03,2.57
372,2011-06-21,4.068,372,2011-06-21,0,False,['2011-06-23'],False,"['2011-06-23', '2011-06-24']",False,"['2011-06-23', '2011-06-24', '2011-06-27']",-4.3,-2.09,-4.18
380,2011-07-01,3.98,380,2011-07-01,0,True,[],False,['2011-07-07'],False,"['2011-07-07', '2011-07-08']",-3.27,-4.27,-5.34
392,2011-07-20,3.898,392,2011-07-20,0,False,['2011-07-22'],False,"['2011-07-22', '2011-07-25']",False,"['2011-07-22', '2011-07-25', '2011-07-26']",-3.85,-3.34,-3.59
409,2011-08-12,3.745,409,2011-08-12,0,True,[],True,[],True,[],-2.27,-2.27,-3.87
432,2011-09-15,3.658,432,2011-09-15,0,False,"['2011-09-16', '2011-09-19']",False,"['2011-09-16', '2011-09-19', '2011-09-20']",False,"['2011-09-16', '2011-09-19', '2011-09-20', '2011-09-21']",-2.12,-2.05,-2.19
439,2011-09-26,3.635,439,2011-09-26,0,False,['2011-09-28'],False,"['2011-09-28', '2011-09-29']",False,"['2011-09-28', '2011-09-29', '2011-09-30']",-7.91,-4.88,1.86
452,2011-10-13,3.578,452,2011-10-13,0,True,[],True,[],True,[],-1.05,6.5,3.98
486,2011-12-01,3.69,486,2011-12-01,0,True,[],True,[],True,[],0.95,-1.9,1.22
650,2012-07-27,3.534,650,2012-07-27,0,False,['2012-07-31'],False,"['2012-07-31', '2012-08-01']",False,"['2012-07-31', '2012-08-01', '2012-08-02']",-3.15,-3.01,-2.16
656,2012-08-06,3.452,656,2012-08-06,0,True,[],False,['2012-08-09'],False,"['2012-08-09', '2012-08-10']",-0.65,-0.58,0.58
761,2013-01-08,3.558,761,2013-01-08,0,True,[],True,[],True,[],-0.91,-4.36,4.15
