year,hard_end,soft_end,five_end,hard_prod,soft_prod,five_prod,five_exp,five_cons
2000,49124.0,5921.0,55045.0,259153.0,93379.0,352532.0,56196.0,300144.0
2001,41608.0,5420.0,47028.0,250223.0,95580.0,345803.0,51950.0,308681.0
2002,28723.0,12271.0,40994.0,237082.0,104429.0,341511.0,46058.0,309109.0
2003,25492.0,11400.0,36892.0,266208.0,92170.0,358378.0,53428.0,317676.0
2004,55506.0,12639.0,68145.0,309025.0,103865.0,412890.0,47788.0,339447.0
2005,51983.0,12898.0,64881.0,291975.0,105064.0,397039.0,59442.0,346685.0
2006,34463.0,10823.0,45286.0,276733.0,106887.0,383620.0,65742.0,348439.0
2007,42750.0,15308.0,58058.0,343213.0,108081.0,451294.0,71221.0,385747.0
2008,44387.0,16618.0,61005.0,316929.0,116131.0,433060.0,56359.0,379539.0
2009,45155.0,12063.0,57218.0,342045.0,115640.0,457685.0,63576.0,403369.0
2010,29938.0,11511.0,41449.0,328018.0,116018.0,444036.0,57763.0,411881.0
2011,26514.0,10894.0,37408.0,324599.0,141316.0,465915.0,67319.0,411141.0
2012,22462.0,14296.0,36758.0,286759.0,140642.0,427401.0,47546.0,397298.0
2013,32951.0,20863.0,53814.0,365897.0,144931.0,510828.0,74192.0,437798.0
2014,45560.0,17468.0,63028.0,373237.0,160734.0,533971.0,86396.0,449965.0
2015,46421.0,13698.0,60119.0,359586.0,125748.0,485334.0,65981.0,442432.0
2016,60821.0,19246.0,80067.0,399103.0,160409.0,559512.0,94323.0,462358.0
2017,56831.0,18797.0,75628.0,385579.0,144021.0,529600.0,90767.0,464440.0
2018,58843.0,16454.0,75297.0,377999.0,165351.0,543350.0,98324.0,473876.0
2019,53499.0,15720.0,69219.0,358323.0,168742.0,527065.0,86453.0,468646.0
2020,33553.0,14218.0,47771.0,371688.0,154440.0,526128.0,96007.0,471111.0
2021,37755.0,16097.0,53852.0,396510.0,187672.0,584182.0,119291.0,487684.0
2022,36227.0,17401.0,53628.0,361689.0,189379.0,551068.0,103557.0,475348.0
2023,46835.0,14613.0,61448.0,405467.0,180947.0,586414.0,102144.0,501581.0
2024,41031.0,17754.0,58785.0,393974.0,195591.0,589565.0,120794.0,494194.0
2025,51293.0,19253.0,70546.0,447570.0,196799.0,644369.0,132044.0,523577.0
2026,43976.0,15153.0,59129.0,423628.0,189200.0,612828.0,131869.0,520312.0
