ticker,date,dir,choppy,dev_adr
MSFT,1995-06-19,up,False,0.5766734080718813
MSFT,1995-07-18,up,False,0.5246600315949203
MSFT,1995-09-26,dn,False,0.36851475676274603
MSFT,1995-10-27,up,False,0.9745660240269614
MSFT,1995-11-16,dn,False,-0.31968512250103337
MSFT,1995-12-08,up,False,0.8989352046166096
MSFT,1996-01-09,dn,False,1.2373180090312264
MSFT,1996-02-05,up,False,-0.391826741234782
MSFT,1997-03-21,dn,True,0.18053225930571193
MSFT,1997-08-15,dn,True,0.7025096524036181
MSFT,1997-09-15,dn,True,0.736176539155269
MSFT,1997-10-27,dn,True,0.5940305235281664
MSFT,1997-12-22,dn,True,0.4224452775360196
MSFT,1998-05-06,dn,True,0.5107909581770598
MSFT,1998-08-31,dn,True,0.7564733086317811
MSFT,1998-10-07,dn,True,1.428786484216811
MSFT,1999-05-03,dn,True,-0.07692201544755838
MSFT,1999-10-15,dn,True,0.7253054322416467
MSFT,1999-11-17,dn,True,1.8131579604218413
MSFT,2000-01-21,dn,True,0.09651132929504203
MSFT,2000-02-18,dn,True,-0.2583896567466578
MSFT,2000-04-03,dn,True,-0.6211823648085898
MSFT,2013-07-19,dn,True,-1.0735895573814807
MSFT,2015-01-27,dn,True,-1.708373228168942
MSFT,2015-06-08,dn,True,0.7470732359563249
MSFT,2015-08-21,dn,True,0.057169040732756034
MSFT,2016-02-05,dn,True,1.306234737914254
MSFT,2016-06-27,dn,True,3.330924194544819
MSFT,2018-12-21,dn,False,0.27523792254973495
MSFT,2020-03-09,dn,False,0.33171862715832606
MSFT,2020-09-18,dn,True,1.2417102133082714
MSFT,2021-12-20,dn,True,2.128167087362643
MSFT,2022-01-19,dn,True,-0.7540042889092005
MSFT,2023-08-03,dn,True,0.16092884412301509
MSFT,2023-09-26,dn,True,2.23580547693036
MSFT,2024-10-31,dn,False,2.2356223406589844
MSFT,2025-02-03,dn,True,0.014252443320247367
MSFT,2025-03-04,dn,True,-1.6748798225532795
MSFT,2025-11-19,dn,True,-0.17695389372774836
AAPL,1995-02-24,dn,False,0.558841271573532
AAPL,1995-03-28,dn,False,1.525262995314459
AAPL,1995-04-12,up,False,1.011346060509398
AAPL,1995-05-11,up,False,-2.3697728127061004
AAPL,1995-07-19,dn,False,0.31416703451113903
AAPL,1995-09-14,dn,False,-3.0930912020405055
AAPL,1995-11-06,up,False,-0.8871514908987638
AAPL,1996-01-11,up,False,2.465004382974462
AAPL,1996-02-22,up,False,2.653814630419893
AAPL,1996-04-09,up,True,0.6820339954383421
AAPL,1996-05-07,up,True,-0.13672609997727145
AAPL,1996-07-26,up,True,0.4129704154877763
AAPL,1996-08-23,up,True,0.27024359927054153
AAPL,1996-10-01,up,True,1.1614319383862572
AAPL,1997-03-20,up,True,0.7310842177913264
AAPL,1997-07-16,up,False,0.7323741548623942
AAPL,1997-10-15,up,True,6.597499350103299
AAPL,1998-01-13,up,True,0.08935151997913442
AAPL,1998-02-18,up,True,-0.31000307345630135
AAPL,1998-08-31,dn,True,1.2276445363709232
AAPL,1998-10-01,dn,True,1.1898249797738327
AAPL,1998-11-11,dn,True,0.4430131087507885
AAPL,1999-02-04,dn,True,0.3131323425100229
AAPL,1999-03-05,dn,True,-0.20694314157497307
AAPL,1999-05-20,dn,True,1.5612199332731136
AAPL,1999-06-23,dn,True,4.215011781172325
AAPL,2000-01-06,dn,True,1.9339515179662923
AAPL,2000-04-11,dn,True,0.27725480634698335
AAPL,2000-05-10,dn,True,-0.9737113819828194
AAPL,2000-10-10,dn,True,-0.04175893428995051
AAPL,2001-04-02,dn,False,0.35227702286478757
AAPL,2001-05-10,dn,False,0.03428181172666279
AAPL,2001-07-18,dn,True,-0.5827210892953626
AAPL,2002-04-26,dn,True,0.9490599953334797
AAPL,2002-05-31,dn,False,-0.4275623333689441
AAPL,2003-11-21,dn,True,1.3983493116817285
AAPL,2003-12-22,dn,True,2.683975014142225
AAPL,2004-04-28,dn,True,0.5646093398999688
AAPL,2004-08-06,dn,True,0.7356509006312317
AAPL,2005-03-03,dn,True,0.09725246347022001
AAPL,2005-04-14,dn,True,-1.9599772174920518
AAPL,2005-10-10,dn,True,3.082003866685355
AAPL,2006-02-06,dn,True,-0.12629916081095638
AAPL,2006-03-09,dn,True,0.852194211482274
AAPL,2006-05-18,dn,True,-0.11682118570201447
AAPL,2007-07-31,dn,True,0.2658685089457915
AAPL,2008-01-04,dn,True,-0.4728163851697745
AAPL,2008-06-12,dn,False,0.5846812806136786
AAPL,2008-07-18,dn,True,-0.14682137011925
AAPL,2008-09-09,dn,True,-0.09169675888112395
AAPL,2010-01-29,dn,True,0.3442545376504836
AAPL,2010-07-19,dn,True,1.7887487579678625
AAPL,2010-08-24,dn,True,2.8323989323889847
AAPL,2011-03-16,dn,True,1.3423402084725262
AAPL,2011-04-15,dn,True,3.4750768557300638
AAPL,2011-06-16,dn,True,1.1853885331795735
AAPL,2011-11-23,dn,True,2.3570187873459387
AAPL,2012-04-20,dn,True,1.480280300345646
AAPL,2012-05-18,dn,True,0.9451844635855581
AAPL,2012-11-07,dn,True,-0.2041283457375363
AAPL,2012-12-14,dn,True,0.36785805869504057
AAPL,2013-01-15,dn,True,0.266684533287895
AAPL,2013-03-01,dn,False,0.46921390327763396
