ticker,week_key,week_start,t0_time,t0_close,n_ob_in_week,dd_3,dd_5,dd_10,dd_20,dd_40,runup_3,runup_5,runup_10,runup_20,runup_40,fwd_3,fwd_5,fwd_10,fwd_20,fwd_40,bars_to_bottom,bars_to_recover,new_high_40,bars_to_newhigh
abbv,2017-02,2017-01-12,2017-01-09 22:30,64.29,1,-0.81,-5.74,-5.99,-7.17,-7.79,0.31,0.31,0.31,0.31,0.31,-0.36,-4.9,-3.66,-6.35,-5.82,28,2,True,1
abbv,2018-48,2018-11-29,2018-11-30 22:30,92.84,2,-0.15,-2.62,-8.88,-8.88,-11.21,1.98,2.31,2.31,2.31,2.31,0.9,-2.47,-7.07,-7.52,-3.92,26,1,True,1
abbv,2020-06,2020-02-06,2020-02-07 22:30,92.56,2,-0.66,-0.66,-0.66,-0.66,-11.83,3.18,4.88,5.72,5.72,5.72,2.37,3.73,1.78,0.12,-7.84,28,2,True,1
abbv,2020-46,2020-11-12,2020-11-09 22:30,96.49,4,-1.46,-1.46,-1.46,-1.46,-1.46,2.72,3.49,4.2,6.49,12.29,2.44,1.73,2.24,5.17,11.63,1,2,True,2
abbv,2021-44,2021-11-04,2021-11-01 21:30,114.84,9,-0.17,-0.17,-0.17,-0.17,-0.17,2.46,2.46,2.5,2.56,3.89,1.48,2.37,1.12,2.14,0.41,1,1,True,2
abbv,2023-30,2023-07-27,2023-07-24 21:30,143.23,6,-1.33,-1.89,-1.89,-1.89,-1.89,0.19,0.19,5.95,5.95,7.23,-1.1,-0.84,3.27,5.26,4.48,4,6,True,6
abbv,2023-49,2023-12-07,2023-12-04 22:30,144.84,7,-1.51,-1.51,-1.51,-1.51,-1.51,0.17,1.54,5.43,7.62,11.67,-0.18,1.09,4.61,6.23,10.87,2,2,True,4
abbv,2025-06,2025-02-06,2025-02-03 22:30,189.63,8,-1.33,-1.33,-1.33,-1.33,-1.33,1.07,1.98,2.54,3.8,13.73,0.16,1.12,-0.05,3.5,10.29,2,1,True,4
abbv,2026-23,2026-06-04,2026-06-05 21:30,229.22,1,-3.49,-3.49,-3.49,-6.03,-6.03,0.2,0.2,0.2,1.35,14.14,-2.72,-1.67,-0.89,1.03,11.26,18,20,True,20
gild,2018-02,2018-01-11,2018-01-09 22:30,77.31,8,-0.39,-0.39,-0.39,-0.39,-0.44,2.0,3.06,5.99,6.26,15.81,1.82,2.29,5.65,4.93,5.67,38,1,True,1
gild,2018-27,2018-07-05,2018-07-06 21:30,75.01,2,0.0,0.0,0.0,0.0,0.0,2.91,3.23,4.2,4.2,5.33,2.19,2.33,3.28,2.61,3.43,1,1,True,2
gild,2021-50,2021-12-16,2021-12-16 22:30,72.57,3,-1.23,-1.45,-2.6,-2.6,-2.6,0.17,0.17,0.29,2.12,2.12,-0.51,-0.08,-0.14,0.59,-1.78,8,13,True,13
gild,2024-25,2024-06-20,2024-06-20 21:30,69.2,2,-2.38,-2.38,-2.38,-4.61,-4.61,4.29,4.29,4.29,4.29,8.28,2.1,2.21,-0.66,-3.63,4.89,19,2,True,1
gild,2025-05,2025-01-30,2025-01-31 22:30,98.17,1,-1.34,-1.34,-1.34,-3.65,-3.65,1.29,1.29,2.38,8.67,19.34,0.22,-0.18,-1.14,7.1,18.37,12,2,True,2
gild,2025-42,2025-10-16,2025-10-17 21:30,123.38,2,-1.01,-1.19,-3.79,-7.58,-7.58,0.5,1.0,1.0,1.0,3.49,-0.2,0.58,-2.12,-3.58,1.31,20,5,True,4
gild,2026-04,2026-01-22,2026-01-23 22:30,135.7,2,-1.44,-1.44,-1.44,-1.44,-1.44,1.71,4.42,4.43,12.29,15.92,1.56,3.91,3.73,12.01,10.35,2,1,True,1
