onset,peak_ym,peak,season_MY,stock_to_use,impact_MY,sur_impact,pre6_run_up,T6,T12,T24,T12_exc
1951-06,1951-10,1.03,1950/51,,1951/52,,,,,,
1953-04,1953-10,0.78,1952/53,,1953/54,,,,,,
1957-04,1958-01,1.69,1956/57,,1957/58,,,,,,
1963-07,1963-11,1.19,1962/63,24.0,1963/64,26.4,60.6,35.7,-44.2,-125.3,-48.3
1965-06,1965-11,1.82,1964/65,30.8,1965/66,30.9,-18.2,22.3,0.0,0.0,-7.7
1968-10,1969-01,0.98,1968/69,33.7,1968/69,33.7,-28.8,47.0,33.6,58.8,24.0
1972-06,1972-11,1.84,1971/72,26.1,1972/73,24.8,14.3,56.0,56.0,152.2,-5.4
1976-09,1976-12,0.84,1975/76,22.5,1976/77,24.8,-40.5,20.1,-11.8,10.5,-13.4
1977-10,1977-11,0.84,1977/78,28.1,1977/78,28.1,-31.8,0.0,11.8,62.9,0.5
1982-05,1983-01,2.14,1981/82,26.1,1982/83,31.0,-21.4,-6.9,47.0,-22.3,37.7
1986-09,1987-09,1.49,1985/86,23.8,1986/87,21.4,-22.3,22.3,22.3,65.1,3.6
1991-06,1992-01,1.54,1990/91,20.3,1991/92,21.5,-21.1,-24.5,0.0,-9.1,-1.4
1994-10,1994-12,0.97,1994/95,22.2,1994/95,22.2,15.4,-3.3,-17.6,-25.6,-19.1
1997-05,1997-12,2.37,1996/97,24.7,1997/98,23.1,4.1,7.7,-32.9,-65.4,-13.7
2002-07,2002-11,1.19,2001/02,27.2,2002/03,29.2,-26.8,35.7,6.9,19.4,2.2
2004-08,2004-12,0.71,2003/04,27.3,2004/05,24.0,26.8,16.3,30.2,46.3,21.0
2006-09,2006-11,0.88,2005/06,20.8,2006/07,24.3,-23.6,-21.4,-16.7,0.0,-36.2
2009-07,2009-12,1.5,2008/09,19.2,2009/10,17.9,25.1,13.4,-17.8,21.9,-29.1
2014-10,2015-12,2.59,2014/15,28.5,2014/15,28.5,-10.8,-21.6,-11.8,22.3,8.3
2018-09,2018-12,1.05,2017/18,29.3,2018/19,30.2,-15.4,-3.5,-3.5,3.4,-0.9
2019-10,2019-12,0.75,2019/20,27.4,2019/20,27.4,-7.4,-15.4,10.2,42.9,-2.2
2023-06,2023-12,1.99,2022/23,25.7,2023/24,25.3,28.8,-8.0,-19.0,-34.0,-21.8
