label,sector,sector_name,event_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,base_vol,v5,v10,v15,v20,v30,v45,v60,v90,s1_30,s31_60,s61_90
XLY 2010 中期,XLY,可选消费,2010-11-02,2010-10-19,2010-11-02,14.09,14.7,-11.96,0.952,-10.4,-12.0,-13.9,-7.5,-2.9,14.7,20.3,36.6,-34.0,3.8,24.2
XLY 2014 中期,XLY,可选消费,2014-11-04,2014-10-21,2014-11-04,29.01,29.53,35.83,0.807,11.5,35.8,46.8,47.7,35.7,6.5,-1.1,-5.8,32.3,-43.0,-10.4
XLY 2018 中期,XLY,可选消费,2018-11-06,2018-10-23,2018-11-06,49.65,50.49,68.07,1.135,76.1,68.1,60.2,44.9,16.3,-3.7,-13.9,-25.4,34.3,-41.9,-56.0
XLY 2022 中期,XLY,可选消费,2022-11-08,2022-10-25,2022-11-08,70.96,65.94,-15.01,2.266,-24.3,-15.0,-9.5,-8.6,-9.5,-9.8,-14.5,-13.7,-15.6,-25.1,-23.7
XLB 2002 中期,XLB,材料,2002-11-05,2002-10-22,2002-11-05,5.72,5.73,111.47,1.233,77.1,111.5,131.0,144.1,134.8,101.5,90.0,89.0,143.4,29.2,129.4
XLB 2006 中期,XLB,材料,2006-11-07,2006-10-24,2006-11-07,10.84,10.94,-39.58,1.012,-45.7,-39.6,-34.8,-29.2,-20.5,-12.2,-12.6,7.1,-26.9,-8.0,23.7
XLB 2010 中期,XLB,材料,2010-11-02,2010-10-19,2010-11-02,12.23,12.7,23.01,1.146,24.5,23.0,22.2,23.5,8.9,13.2,18.1,29.8,-5.8,6.3,29.5
XLB 2014 中期,XLB,材料,2014-11-04,2014-10-21,2014-11-04,19.1,18.78,79.74,0.789,70.4,79.7,82.6,76.3,53.1,17.1,6.9,-5.0,71.9,-52.7,-16.3
XLB 2018 中期,XLB,材料,2018-11-06,2018-10-23,2018-11-06,22.3,23.52,19.32,1.221,36.3,19.3,17.6,14.0,-2.3,-17.6,-19.6,-24.0,11.7,-35.6,-35.6
XLB 2022 中期,XLB,材料,2022-11-08,2022-10-25,2022-11-08,34.23,35.93,22.24,1.486,12.6,22.2,29.4,34.3,32.1,26.4,18.2,6.9,23.0,-2.3,-23.4
XLRE 2018 中期,XLRE,房地产,2018-11-06,2018-10-23,2018-11-06,24.33,25.16,50.05,0.923,59.0,50.0,50.2,42.2,27.5,10.6,1.9,-6.3,36.5,-18.1,-18.7
XLRE 2022 中期,XLRE,房地产,2022-11-08,2022-10-25,2022-11-08,31.62,31.95,33.87,1.438,22.1,33.9,39.0,39.9,32.9,24.2,12.0,1.6,20.3,-13.5,-28.9
XLC 2022 中期,XLC,通信服务,2022-11-08,2022-10-25,2022-11-08,49.78,44.74,18.52,1.927,28.4,18.5,7.5,7.5,5.4,4.5,-1.8,-1.7,6.7,-15.7,-9.9
