time,close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,EMA,EMA,Volume,Histogram,MACD,Signal line
2025-12-04T14:00:00+08:00,58.76,58.137983876501394,50.671606673087815,,,,,58.53292903014571,58.563361340311864,27,0.019114692775947933,0.02805893274143756,0.008944239965489625
2025-12-04T15:00:00+08:00,58.68,55.0761058839521,50.24129671102031,,,,,58.54693578917945,58.58456836934607,13,0.021645984230819093,0.03600172025401349,0.014355736023194399
2025-12-04T16:00:00+08:00,58.73,56.61405400616057,50.99896844864526,,,,,58.564370475924264,58.61101048401042,144,0.025157835099619864,0.04580302989771923,0.020645194798099363
2025-12-04T17:00:00+08:00,58.55,49.980421754317355,50.838207372905,,,,,58.563001859169574,58.5999176687358,44,0.014364782113722257,0.038601172440252185,0.024236390326529928
2025-12-04T18:00:00+08:00,58.64,52.94901403210936,51.07298592131715,,,,,58.57033501543914,58.60720536532929,53,0.01236951118256576,0.03969827930473713,0.027328768122171367
2025-12-04T19:00:00+08:00,58.61,51.84448652990349,51.553223654568626,,,,,58.57411263301637,58.607713480723966,35,0.008306802725004718,0.037712271528427266,0.029405468803422548
2025-12-04T20:00:00+08:00,58.71,55.19928926986421,52.04357661800464,,,,,58.58705428701481,58.626311029683244,139,0.011438601782062727,0.04370372103100095,0.032265119248938226
2025-12-04T21:00:00+08:00,58.74,56.18544458193137,52.60436924658831,,,,,58.601620545394354,58.64698175155902,479,0.01442229733238655,0.05029299091442141,0.03587069358203486
2025-12-04T22:00:00+08:00,58.33,42.43702851793325,52.31467719088126,,,,,58.575751922023464,58.58934870582102,532,-0.010955889189853962,0.022175832094717407,0.03313172128457137
2025-12-04T23:00:00+08:00,58.79,55.572353236201465,52.940949559091436,,,,,58.59615650087837,58.6258307593081,738,0.002765950747719126,0.03658915971922028,0.03382320897150115
2025-12-05T00:00:00+08:00,59.1,61.884633264695076,53.90249382078263,,,,,58.64414159603281,58.71204334852481,1583,0.03069665451922976,0.07219402712053835,0.04149737260130859
