time,close,HOX2026-HOZ2026 · NYMEX: close
2026-06-03T01:00:00+08:00,93.84,0.08389999999999986
2026-06-03T02:00:00+08:00,93.9,0.07929999999999993
2026-06-03T03:00:00+08:00,93.69,0.07790000000000008
2026-06-03T04:00:00+08:00,93.39,0.07749999999999968
2026-06-03T06:00:00+08:00,94.25,0.07159999999999966
2026-06-03T07:00:00+08:00,94.61,0.0956999999999999
2026-06-03T08:00:00+08:00,94.38,0.09430000000000005
2026-06-03T09:00:00+08:00,94.85,0.08079999999999998
2026-06-03T10:00:00+08:00,94.72,
2026-06-03T11:00:00+08:00,94.71,0.08689999999999998
2026-06-03T12:00:00+08:00,94.9,0.08089999999999975
2026-06-03T13:00:00+08:00,95.56,0.08230000000000004
2026-06-03T14:00:00+08:00,95.75,0.08109999999999973
2026-06-03T15:00:00+08:00,95.88,0.08689999999999998
2026-06-03T16:00:00+08:00,96.34,0.09330000000000016
2026-06-03T17:00:00+08:00,96.87,0.09220000000000006
2026-06-03T18:00:00+08:00,95.99,0.09050000000000002
2026-06-03T19:00:00+08:00,95.71,0.09450000000000003
2026-06-03T20:00:00+08:00,96.02,0.08979999999999988
2026-06-03T21:00:00+08:00,94.48,0.08250000000000002
2026-06-03T22:00:00+08:00,95.25,0.08789999999999987
2026-06-03T23:00:00+08:00,95.9,0.09010000000000007
2026-06-04T00:00:00+08:00,95.67,0.08970000000000011
2026-06-04T01:00:00+08:00,96.24,0.08779999999999966
2026-06-04T02:00:00+08:00,96.06,0.08570000000000011
2026-06-04T03:00:00+08:00,96.22,0.08729999999999993
2026-06-04T04:00:00+08:00,96.2,0.08630000000000004
2026-06-04T06:00:00+08:00,95.24,
2026-06-04T07:00:00+08:00,95.39,
2026-06-04T08:00:00+08:00,95.32,0.08539999999999992
2026-06-04T09:00:00+08:00,95.01,0.08499999999999996
2026-06-04T10:00:00+08:00,94.84,0.08549999999999969
2026-06-04T11:00:00+08:00,95.12,0.08440000000000003
2026-06-04T12:00:00+08:00,95.21,0.08440000000000003
2026-06-04T13:00:00+08:00,95.18,0.07379999999999987
2026-06-04T14:00:00+08:00,95.21,0.08000000000000007
2026-06-04T15:00:00+08:00,95.42,0.08720000000000017
2026-06-04T16:00:00+08:00,94.88,0.09099999999999975
2026-06-04T17:00:00+08:00,94.51,0.08499999999999996
2026-06-04T18:00:00+08:00,94.91,0.0884999999999998
2026-06-04T19:00:00+08:00,92.45,0.08199999999999985
2026-06-04T20:00:00+08:00,92.66,0.08179999999999987
2026-06-04T21:00:00+08:00,92.36,0.07819999999999983
2026-06-04T22:00:00+08:00,93.06,0.0798000000000001
2026-06-04T23:00:00+08:00,93,0.07570000000000032
2026-06-05T00:00:00+08:00,92.39,0.07569999999999988
2026-06-05T01:00:00+08:00,92.33,0.07379999999999987
2026-06-05T02:00:00+08:00,93.33,0.07790000000000008
2026-06-05T03:00:00+08:00,93.17,0.08040000000000003
2026-06-05T04:00:00+08:00,92.91,0.0759000000000003
2026-06-05T06:00:00+08:00,92.9,0.06800000000000006
2026-06-05T07:00:00+08:00,92.97,
2026-06-05T08:00:00+08:00,92.69,0.08260000000000023
2026-06-05T09:00:00+08:00,93.14,0.07510000000000039
2026-06-05T10:00:00+08:00,93.42,0.07319999999999993
2026-06-05T11:00:00+08:00,93.18,0.0693999999999999
2026-06-05T12:00:00+08:00,93.03,0.06159999999999988
2026-06-05T13:00:00+08:00,92.94,0.059699999999999864
2026-06-05T14:00:00+08:00,92.76,0.06320000000000014
2026-06-05T15:00:00+08:00,92.69,0.07600000000000007
2026-06-05T16:00:00+08:00,92.84,0.07750000000000012
2026-06-05T17:00:00+08:00,92.85,0.07810000000000006
2026-06-05T18:00:00+08:00,92.86,0.0777000000000001
2026-06-05T19:00:00+08:00,92.89,0.0788000000000002
2026-06-05T20:00:00+08:00,92.39,0.07529999999999992
2026-06-05T21:00:00+08:00,91.48,0.07460000000000022
2026-06-05T22:00:00+08:00,91.31,0.0766
2026-06-05T23:00:00+08:00,90.77,0.07339999999999991
2026-06-06T00:00:00+08:00,90.08,0.06660000000000021
2026-06-06T01:00:00+08:00,90.03,0.07269999999999976
2026-06-06T02:00:00+08:00,90.3,0.07099999999999973
2026-06-06T03:00:00+08:00,90.24,0.07040000000000024
2026-06-06T04:00:00+08:00,90.25,0.07790000000000008
2026-06-08T06:00:00+08:00,92.87,0.08650000000000002
2026-06-08T07:00:00+08:00,92.74,
2026-06-08T08:00:00+08:00,92.41,0.07489999999999997
2026-06-08T09:00:00+08:00,93.29,0.07900000000000018
2026-06-08T10:00:00+08:00,93.64,0.07960000000000012
2026-06-08T11:00:00+08:00,93.53,0.07460000000000022
2026-06-08T12:00:00+08:00,94.47,0.07079999999999975
2026-06-08T13:00:00+08:00,94.48,0.07240000000000002
2026-06-08T14:00:00+08:00,94.62,0.08009999999999984
2026-06-08T15:00:00+08:00,94.61,0.07640000000000002
2026-06-08T16:00:00+08:00,94.66,0.08749999999999991
2026-06-08T17:00:00+08:00,94.67,0.07679999999999998
2026-06-08T18:00:00+08:00,93.76,0.07960000000000012
2026-06-08T19:00:00+08:00,91.22,0.07969999999999988
2026-06-08T20:00:00+08:00,91.91,0.07330000000000014
2026-06-08T21:00:00+08:00,91.06,0.07430000000000003
2026-06-08T22:00:00+08:00,91.77,0.07560000000000011
2026-06-08T23:00:00+08:00,91.61,0.07299999999999995
2026-06-09T00:00:00+08:00,91.41,0.0714999999999999
2026-06-09T01:00:00+08:00,91.12,0.07110000000000039
2026-06-09T02:00:00+08:00,91.14,0.06769999999999987
2026-06-09T03:00:00+08:00,91.25,0.06890000000000018
2026-06-09T04:00:00+08:00,91.28,0.06440000000000001
2026-06-09T06:00:00+08:00,91.37,0.06550000000000011
2026-06-09T07:00:00+08:00,91.38,
2026-06-09T08:00:00+08:00,91.03,0.07620000000000005
2026-06-09T09:00:00+08:00,90.95,0.0686
2026-06-09T10:00:00+08:00,90.63,0.05870000000000042
2026-06-09T11:00:00+08:00,90.15,0.06769999999999987
2026-06-09T12:00:00+08:00,90.27,0.06930000000000014
2026-06-09T13:00:00+08:00,90.14,0.07340000000000035
2026-06-09T14:00:00+08:00,89.93,0.06820000000000004
2026-06-09T15:00:00+08:00,89.7,0.06910000000000016
2026-06-09T16:00:00+08:00,89.25,0.06849999999999978
2026-06-09T17:00:00+08:00,89.16,0.07669999999999977
2026-06-09T18:00:00+08:00,89.01,0.06769999999999987
2026-06-09T19:00:00+08:00,89.56,0.07069999999999999
2026-06-09T20:00:00+08:00,89.04,0.07050000000000001
2026-06-09T21:00:00+08:00,87.84,0.07079999999999975
2026-06-09T22:00:00+08:00,87.78,0.06559999999999988
2026-06-09T23:00:00+08:00,86.7,0.06269999999999998
2026-06-10T00:00:00+08:00,87.87,0.06680000000000019
2026-06-10T01:00:00+08:00,88.15,0.0686
2026-06-10T02:00:00+08:00,88.05,0.06619999999999981
2026-06-10T03:00:00+08:00,88.3,0.06519999999999992
2026-06-10T04:00:00+08:00,88.7,0.06530000000000014
2026-06-10T06:00:00+08:00,89.12,0.08979999999999988
2026-06-10T07:00:00+08:00,89.18,
2026-06-10T08:00:00+08:00,88.86,0.07100000000000017
2026-06-10T09:00:00+08:00,89.27,0.06630000000000003
2026-06-10T10:00:00+08:00,88.96,
2026-06-10T11:00:00+08:00,88.64,0.06620000000000026
2026-06-10T12:00:00+08:00,88.66,
2026-06-10T13:00:00+08:00,88.07,0.06570000000000009
2026-06-10T14:00:00+08:00,88.26,0.06549999999999967
2026-06-10T15:00:00+08:00,88.02,0.06910000000000016
2026-06-10T16:00:00+08:00,87.68,0.08809999999999985
2026-06-10T17:00:00+08:00,87.92,0.06680000000000019
2026-06-10T18:00:00+08:00,88.03,0.0647000000000002
2026-06-10T19:00:00+08:00,90.05,0.07410000000000005
2026-06-10T20:00:00+08:00,89.08,0.06940000000000035
