period,dir,n,diff,lo,hi,p,p_bh
2010-15,up,1405,0.07933713125490033,0.002406372941290595,0.15219366430407538,0.004111042037922214,0.01096277876779257
2010-15,down,551,-0.1518628430393137,-0.2686798208258643,-0.03029014967157991,0.0008438021697858269,0.0033752086791433078
2016-19,up,1112,0.05404457184233019,-0.04638139038842781,0.153824839495199,0.08149643456514608,0.16299286913029215
2016-19,down,460,-0.08123519808696056,-0.20103883333689984,0.050976264402244675,0.12310927224785367,0.19697483559656587
2020-21,up,575,-0.05542426820430413,-0.18497793321353143,0.04743294916032904,0.24581361600175528,0.3277514880023404
2020-21,down,214,0.041335101679929265,-0.18476713320463323,0.21137033625421675,0.643856981058674,0.643856981058674
2022-26,up,950,-0.019632846245749458,-0.11460568300568913,0.07694780746649722,0.6030693889835679,0.643856981058674
2022-26,down,659,-0.20255390732527911,-0.33021027353574317,-0.08540558826523685,1.0126157821089267e-05,8.100926256871414e-05
