,coef,OR,se,p,ci_lo,ci_hi
const,0.5944583432721365,1.8120491704673776,0.12995600735721244,4.778046229152633e-06,1.4045953431050118,2.337699759799093
chop,-0.09757511625284206,0.9070342059860362,0.07965596343691865,0.2205914873558632,0.775926146206005,1.0602955640191727
brk_atr,-1.0510351209213635,0.3495757086360371,0.10977001216094506,1.019718215563796e-21,0.28190633986774777,0.43348856973460514
vol_ratio,-0.0777827482174499,0.9251653985439735,0.04155954878027854,0.06126230748356993,0.85279339809996,1.0036792223885174
beta,-0.15963175360604906,0.8524576456283711,0.10604729058832513,0.1322499529103034,0.6924767442346211,1.0493984724258907
sector_Financials,-0.05074197348360594,0.9505238992637851,0.12059018894093769,0.6739155327340036,0.7504408833509504,1.2039531735494513
sector_Healthcare,-0.13382071945136267,0.8747468756461138,0.1049078906951329,0.20209623238069496,0.7121715846632856,1.0744350279215582
sector_Industrials,-0.13591339589888837,0.8729182275136903,0.10721965361732501,0.20493495715069665,0.7074699984201627,1.0770580146539348
sector_Materials_Utilities_Other,-0.15305190114123213,0.8580851850552708,0.09106520955387475,0.09282418094250794,0.7178200040419824,1.0257587983968675
sector_Technology,-0.08968486377437686,0.9142192434818386,0.10968489529057436,0.4135518134700501,0.7373715995786565,1.1334811723560958
dir_down,0.6205241460785552,1.8599026470852364,0.10199352025009181,1.172523887578356e-09,1.5229062558673765,2.271471302522458
