ticker,sector,dir,break_date,entry_date,exit_date,hold,entry,exit,ref,atr,pnl_pct,pnl_atr,reason,choppy
msft,Technology,down,2011-05-16,2011-05-18,2011-05-23,3,18.951326370239254,18.552186965942383,18.896541595458984,0.47368572223292393,-2.1061291252082026,-0.8426249421564873,stop,1
msft,Technology,up,2011-07-07,2011-07-14,2011-07-19,3,20.317596435546875,21.138904571533203,20.36829948425293,0.4585448293655683,-4.042348899840334,-1.7911185196934192,stop,0
msft,Technology,up,2012-09-06,2012-09-10,2012-09-20,8,24.383045196533203,24.96245765686035,24.52590751647949,0.4959843346082934,-2.3762924427894254,-1.1682071789318567,stop,1
msft,Technology,up,2013-02-19,2013-02-21,2013-03-04,7,22.180757522583008,22.71329116821289,22.43876266479492,0.39623479733383976,-2.400881237206131,-1.3439850543494976,stop,0
msft,Technology,up,2013-04-02,2013-04-03,2013-04-09,4,23.044109344482425,23.89131546020508,23.08445167541504,0.34238003582452003,-3.6764541560618285,-2.474461204148231,stop,1
msft,Technology,up,2013-06-03,2013-06-04,2013-06-07,3,28.430219650268555,28.98273658752441,28.50335121154785,0.6043089840831136,-1.9434142403843044,-0.9142954213963257,stop,0
msft,Technology,up,2013-07-15,2013-07-18,2013-07-19,1,28.79586410522461,25.51326942443848,28.998992919921875,0.6702156558756621,11.399535255448535,4.897818563335849,target,0
msft,Technology,up,2014-09-19,2014-09-23,2014-10-01,6,39.19058990478516,38.63505935668945,39.56093978881836,0.5870611403706749,1.4175100437257773,0.9462907862457801,target,1
msft,Technology,up,2014-11-13,2014-11-19,2014-12-10,14,40.84384536743164,39.72575759887695,41.15180969238281,0.7779698091971625,2.737469399603193,1.4371865788834592,target,0
msft,Technology,down,2015-08-21,2015-08-27,2015-09-01,3,37.94123458862305,36.14356994628906,37.90732955932617,1.029394134993391,-4.738023582587972,-1.7463327031152414,stop,0
msft,Technology,up,2015-11-06,2015-11-09,2015-12-01,15,46.8086051940918,48.04641342163086,47.01601409912109,1.1706090479310363,-2.6444031442648055,-1.0574053136927275,stop,0
msft,Technology,up,2015-12-29,2015-12-31,2016-01-06,3,48.27262115478516,47.02838897705078,48.83818435668945,1.0611822725428355,2.5775111190767483,1.1724961959201572,target,1
msft,Technology,down,2016-01-13,2016-01-14,2016-01-15,1,46.21051406860352,44.36592483520508,45.39261245727539,1.2783919394728394,-3.9917089661889316,-1.4428980474947954,stop,0
msft,Technology,down,2016-06-27,2016-06-28,2016-07-06,5,43.629173278808594,45.34116363525391,43.62409210205078,1.0631183526191719,3.9239578194731948,1.6103478528308177,target,0
msft,Technology,up,2017-06-02,2017-06-09,2017-06-23,10,63.60731506347656,64.412353515625,63.6887321472168,0.9093513292380745,-1.26563816024156,-0.8852886956496359,stop,0
msft,Technology,up,2017-09-13,2017-09-14,2017-09-15,1,67.99285888671875,68.48391723632812,67.99285888671875,0.9384263151557498,-0.7222204767525887,-0.5232785373541816,stop,1
msft,Technology,up,2017-11-28,2017-11-29,2017-12-04,3,76.16668701171875,74.10121154785156,76.89552307128906,0.9960049491147469,2.7117832544684535,2.0737602415560183,target,0
msft,Technology,up,2018-02-26,2018-02-27,2018-03-09,8,86.49633026123047,88.64498901367188,86.83222961425781,2.247282439946988,-2.4841039451641125,-0.9561142445860484,stop,0
msft,Technology,up,2018-08-29,2018-09-05,2018-09-11,4,100.43449401855467,102.98031616210938,102.20742797851562,1.5282342641063549,-2.534808552014387,-1.6658585685116727,stop,0
msft,Technology,up,2018-10-01,2018-10-04,2018-10-08,2,104.41522216796876,102.61927795410156,106.1556396484375,1.628920630592565,1.7200022914074111,1.1025363545269098,target,1
msft,Technology,down,2018-10-24,2018-10-25,2018-10-29,2,100.25860595703124,96.1390380859375,98.04608154296876,3.074784071195798,-4.108941902562756,-1.3397909497728133,stop,0
msft,Technology,up,2019-11-25,2019-12-02,2019-12-06,4,141.0997772216797,143.17544555664062,141.41111755371094,1.8157664888841705,-1.471064218407579,-1.1431361618731506,stop,0
msft,Technology,down,2020-03-09,2020-03-10,2020-03-12,2,152.24195861816406,131.56085205078125,145.6474151611328,7.155528693151712,-13.584367118694793,-2.8902276064067665,stop,0
msft,Technology,up,2020-06-22,2020-06-26,2020-06-30,2,186.259765625,193.07147216796875,186.7436065673828,5.028303058830183,-3.6571003512819167,-1.3546730304981796,stop,0
msft,Technology,up,2020-08-03,2020-08-04,2020-08-11,5,202.34979248046875,192.94813537597656,203.32699584960935,5.776777363016049,4.646240052556346,1.6274916815529814,target,0
