variant,dir,k,diff,lo,hi,odds,p,p_bh
None,up,1.0,0.028580275261275545,-0.018193433102553076,0.08035308338672924,1.1273781650721784,0.09161676501097349,0.14658682401755757
None,down,1.0,-0.1255846858094049,-0.19746976303766609,-0.0588066338881459,0.6034497862499124,1.1148272173759275e-06,4.45930886950371e-06
altA,up,1.0,0.016526256881620016,-0.0325686899113632,0.06880299376649314,1.0719194065333928,0.3375108018289489,0.38572663066165586
altA,down,1.0,-0.08890254827992117,-0.15584170978438705,-0.025874230580713267,0.7000772542659264,0.0004303958782891196,0.001147722342104319
altB,up,1.0,0.006026383121826517,-0.039045269226214,0.055013543724206915,1.0256988277727683,0.7214816400526216,0.7214816400526216
altB,down,1.0,-0.13076245193188063,-0.1988662749110196,-0.06767909357445759,0.5908138597904915,5.755543420130572e-07,4.45930886950371e-06
altC,up,1.0,0.025065310813200403,-0.02591310341386996,0.0784817912032176,1.1107962620292007,0.16659026988492026,0.22212035984656034
altC,down,1.0,-0.08535166477526845,-0.15917867199472266,-0.006437846784666333,0.7101727343479765,0.002125042660796658,0.004250085321593316
