window,dir,choppy,n,med,mean
5,up,1,1224,0.17886890677620837,0.1194654416756514
5,up,0,2818,0.29797282332147956,0.19417758493882104
5,down,1,534,0.0896494012009863,-0.04040195375471991
5,down,0,1350,1.0517373930134744,0.8755402667812113
10,up,1,1224,0.3769681891996224,0.3181193766991658
10,up,0,2818,0.5755547256925064,0.41704919064023405
10,down,1,534,0.3069381818551764,0.42806487068317045
10,down,0,1350,1.4936079182280348,1.2609258488923203
20,up,1,1224,1.0574903722273432,0.9036142743499037
20,up,0,2814,1.1782387349094203,0.8714817208524618
20,down,1,534,0.4988243094615874,1.121173650961631
20,down,0,1349,2.6711836746482476,2.7002628947783798
