time,open,high,low,close,EMA,EMA,Histogram,MACD,Signal line
2018-10-23,270.95,274.87,268.61,273.61,281.1189636198538,277.7836708443952,-0.9559205110600795,-3.706180086496829,-2.7502595754367496
2018-10-24,273.33,273.76,264.7,265.32,279.61430041796297,275.517548872687,-1.3921115896696912,-4.4903990625238634,-3.0982874728541723
2018-10-25,267.38,271.81,266.23,270.08,278.7062718067284,274.5289036231075,-1.260512342179796,-4.673927900578917,-3.4134155583991213
2018-10-26,265.92,271,262.29,265.33,277.43234115846855,272.8563756916334,-1.3839647885309447,-5.143371544062802,-3.7594067555318573
2018-10-29,268.8,270.25,259.85,263.86,276.1397372386144,271.22067102042735,-1.448330841153676,-5.569820306973952,-4.121489465820276
2018-10-30,263.67,268.12,263.12,267.77,275.3426194063654,270.59327628944055,-1.1256484417495347,-5.528550018007195,-4.40290157625766
2018-10-31,270.65,273.23,270.12,270.63,274.89379851052104,270.5999533277241,-0.6417300820882144,-5.205064178867929,-4.563334096779714
2018-11-01,271.6,273.73,270.38,273.51,274.7620081761857,271.12905272268335,-0.07938096030585307,-4.662560297162031,-4.583179336856178
2018-11-02,274.75,275.23,269.59,271.89,274.48848358797756,271.26740677310454,0.21564921160211448,-4.313617822353535,-4.52926703395565
2018-11-05,272.44,274.01,271.35,273.39,274.38386610340825,271.65333281435824,0.526282678368263,-3.8714136859953214,-4.3976963643635845
2018-11-06,273.32,275.3,273.25,275.12,274.45397409355985,272.28363593902037,0.8438906264382258,-3.3428330813158027,-4.1867237077540285
2018-11-07,277.56,281.1,277.08,281.01,275.0783575132208,273.87024758647124,1.4127785948533997,-2.420750464187279,-3.8335290590406785
2018-11-08,280.11,281.22,279.22,280.5,275.5947044167236,275.07565711620373,1.6976889079444675,-1.7114179241100942,-3.4091068320545617
2018-11-09,279.03,279.24,276.18,277.76,275.80092304370226,275.5637194587121,1.6434892920938409,-1.3547452169372605,-2.9982345090311013
2018-11-12,277.19,277.46,271.99,272.57,275.49321608715917,275.01940682985537,1.219484254963454,-1.4738791903267838,-2.6933634452902377
2018-11-13,273.09,275.325,271.25,272.06,275.16624312647735,274.48133286079076,0.8818066041512846,-1.591105190101132,-2.4729117942524166
2018-11-14,274.16,274.61,268.45,270.2,274.6932675906224,273.70290870428335,0.5277752453095261,-1.813192737615509,-2.340967982925035
2018-11-15,268.78,273.54,267.0102,273.02,274.5339087724679,273.5787434853227,0.47951636806299014,-1.7415725228462975,-2.2210888909092876
2018-11-16,271.79,274.75,271.21,273.73,274.45734603223286,273.6062446698095,0.48969138311803295,-1.6089746620117467,-2.0986660451297796
2018-11-19,273.05,273.38,268.07,269.1,273.9471226005916,272.78692745711686,0.19405580820961532,-1.8560962848677605,-2.050152093077376
2018-11-20,265.36,267,263.15,264.12,273.01120616244003,271.2111224649138,-0.30053668937743794,-2.425822954799173,-2.1252862654217353
2018-11-21,265.86,267.15,265.01,265.02,272.2501389088743,270.08546383492944,-0.517971328509236,-2.7727504260582805,-2.2547790975490445
2018-11-23,263.18,264.8234,263.07,263.25,271.3929828223148,268.84265222857863,-0.7195031092849056,-3.1541579841551766,-2.434654874870271
2018-11-26,265.78,267.75,265.34,267.5,271.0222225535229,268.59853364156436,-0.5146804282599002,-3.0780054101951464,-2.563324981935246
2018-11-27,266.34,268.4,265.66,268.4,270.77248707223504,268.5624366158254,-0.2785158993491619,-2.9114698561216983,-2.6329539567725364
2018-11-28,269.6,274.58,268.3272,274.58,271.1351073510698,269.6565390493117,0.30250501680487574,-2.2548226857664417,-2.5573277025713175
2018-11-29,273.71,275.55,272.43,273.98,271.40604950811075,270.4426228585277,0.6358439281806825,-1.7625227923454645,-2.398366720526147
2018-11-30,273.81,276.28,273.45,275.65,271.81023526924304,271.3894187024318,0.9398832607443115,-1.2235126445957576,-2.163395905340069
2018-12-03,280.28,280.4,277.505,279.3,272.5235461959818,272.82770621108057,1.333836731010355,-0.49609999157712537,-1.8299367225874803
2018-12-04,278.37,278.85,269.9,270.25,272.30701798684066,272.3590323545205,0.9499705347717202,-0.6424735541228301,-1.5924440888945504
2018-12-06,265.92,269.97,262.44,269.84,272.07206389285585,271.9010264718804,0.6479243811311544,-0.7825386124806073,-1.4304629936117617
2018-12-07,269.46,271.22,262.63,263.57,271.2623435221077,270.386294386084,0.037546942857141774,-1.3835293150403345,-1.4210762578974763
2018-12-10,263.37,265.1613,258.62,264.07,270.5773584247641,269.2378772249778,-0.30212957037243116,-1.7987382208630152,-1.496608650490584
2018-12-11,267.66,267.87,262.48,264.13,269.96332428907226,268.30917227498185,-0.48172074169466605,-2.0987595776089165,-1.6170388359142505
2018-12-12,267.47,269,265.37,265.46,269.53443626154154,267.7911409522579,-0.46941268405583414,-2.203804690984043,-1.734392006928209
2018-12-13,266.52,267.49,264.12,265.37,269.13782328425185,267.35093350639283,-0.42702231229136034,-2.2681698972924096,-1.8411475850010492
2018-12-14,262.96,264.03,259.85,260.47,268.3123163047993,266.09985468704866,-0.673988794894345,-2.6836335786189807,-2.0096447837246356
2018-12-17,259.4,260.65,253.525,255.36,267.0787623710089,264.147153834858,-1.1012377095344643,-3.386191920642716,-2.2849542111082517
2018-12-18,257.2,257.95,253.28,255.08,265.9360230975795,262.4985804103384,-1.3083378060867217,-3.920376468716654,-2.6120386626299323
2018-12-19,255.17,259.4,249.35,251.26,264.5383066120957,260.4552021539132,-1.589528922579833,-4.5989498158547235,-3.0094208932748905
2018-12-20,249.86,251.62,244.65,247.17,262.8841821728485,258.0397108532017,-1.9160262633049814,-5.404453722406117,-3.488427459101136
2018-12-21,246.74,249.71,239.98,240.7,260.7714029182915,254.88703615261957,-2.4013241659990143,-6.490082666599903,-4.088758500600889
2018-12-24,239.04,240.8355,234.27,234.34,258.2541264498828,251.15121139759782,-2.9482220199488323,-7.77403602553693,-4.825814005588097
2018-12-26,235.97,246.18,233.76,246.18,257.1042096451321,250.24735477985277,-2.3368591649175547,-7.746887961735041,-5.410028796817486
2018-12-27,242.57,248.29,238.96,248.07,256.2438087265481,249.8514720926068,-1.6612291680765674,-7.486565256913195,-5.825336088836628
2018-12-28,249.58,251.4,246.45,247.75,255.43487456211494,249.4693862575874,-1.1179861724016238,-7.222818804338658,-6.104832631937034
2018-12-31,249.56,250.19,247.47,249.92,254.9096484133421,249.55131602893513,-0.5247443802566707,-6.760763107257873,-6.236018727001202
2019-01-02,245.98,251.21,245.95,250.18,254.4592057073095,249.66562220549238,-0.05195876545606648,-6.300967183821285,-6.249008418365219
2019-01-03,248.23,248.57,243.67,244.21,253.48309087804193,248.67369089540287,-0.07692257320737994,-6.345161634874444,-6.268239061667064
